check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:53:19.616784+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:53:19.616805+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:53:19.699332+05:30
http,pass,Probe 1: HTTP 200 at https://craftscouncil.gov.lk/,https://craftscouncil.gov.lk/,2026-09-08T23:53:39.141642+05:30
http,pass,Probe 2: HTTP 200 at http://craftscouncil.gov.lk/,http://craftscouncil.gov.lk/,2026-09-08T23:53:39.141666+05:30
http,pass,Probe 3: HTTP 200 at https://craftscouncil.gov.lk/,https://craftscouncil.gov.lk/,2026-09-08T23:53:39.141669+05:30
http,pass,Probe 4: HTTP 200 at http://craftscouncil.gov.lk/,http://craftscouncil.gov.lk/,2026-09-08T23:53:39.141672+05:30
http,pass,Probe 5: HTTP 200 at http://craftscouncil.gov.lk/officers/,http://craftscouncil.gov.lk/officers/,2026-09-08T23:53:39.141675+05:30
http,pass,Probe 6: HTTP 200 at http://craftscouncil.gov.lk/province-district-offices/,http://craftscouncil.gov.lk/province-district-offices/,2026-09-08T23:53:39.141677+05:30
http,pass,Probe 7: HTTP 200 at http://craftscouncil.gov.lk,http://craftscouncil.gov.lk,2026-09-08T23:53:39.141680+05:30
http,pass,Probe 8: HTTP 200 at http://craftscouncil.gov.lk/si/home-sinhala/,http://craftscouncil.gov.lk/si/home-sinhala/,2026-09-08T23:53:39.141682+05:30
http,pass,Probe 9: HTTP 200 at http://craftscouncil.gov.lk/ta/home-tamil/,http://craftscouncil.gov.lk/ta/home-tamil/,2026-09-08T23:53:39.141685+05:30
http,pass,Probe 10: HTTP 200 at http://craftscouncil.gov.lk/about-us/,http://craftscouncil.gov.lk/about-us/,2026-09-08T23:53:39.141687+05:30
http,pass,Probe 11: HTTP 200 at http://craftscouncil.gov.lk/vision-and-mission_english/,http://craftscouncil.gov.lk/vision-and-mission_english/,2026-09-08T23:53:39.141690+05:30
http,pass,Probe 12: HTTP 200 at http://craftscouncil.gov.lk/board-of-directors/,http://craftscouncil.gov.lk/board-of-directors/,2026-09-08T23:53:39.141692+05:30
http,pass,Probe 13: HTTP 200 at http://craftscouncil.gov.lk/organizational-structure/,http://craftscouncil.gov.lk/organizational-structure/,2026-09-08T23:53:39.141695+05:30
http,pass,Probe 14: HTTP 200 at http://craftscouncil.gov.lk/corporate-plan/,http://craftscouncil.gov.lk/corporate-plan/,2026-09-08T23:53:39.141698+05:30
phone,pass,Published phone: +94 11 2177336 ,https://craftscouncil.gov.lk/,
phone,pass,Published phone: +94) 91 2226758 ,https://craftscouncil.gov.lk/,
phone,pass,Published phone: +94 11 2787441 ,https://craftscouncil.gov.lk/,
phone,pass,Published phone: 0 11 12 13 14 1,https://craftscouncil.gov.lk/,
phone,pass,Published phone: +94) 35 2228788 ,https://craftscouncil.gov.lk/,
