check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:57:20.628533+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:57:20.628540+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:57:21.102470+05:30
http,pass,Probe 1: HTTP 200 at https://www.spicelk.com/,https://www.spicelk.com/,2026-09-08T23:57:56.840048+05:30
http,pass,Probe 2: HTTP 200 at http://www.spicelk.com/,http://www.spicelk.com/,2026-09-08T23:57:56.840068+05:30
http,pass,Probe 3: HTTP 200 at https://www.spicelk.com/,https://www.spicelk.com/,2026-09-08T23:57:56.840071+05:30
http,pass,Probe 4: HTTP 200 at http://www.spicelk.com/,http://www.spicelk.com/,2026-09-08T23:57:56.840074+05:30
http,pass,Probe 5: HTTP 200 at https://spicelk.com/branches/,https://spicelk.com/branches/,2026-09-08T23:57:56.840077+05:30
phone,pass,Published phone: 0626940480,https://spicelk.com/branches/,
phone,pass,Published phone: 0666196489,https://spicelk.com/branches/,
phone,pass,Published phone: 049-1759762,https://spicelk.com/branches/,
phone,pass,Published phone: 0900110533,https://spicelk.com/branches/,
phone,pass,Published phone: 0338716100,https://spicelk.com/branches/,
phone,pass,Published phone: 0552006469,https://spicelk.com/branches/,
phone,pass,Published phone: 0438786691,https://spicelk.com/branches/,
phone,pass,Published phone: 0682670427,https://spicelk.com/branches/,
phone,pass,Published phone: 0340719170,https://spicelk.com/branches/,
phone,pass,Published phone: 0770268640,https://spicelk.com/branches/,
phone,pass,Published phone: 0688253058,https://spicelk.com/branches/,
phone,pass,Published phone: 0551937656,https://spicelk.com/branches/,
phone,pass,Published phone: 0226671742,https://spicelk.com/branches/,
phone,pass,Published phone: 0189962917,https://spicelk.com/branches/,
phone,pass,Published phone: 0420452622,https://spicelk.com/branches/,
phone,pass,Published phone: 0390717427,https://spicelk.com/branches/,
postal_address,pass,Published postal address: Telephone: Email: Hours: View store map Select another store window.initHeaderDrawerAria = function() { document.querySe,https://spicelk.com/branches/,
named_responsibility,pass,Published named responsibility: director,https://spicelk.com/branches/,
eligibility_criteria,pass,Published eligibility criteria: eligibility,https://spicelk.com/branches/,
fees_and_payment,pass,"Published fees and payment: rs,",https://spicelk.com/branches/,
page_text,pass,Substantive page content: 12106 visible characters across 5 pages,https://www.spicelk.com/,
