check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:49:50.704443+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:49:50.704459+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:49:50.820946+05:30
http,pass,Probe 1: HTTP 200 at https://itn.lk/,https://itn.lk/,2026-09-08T23:50:16.090724+05:30
http,pass,Probe 2: HTTP 200 at https://itn.lk/,http://itn.lk/,2026-09-08T23:50:16.090746+05:30
http,pass,Probe 3: HTTP 200 at https://itn.lk/,https://itn.lk/,2026-09-08T23:50:16.090750+05:30
http,pass,Probe 4: HTTP 200 at https://itn.lk/,http://itn.lk/,2026-09-08T23:50:16.090753+05:30
http,pass,Probe 5: HTTP 200 at https://itn.lk/contact/,https://itn.lk/contact/,2026-09-08T23:50:16.090756+05:30
http,pass,Probe 6: HTTP 200 at https://itn.lk/shows/,https://itn.lk/shows/,2026-09-08T23:50:16.090759+05:30
http,pass,Probe 7: HTTP 200 at https://itn.lk/teledramas/,https://itn.lk/teledramas/,2026-09-08T23:50:16.090761+05:30
http,pass,Probe 8: HTTP 200 at https://itn.lk/schedule/,https://itn.lk/schedule/,2026-09-08T23:50:16.090764+05:30
http,pass,Probe 9: HTTP 200 at https://itn.lk/live/,https://itn.lk/live/,2026-09-08T23:50:16.090766+05:30
http,pass,Probe 10: HTTP 200 at https://itn.lk/videos/teledramas/visekari/,https://itn.lk/videos/teledramas/visekari/,2026-09-08T23:50:16.090769+05:30
http,pass,Probe 11: HTTP 200 at https://itn.lk/videos/teledramas/sihineka-thaniwela/,https://itn.lk/videos/teledramas/sihineka-thaniwela/,2026-09-08T23:50:16.090771+05:30
http,pass,Probe 12: HTTP 200 at https://itn.lk/watch/meesha-episode-37-2026-09-08/,https://itn.lk/watch/meesha-episode-37-2026-09-08/,2026-09-08T23:50:16.090774+05:30
http,pass,Probe 13: HTTP 200 at https://itn.lk/watch/sihineka-thaniwela-episode-243-2026-09-08/,https://itn.lk/watch/sihineka-thaniwela-episode-243-2026-09-08/,2026-09-08T23:50:16.090776+05:30
http,pass,Probe 14: HTTP 200 at https://itn.lk/watch/mal-bingun-episode-36-2026-09-07-2/,https://itn.lk/watch/mal-bingun-episode-36-2026-09-07-2/,2026-09-08T23:50:16.090779+05:30
phone,pass,Published phone: +94112774424,https://itn.lk/,
email,pass,Published email: info@itn.lk,https://itn.lk/,
processing_time,pass,Published processing time: 1 hour,https://itn.lk/,
phone,pass,Published phone: +94112774424,https://itn.lk/,
email,pass,Published email: info@itn.lk,https://itn.lk/,
processing_time,pass,Published processing time: 1 hour,https://itn.lk/,
phone,pass,Published phone: +94112774424,https://itn.lk/,
email,pass,Published email: info@itn.lk,https://itn.lk/,
processing_time,pass,Published processing time: 1 hour,https://itn.lk/,
phone,pass,Published phone: +94112774424,https://itn.lk/,
email,pass,Published email: info@itn.lk,https://itn.lk/,
processing_time,pass,Published processing time: 1 hour,https://itn.lk/,
phone,pass,Published phone: 011 277 4594 ,https://itn.lk/contact/,
phone,pass,Published phone: 0112775494,https://itn.lk/contact/,
phone,pass,Published phone: 077 365 1280 ,https://itn.lk/contact/,
phone,pass,Published phone: 011 277 45 91 ,https://itn.lk/contact/,
phone,pass,Published phone: 0112774595,https://itn.lk/contact/,
phone,pass,Published phone: 0112774592,https://itn.lk/contact/,
phone,pass,Published phone: 011 277 4592 ,https://itn.lk/contact/,
phone,pass,Published phone: 011 277 6933 ,https://itn.lk/contact/,
phone,pass,Published phone: 0112776933,https://itn.lk/contact/,
phone,pass,Published phone: 94112774424,https://itn.lk/contact/,
phone,pass,Published phone: 0094-11-2774,https://itn.lk/contact/,
phone,pass,Published phone: 0112796455,https://itn.lk/contact/,
phone,pass,Published phone: 011 277 5494 ,https://itn.lk/contact/,
phone,pass,Published phone: 011 277 4420 ,https://itn.lk/contact/,
phone,pass,Published phone: 0773651280,https://itn.lk/contact/,
phone,pass,Published phone: 011 277 4595 ,https://itn.lk/contact/,
phone,pass,Published phone: 0112695448,https://itn.lk/contact/,
phone,pass,Published phone: 94112774725,https://itn.lk/contact/,
phone,pass,Published phone: 011 269 5448 ,https://itn.lk/contact/,
phone,pass,Published phone: 94112773289,https://itn.lk/contact/,
phone,pass,Published phone: 0112774594,https://itn.lk/contact/,
phone,pass,Published phone: 011 279 6455 ,https://itn.lk/contact/,
phone,pass,Published phone: +94112774424,https://itn.lk/contact/,
phone,pass,Published phone: 0112774420,https://itn.lk/contact/,
phone,pass,Published phone: 0094-11-2773,https://itn.lk/contact/,
email,pass,Published email: info@itn.lk,https://itn.lk/contact/,
email,pass,Published email: Emailchairman@itn.lk,https://itn.lk/contact/,
email,pass,Published email: Emailinfo@itn.lk,https://itn.lk/contact/,
postal_address,pass,Published postal address: Independent Television Network Ltd Wickramasinghepura Battaramulla 10120 Sri Lanka Phone Hotline: 94-11-2774424 Corporat,https://itn.lk/contact/,
named_responsibility,pass,Published named responsibility: director,https://itn.lk/contact/,
phone,pass,Published phone: +94112774424,https://itn.lk/shows/,
email,pass,Published email: info@itn.lk,https://itn.lk/shows/,
phone,pass,Published phone: +94112774424,https://itn.lk/teledramas/,
email,pass,Published email: info@itn.lk,https://itn.lk/teledramas/,
phone,pass,Published phone: +94112774424,https://itn.lk/schedule/,
email,pass,Published email: info@itn.lk,https://itn.lk/schedule/,
phone,pass,Published phone: +94112774424,https://itn.lk/live/,
email,pass,Published email: info@itn.lk,https://itn.lk/live/,
phone,pass,Published phone: +94112774424,https://itn.lk/videos/teledramas/visekari/,
email,pass,Published email: info@itn.lk,https://itn.lk/videos/teledramas/visekari/,
processing_time,pass,Published processing time: 1 month,https://itn.lk/videos/teledramas/visekari/,
phone,pass,Published phone: +94112774424,https://itn.lk/videos/teledramas/sihineka-thaniwela/,
email,pass,Published email: info@itn.lk,https://itn.lk/videos/teledramas/sihineka-thaniwela/,
processing_time,pass,Published processing time: 1 hour,https://itn.lk/videos/teledramas/sihineka-thaniwela/,
phone,pass,Published phone: 013 2026-09-0,https://itn.lk/watch/meesha-episode-37-2026-09-08/,
phone,pass,Published phone: +94112774424,https://itn.lk/watch/meesha-episode-37-2026-09-08/,
email,pass,Published email: info@itn.lk,https://itn.lk/watch/meesha-episode-37-2026-09-08/,
processing_time,pass,Published processing time: 24 hours,https://itn.lk/watch/meesha-episode-37-2026-09-08/,
phone,pass,Published phone: 013 2026-09-0,https://itn.lk/watch/sihineka-thaniwela-episode-243-2026-09-08/,
