check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:59:21.851023+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:59:21.851043+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:59:21.900056+05:30
http,pass,Probe 1: HTTP 200 at https://police.lk/,https://www.police.lk/,2026-09-08T23:59:26.242113+05:30
http,error,Probe 2: Server disconnected without sending a response.,http://www.police.lk/,2026-09-08T23:59:26.242138+05:30
http,pass,Probe 3: HTTP 200 at https://police.lk/,https://www.police.lk/,2026-09-08T23:59:26.242141+05:30
http,error,Probe 4: Server disconnected without sending a response.,http://www.police.lk/,2026-09-08T23:59:26.242144+05:30
http,pass,Probe 5: HTTP 200 at https://police.lk/police-stations-map/,https://police.lk/police-stations-map/,2026-09-08T23:59:26.242147+05:30
phone,pass,Published phone: 011-2436258 ,https://police.lk/,
phone,pass,Published phone: 071-8591703 ,https://police.lk/,
phone,pass,Published phone: 071-8591532 ,https://police.lk/,
phone,pass,Published phone: 071-8591184 ,https://police.lk/,
phone,pass,Published phone: 071-8591560 ,https://police.lk/,
phone,pass,Published phone: 037-2285811 ,https://police.lk/,
phone,pass,Published phone: 071-8592135 ,https://police.lk/,
phone,pass,Published phone: 026-2225822 ,https://police.lk/,
phone,pass,Published phone: 071-8591564 ,https://police.lk/,
phone,pass,Published phone: 071-8592906 ,https://police.lk/,
phone,pass,Published phone: 071-8591496 ,https://police.lk/,
phone,pass,Published phone: 026-2252622 ,https://police.lk/,
phone,pass,Published phone: 067-2250147 ,https://police.lk/,
phone,pass,Published phone: 071-8591196 ,https://police.lk/,
phone,pass,Published phone: 071-8592776 ,https://police.lk/,
phone,pass,Published phone: 041-2222727 ,https://police.lk/,
phone,pass,Published phone: 067-2229226 ,https://police.lk/,
phone,pass,Published phone: 071-8592949 ,https://police.lk/,
phone,pass,Published phone: 071-8591130 ,https://police.lk/,
phone,pass,Published phone: 071-8591570 ,https://police.lk/,
phone,pass,Published phone: 071-8591459 ,https://police.lk/,
phone,pass,Published phone: 071-8591538 ,https://police.lk/,
phone,pass,Published phone: 063-3634083 ,https://police.lk/,
phone,pass,Published phone: 071-8591556 ,https://police.lk/,
phone,pass,Published phone: 031-2227740 ,https://police.lk/,
phone,pass,Published phone: 071-8591386 ,https://police.lk/,
phone,pass,Published phone: 071-8591154 ,https://police.lk/,
phone,pass,Published phone: 041-2282323 ,https://police.lk/,
phone,pass,Published phone: 045-2240323 ,https://police.lk/,
phone,pass,Published phone: 071-8591432 ,https://police.lk/,
phone,pass,Published phone: 045-2227122 ,https://police.lk/,
phone,pass,Published phone: 071-8591436 ,https://police.lk/,
phone,pass,Published phone: 067-2221916 ,https://police.lk/,
phone,pass,Published phone: 071-8591395 ,https://police.lk/,
phone,pass,Published phone: 071-8591408 ,https://police.lk/,
phone,pass,Published phone: 071-8591143 ,https://police.lk/,
phone,pass,Published phone: 033-2278020 ,https://police.lk/,
phone,pass,Published phone: 011-2251475 ,https://police.lk/,
phone,pass,Published phone: 011-2523058 ,https://police.lk/,
phone,pass,Published phone: 033-2271416 ,https://police.lk/,
phone,pass,Published phone: 063-3733037 ,https://police.lk/,
phone,pass,Published phone: 071-8591494 ,https://police.lk/,
