check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:19.365431+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:40:19.365450+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:19.714248+05:30
http,pass,Probe 1: HTTP 200 at https://www.ncgil.lk/,https://www.ncgil.lk/,2026-09-08T23:40:36.685218+05:30
http,pass,Probe 2: HTTP 200 at https://www.ncgil.lk/,http://www.ncgil.lk/,2026-09-08T23:40:36.685237+05:30
http,pass,Probe 3: HTTP 200 at https://www.ncgil.lk/,https://www.ncgil.lk/,2026-09-08T23:40:36.685240+05:30
http,pass,Probe 4: HTTP 200 at https://www.ncgil.lk/,http://www.ncgil.lk/,2026-09-08T23:40:36.685243+05:30
http,pass,Probe 5: HTTP 200 at https://www.ncgil.lk/contact_new.html,https://www.ncgil.lk/contact_new.html,2026-09-08T23:40:36.685246+05:30
http,pass,Probe 6: HTTP 200 at https://www.ncgil.lk/s-index.html,https://www.ncgil.lk/s-index.html,2026-09-08T23:40:36.685249+05:30
http,pass,Probe 7: HTTP 200 at https://www.ncgil.lk/t-index.html,https://www.ncgil.lk/t-index.html,2026-09-08T23:40:36.685252+05:30
http,pass,Probe 8: HTTP 200 at https://www.ncgil.lk/index.html,https://www.ncgil.lk/index.html,2026-09-08T23:40:36.685254+05:30
http,pass,Probe 9: HTTP 200 at https://www.ncgil.lk/about.html,https://www.ncgil.lk/about.html,2026-09-08T23:40:36.685257+05:30
http,pass,Probe 10: HTTP 200 at https://www.ncgil.lk/partners.html,https://www.ncgil.lk/partners.html,2026-09-08T23:40:36.685259+05:30
http,pass,Probe 11: HTTP 200 at https://www.ncgil.lk/bod.html,https://www.ncgil.lk/bod.html,2026-09-08T23:40:36.685262+05:30
http,pass,Probe 12: HTTP 200 at https://www.ncgil.lk/management.html,https://www.ncgil.lk/management.html,2026-09-08T23:40:36.685265+05:30
http,pass,Probe 13: HTTP 200 at https://www.ncgil.lk/product.html,https://www.ncgil.lk/product.html,2026-09-08T23:40:36.685267+05:30
http,pass,Probe 14: HTTP 200 at https://www.ncgil.lk/news_update.html,https://www.ncgil.lk/news_update.html,2026-09-08T23:40:36.685269+05:30
phone,pass,Published phone: +94 705 777 805 ,https://www.ncgil.lk/,
email,pass,Published email: info@ncgil.lk,https://www.ncgil.lk/,
