check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:56:11.192912+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:56:11.192936+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:56:11.863265+05:30
http,pass,Probe 1: HTTP 200 at https://www.compensation.gov.lk/,https://www.compensation.gov.lk/,2026-09-08T23:56:29.377305+05:30
http,pass,Probe 2: HTTP 200 at http://www.compensation.gov.lk/,http://www.compensation.gov.lk/,2026-09-08T23:56:29.377331+05:30
http,pass,Probe 3: HTTP 200 at https://www.compensation.gov.lk/,https://www.compensation.gov.lk/,2026-09-08T23:56:29.377334+05:30
http,pass,Probe 4: HTTP 200 at http://www.compensation.gov.lk/,http://www.compensation.gov.lk/,2026-09-08T23:56:29.377337+05:30
http,pass,Probe 5: HTTP 200 at https://www.compensation.gov.lk/index.php,https://www.compensation.gov.lk/index.php,2026-09-08T23:56:29.377340+05:30
http,pass,Probe 6: HTTP 200 at https://www.compensation.gov.lk/index.php?option=com_content&view=featured&Itemid=435&lang=en,https://www.compensation.gov.lk/index.php?option=com_content&view=featured&Itemid=435&lang=en,2026-09-08T23:56:29.377343+05:30
http,pass,Probe 7: HTTP 200 at https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=154&Itemid=717&lang=en,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=154&Itemid=717&lang=en,2026-09-08T23:56:29.377345+05:30
http,pass,Probe 8: HTTP 200 at https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=155&Itemid=719&lang=en,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=155&Itemid=719&lang=en,2026-09-08T23:56:29.377348+05:30
http,pass,Probe 9: HTTP 200 at https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=156&Itemid=720&lang=en,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=156&Itemid=720&lang=en,2026-09-08T23:56:29.377351+05:30
http,pass,Probe 10: HTTP 200 at https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=157&Itemid=721&lang=en,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=157&Itemid=721&lang=en,2026-09-08T23:56:29.377354+05:30
http,pass,Probe 11: HTTP 200 at https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=158&Itemid=722&lang=en,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=158&Itemid=722&lang=en,2026-09-08T23:56:29.377356+05:30
http,pass,Probe 12: HTTP 200 at https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=159&Itemid=723&lang=en,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=159&Itemid=723&lang=en,2026-09-08T23:56:29.377359+05:30
http,pass,Probe 13: HTTP 200 at https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=160&Itemid=724&lang=en,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=160&Itemid=724&lang=en,2026-09-08T23:56:29.377362+05:30
http,pass,Probe 14: HTTP 200 at https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=161&Itemid=716&lang=en,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=161&Itemid=716&lang=en,2026-09-08T23:56:29.377365+05:30
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/,
named_responsibility,pass,Published named responsibility: department,http://www.compensation.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/,
named_responsibility,pass,Published named responsibility: department,http://www.compensation.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php?option=com_content&view=featured&Itemid=435&lang=en,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=154&Itemid=717&lang=en,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=155&Itemid=719&lang=en,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=156&Itemid=720&lang=en,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=157&Itemid=721&lang=en,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=158&Itemid=722&lang=en,
downloadable_form,pass,Published downloadable form: https://www.compensation.gov.lk/images/stories/downloads/form_a.pdf,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=158&Itemid=722&lang=en,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=159&Itemid=723&lang=en,
processing_time,pass,Published processing time: 14 days,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=159&Itemid=723&lang=en,
downloadable_form,pass,Published downloadable form: https://www.compensation.gov.lk/images/stories/downloads/form_g.pdf,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=159&Itemid=723&lang=en,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=160&Itemid=724&lang=en,
named_responsibility,pass,Published named responsibility: department,https://www.compensation.gov.lk/index.php?option=com_content&view=article&id=161&Itemid=716&lang=en,
page_text,pass,Substantive page content: 3418 visible characters across 14 pages,https://www.compensation.gov.lk/,
