check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:57:40.901562+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:57:40.901580+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:57:41.259499+05:30
http,pass,Probe 1: HTTP 200 at https://www.tri.lk/,https://www.tri.lk/,2026-09-08T23:58:15.207852+05:30
http,pass,Probe 2: HTTP 200 at https://www.tri.lk/,http://www.tri.lk/,2026-09-08T23:58:15.207877+05:30
http,pass,Probe 3: HTTP 200 at https://www.tri.lk/,https://www.tri.lk/,2026-09-08T23:58:15.207881+05:30
http,pass,Probe 4: HTTP 200 at https://www.tri.lk/,http://www.tri.lk/,2026-09-08T23:58:15.207884+05:30
http,pass,Probe 5: HTTP 200 at https://www.tri.lk/technology_transfer_office/,https://www.tri.lk/technology_transfer_office/,2026-09-08T23:58:15.207887+05:30
http,pass,Probe 6: HTTP 200 at https://www.tri.lk/analytical-services/,https://www.tri.lk/analytical-services/,2026-09-08T23:58:15.207889+05:30
http,pass,Probe 7: HTTP 200 at https://www.tri.lk/contact-us/,https://www.tri.lk/contact-us/,2026-09-08T23:58:15.207892+05:30
http,pass,Probe 8: HTTP 200 at https://www.tri.lk/2022/04/08/technical-information-advisory-service/,https://www.tri.lk/2022/04/08/technical-information-advisory-service/,2026-09-08T23:58:15.207894+05:30
http,pass,Probe 9: HTTP 200 at https://www.tri.lk,https://www.tri.lk,2026-09-08T23:58:15.207897+05:30
http,pass,Probe 10: HTTP 200 at https://www.tri.lk/history/,https://www.tri.lk/history/,2026-09-08T23:58:15.207900+05:30
http,pass,Probe 11: HTTP 200 at https://www.tri.lk/tea-research-board/,https://www.tri.lk/tea-research-board/,2026-09-08T23:58:15.207902+05:30
http,pass,Probe 12: HTTP 200 at https://www.tri.lk/senior-management/,https://www.tri.lk/senior-management/,2026-09-08T23:58:15.207905+05:30
http,pass,Probe 13: HTTP 200 at https://www.tri.lk/low-country-regional-centre/,https://www.tri.lk/low-country-regional-centre/,2026-09-08T23:58:15.207907+05:30
http,pass,Probe 14: HTTP 200 at https://www.tri.lk/mid-country-regional-centre/,https://www.tri.lk/mid-country-regional-centre/,2026-09-08T23:58:15.207910+05:30
phone,pass,Published phone: 0.349999999,https://www.tri.lk/,
