check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:26:14.804050+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:26:14.804068+05:30
tls,error,[Errno 111] Connection refused,,2026-09-08T23:26:14.815785+05:30
http,error,Probe 1: [Errno 111] Connection refused,https://www.ndc.ac.lk/,2026-09-08T23:26:27.891234+05:30
http,pass,Probe 2: HTTP 200 at http://www.ndc.ac.lk/,http://www.ndc.ac.lk/,2026-09-08T23:26:27.891265+05:30
http,error,Probe 3: [Errno 111] Connection refused,https://www.ndc.ac.lk/,2026-09-08T23:26:27.891269+05:30
http,pass,Probe 4: HTTP 200 at http://www.ndc.ac.lk/,http://www.ndc.ac.lk/,2026-09-08T23:26:27.891273+05:30
http,pass,Probe 5: HTTP 200 at http://www.ndc.ac.lk/contact_us,http://www.ndc.ac.lk/contact_us,2026-09-08T23:26:27.891276+05:30
http,pass,Probe 6: HTTP 200 at http://www.ndc.ac.lk/lms/login/index.php,http://www.ndc.ac.lk/lms/login/index.php,2026-09-08T23:26:27.891279+05:30
http,pass,Probe 7: HTTP 200 at http://www.ndc.ac.lk/lms/login/index,http://www.ndc.ac.lk/lms/login/index,2026-09-08T23:26:27.891282+05:30
http,pass,Probe 8: HTTP 200 at http://www.ndc.ac.lk/related_links,http://www.ndc.ac.lk/related_links,2026-09-08T23:26:27.891285+05:30
http,pass,Probe 9: HTTP 200 at http://www.ndc.ac.lk/index,http://www.ndc.ac.lk/index,2026-09-08T23:26:27.891289+05:30
http,pass,Probe 10: HTTP 200 at http://www.ndc.ac.lk/interduction,http://www.ndc.ac.lk/interduction,2026-09-08T23:26:27.891291+05:30
http,pass,Probe 11: HTTP 200 at http://www.ndc.ac.lk/visionandmission,http://www.ndc.ac.lk/visionandmission,2026-09-08T23:26:27.891295+05:30
http,pass,Probe 12: HTTP 200 at http://www.ndc.ac.lk/structure,http://www.ndc.ac.lk/structure,2026-09-08T23:26:27.891298+05:30
http,pass,Probe 13: HTTP 200 at http://www.ndc.ac.lk/crest,http://www.ndc.ac.lk/crest,2026-09-08T23:26:27.891301+05:30
http,pass,Probe 14: HTTP 200 at http://www.ndc.ac.lk/commandant.php,http://www.ndc.ac.lk/commandant.php,2026-09-08T23:26:27.891305+05:30
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/,
postal_address,pass,"Published postal address: National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.ndc.ac.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",http://www.ndc.ac.lk/,
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/,
postal_address,pass,"Published postal address: National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/,
named_responsibility,pass,Published named responsibility: director,http://www.ndc.ac.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",http://www.ndc.ac.lk/,
phone,pass,Published phone: +94 76 037 9118 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 76 037 9179 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 77 222 9171 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 11 232 7060 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 71 852 8728 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 74 038 8641 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 77 222 9112 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 77 780 1470 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 76 037 8985 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 76 037 9373 ,http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: sdsarmy@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: universitycoordinator@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: secretary@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: sdsnavy@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: sdsair@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: colcoord@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: comdt@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: academiccoordinator@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: librarian@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
email,pass,Published email: soict@ndc.ac.lk,http://www.ndc.ac.lk/contact_us,
postal_address,pass,"Published postal address: National Defence College #544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/contact_us,
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/related_links,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/related_links,
postal_address,pass,"Published postal address: National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/related_links,
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/index,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/index,
postal_address,pass,"Published postal address: National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/index,
named_responsibility,pass,Published named responsibility: director,http://www.ndc.ac.lk/index,
fees_and_payment,pass,"Published fees and payment: rs,",http://www.ndc.ac.lk/index,
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/interduction,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/interduction,
postal_address,pass,"Published postal address: National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/interduction,
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/visionandmission,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/visionandmission,
postal_address,pass,"Published postal address: National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/visionandmission,
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/structure,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/structure,
postal_address,pass,"Published postal address: National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/structure,
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/crest,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/crest,
postal_address,pass,"Published postal address: National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/crest,
named_responsibility,pass,Published named responsibility: department,http://www.ndc.ac.lk/crest,
phone,pass,Published phone: +94 011 23 27 06,http://www.ndc.ac.lk/commandant.php,
email,pass,Published email: info@ndc.ac.lk,http://www.ndc.ac.lk/commandant.php,
postal_address,pass,"Published postal address: National Defence College 544 Galle Road Colombo 03 Sri Lanka +94 011 23 27 061 info@ndc.ac.lk Stay Up to Date With What's Happening © 2024 - All Rights Reserved - www.ndc.ac.lk by National Defence College Sri Lanka var btn = $('#button'); $(window).scroll(function() { if ($(window).scrollTop() > 300) { btn.addClass('show'); } else { btn.removeClass('show'); } }); btn.on('click', function(e) { e.preventDefault(); $('html, body').animate({scrollTop:0}, '300'); });",http://www.ndc.ac.lk/commandant.php,
named_responsibility,pass,Published named responsibility: division,http://www.ndc.ac.lk/commandant.php,
page_text,pass,Substantive page content: 22265 visible characters across 12 pages,http://www.ndc.ac.lk/,
