check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:05:34.227917+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:05:34.227940+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:05:34.281107+05:30
http,pass,Probe 1: HTTP 200 at https://pubsec.gov.lk/,https://www.pubsec.gov.lk/,2026-09-09T00:06:08.712790+05:30
http,pass,Probe 2: HTTP 200 at https://pubsec.gov.lk/,http://www.pubsec.gov.lk/,2026-09-09T00:06:08.712817+05:30
http,pass,Probe 3: HTTP 200 at https://pubsec.gov.lk/,https://www.pubsec.gov.lk/,2026-09-09T00:06:08.712821+05:30
http,pass,Probe 4: HTTP 200 at https://pubsec.gov.lk/,http://www.pubsec.gov.lk/,2026-09-09T00:06:08.712824+05:30
http,pass,Probe 5: HTTP 200 at https://pubsec.gov.lk/parliamentary-affairs-division/,https://pubsec.gov.lk/parliamentary-affairs-division/,2026-09-09T00:06:08.712827+05:30
http,pass,Probe 6: HTTP 200 at https://pubsec.gov.lk/contact-us/,https://pubsec.gov.lk/contact-us/,2026-09-09T00:06:08.712830+05:30
http,pass,Probe 7: HTTP 200 at https://pubsec.gov.lk/the-official-website-of-the-118-public-security-service-operates-as-a-24-7-online-portal-for-submitting-public-information-and-complaints/,https://pubsec.gov.lk/the-official-website-of-the-118-public-security-service-operates-as-a-24-7-online-portal-for-submitting-public-information-and-complaints/,2026-09-09T00:06:08.712833+05:30
http,pass,Probe 8: HTTP 200 at https://pubsec.gov.lk/marking-the-commencement-of-official-operations-for-the-year-2026-the-official-event-was-held-on-01-january-2026-with-the-participation-of-all-departments-under-the-purview-of-the-ministry/,https://pubsec.gov.lk/marking-the-commencement-of-official-operations-for-the-year-2026-the-official-event-was-held-on-01-january-2026-with-the-participation-of-all-departments-under-the-purview-of-the-ministry/,2026-09-09T00:06:08.712836+05:30
http,pass,Probe 9: HTTP 200 at https://pubsec.gov.lk/a-christmas-carol-service-was-held-at-the-ministry-on-23-december-2025-under-the-leadership-of-the-secretary-to-the-ministry/,https://pubsec.gov.lk/a-christmas-carol-service-was-held-at-the-ministry-on-23-december-2025-under-the-leadership-of-the-secretary-to-the-ministry/,2026-09-09T00:06:08.712838+05:30
http,pass,Probe 10: HTTP 200 at https://pubsec.gov.lk/si/home-%e0%b7%83%e0%b7%92%e0%b6%82%e0%b7%84%e0%b6%bd/,https://pubsec.gov.lk/si/home-%e0%b7%83%e0%b7%92%e0%b6%82%e0%b7%84%e0%b6%bd/,2026-09-09T00:06:08.712841+05:30
http,pass,Probe 11: HTTP 200 at https://pubsec.gov.lk/ta/home-%e0%ae%a4%e0%ae%ae%e0%ae%bf%e0%ae%b4%e0%af%8d/,https://pubsec.gov.lk/ta/home-%e0%ae%a4%e0%ae%ae%e0%ae%bf%e0%ae%b4%e0%af%8d/,2026-09-09T00:06:08.712844+05:30
http,pass,Probe 12: HTTP 200 at https://pubsec.gov.lk/vision-mission/,https://pubsec.gov.lk/vision-mission/,2026-09-09T00:06:08.712846+05:30
http,pass,Probe 13: HTTP 200 at https://pubsec.gov.lk/key-functions/,https://pubsec.gov.lk/key-functions/,2026-09-09T00:06:08.712849+05:30
http,pass,Probe 14: HTTP 200 at https://pubsec.gov.lk/our-history/,https://pubsec.gov.lk/our-history/,2026-09-09T00:06:08.712851+05:30
email,pass,Published email: info@pubsec.gov.lk,https://pubsec.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://pubsec.gov.lk/,
email,pass,Published email: info@pubsec.gov.lk,https://pubsec.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://pubsec.gov.lk/,
email,pass,Published email: info@pubsec.gov.lk,https://pubsec.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://pubsec.gov.lk/,
email,pass,Published email: info@pubsec.gov.lk,https://pubsec.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://pubsec.gov.lk/,
phone,pass,Published phone: 0112786974 ,https://pubsec.gov.lk/parliamentary-affairs-division/,
phone,pass,Published phone: 0112 786948 ,https://pubsec.gov.lk/parliamentary-affairs-division/,
phone,pass,Published phone: 0112 786947 ,https://pubsec.gov.lk/parliamentary-affairs-division/,
phone,pass,Published phone: 0112786951 ,https://pubsec.gov.lk/parliamentary-affairs-division/,
phone,pass,Published phone: 0112786968 ,https://pubsec.gov.lk/parliamentary-affairs-division/,
phone,pass,Published phone: 0112 786946 ,https://pubsec.gov.lk/parliamentary-affairs-division/,
email,pass,Published email: addlsecpa@gmail.com,https://pubsec.gov.lk/parliamentary-affairs-division/,
email,pass,Published email: info@pubsec.gov.lk,https://pubsec.gov.lk/parliamentary-affairs-division/,
email,pass,Published email: sas.parliamentaryaffairs@gmail.com,https://pubsec.gov.lk/parliamentary-affairs-division/,
named_responsibility,pass,Published named responsibility: division,https://pubsec.gov.lk/parliamentary-affairs-division/,
phone,pass,Published phone: +94 11 288 7307 ,https://pubsec.gov.lk/contact-us/,
phone,pass,Published phone: 0112 786947 ,https://pubsec.gov.lk/contact-us/,
phone,pass,Published phone: +94 11 288 77 56 ,https://pubsec.gov.lk/contact-us/,
phone,pass,Published phone: 011 288 77 56 ,https://pubsec.gov.lk/contact-us/,
phone,pass,Published phone: 011 288 77 50 ,https://pubsec.gov.lk/contact-us/,
phone,pass,Published phone: 011 288 76 83 ,https://pubsec.gov.lk/contact-us/,
phone,pass,Published phone: 0112 786946 ,https://pubsec.gov.lk/contact-us/,
email,pass,Published email: info@pubsec.gov.lk,https://pubsec.gov.lk/contact-us/,
email,pass,Published email: sasadmin@pubsec.gov.lk,https://pubsec.gov.lk/contact-us/,
email,pass,Published email: iau@pubsec.gov.lk,https://pubsec.gov.lk/contact-us/,
email,pass,Published email: addlsecpa@gmail.com,https://pubsec.gov.lk/contact-us/,
email,pass,Published email: adsec_admin@pubsec.gov.lk,https://pubsec.gov.lk/contact-us/,
named_responsibility,pass,Published named responsibility: division,https://pubsec.gov.lk/contact-us/,
email,pass,Published email: info@pubsec.gov.lk,https://pubsec.gov.lk/the-official-website-of-the-118-public-security-service-operates-as-a-24-7-online-portal-for-submitting-public-information-and-complaints/,
