check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:33:30.388227+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:33:30.388246+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-08T23:33:30.414194+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://nncoe.sch.lk/,2026-09-08T23:33:43.454997+05:30
http,pass,Probe 2: HTTP 200 at http://nncoe.sch.lk/,http://nncoe.sch.lk/,2026-09-08T23:33:43.455018+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://nncoe.sch.lk/,2026-09-08T23:33:43.455022+05:30
http,pass,Probe 4: HTTP 200 at http://nncoe.sch.lk/,http://nncoe.sch.lk/,2026-09-08T23:33:43.455025+05:30
http,pass,Probe 5: HTTP 200 at http://nncoe.sch.lk/contact.html,http://nncoe.sch.lk/contact.html,2026-09-08T23:33:43.455027+05:30
http,pass,Probe 6: HTTP 200 at http://nncoe.sch.lk/index.html,http://nncoe.sch.lk/index.html,2026-09-08T23:33:43.455030+05:30
http,pass,Probe 7: HTTP 200 at http://nncoe.sch.lk/History.html,http://nncoe.sch.lk/History.html,2026-09-08T23:33:43.455033+05:30
http,pass,Probe 8: HTTP 200 at http://nncoe.sch.lk/map.html,http://nncoe.sch.lk/map.html,2026-09-08T23:33:43.455035+05:30
http,pass,Probe 9: HTTP 200 at http://nncoe.sch.lk/map_c.html,http://nncoe.sch.lk/map_c.html,2026-09-08T23:33:43.455038+05:30
http,pass,Probe 10: HTTP 200 at http://nncoe.sch.lk/committes.html,http://nncoe.sch.lk/committes.html,2026-09-08T23:33:43.455040+05:30
http,pass,Probe 11: HTTP 200 at http://nncoe.sch.lk/Mathz.html,http://nncoe.sch.lk/Mathz.html,2026-09-08T23:33:43.455043+05:30
http,pass,Probe 12: HTTP 200 at http://nncoe.sch.lk/Mathz_sin.html,http://nncoe.sch.lk/Mathz_sin.html,2026-09-08T23:33:43.455046+05:30
http,pass,Probe 13: HTTP 200 at http://nncoe.sch.lk/Science.html,http://nncoe.sch.lk/Science.html,2026-09-08T23:33:43.455049+05:30
http,pass,Probe 14: HTTP 200 at http://nncoe.sch.lk/Science_sin.html,http://nncoe.sch.lk/Science_sin.html,2026-09-08T23:33:43.455051+05:30
phone,pass,Published phone: +94) 041 22 83 21,http://nncoe.sch.lk/,
phone,pass,Published phone: 0412283213 ,http://nncoe.sch.lk/,
phone,pass,Published phone: 0412283212 ,http://nncoe.sch.lk/,
phone,pass,Published phone: 0412283214 ,http://nncoe.sch.lk/,
phone,pass,Published phone: 0412283211 ,http://nncoe.sch.lk/,
email,pass,Published email: pnniwa@gmail.com,http://nncoe.sch.lk/,
phone,pass,Published phone: +94) 041 22 83 21,http://nncoe.sch.lk/,
phone,pass,Published phone: 0412283213 ,http://nncoe.sch.lk/,
phone,pass,Published phone: 0412283212 ,http://nncoe.sch.lk/,
phone,pass,Published phone: 0412283214 ,http://nncoe.sch.lk/,
phone,pass,Published phone: 0412283211 ,http://nncoe.sch.lk/,
email,pass,Published email: pnniwa@gmail.com,http://nncoe.sch.lk/,
phone,pass,Published phone: 0412283210 ,http://nncoe.sch.lk/contact.html,
phone,pass,Published phone: 0412283213 ,http://nncoe.sch.lk/contact.html,
phone,pass,Published phone: +94) 041 22 83 21,http://nncoe.sch.lk/contact.html,
phone,pass,Published phone: 0412283212 ,http://nncoe.sch.lk/contact.html,
phone,pass,Published phone: 0412283214 ,http://nncoe.sch.lk/contact.html,
phone,pass,Published phone: 0412283211 ,http://nncoe.sch.lk/contact.html,
phone,pass,Published phone: 0412228321,http://nncoe.sch.lk/contact.html,
email,pass,Published email: pnniwa@gmail.com,http://nncoe.sch.lk/contact.html,
postal_address,pass,"Published postal address: Nilwala National College of Education Vice President(Administration) : Tel:0412283213 Wilpita,Akuressa. Web Site : http:",http://nncoe.sch.lk/contact.html,
phone,pass,Published phone: +94) 041 22 83 21,http://nncoe.sch.lk/index.html,
phone,pass,Published phone: 0412283213 ,http://nncoe.sch.lk/index.html,
phone,pass,Published phone: 0412283212 ,http://nncoe.sch.lk/index.html,
phone,pass,Published phone: 0412283214 ,http://nncoe.sch.lk/index.html,
phone,pass,Published phone: 0412283211 ,http://nncoe.sch.lk/index.html,
email,pass,Published email: pnniwa@gmail.com,http://nncoe.sch.lk/index.html,
phone,pass,Published phone: +94) 041 222 83 2,http://nncoe.sch.lk/History.html,
phone,pass,Published phone: 0412228321,http://nncoe.sch.lk/History.html,
email,pass,Published email: pnniwa@gmail.com,http://nncoe.sch.lk/History.html,
phone,pass,Published phone: +94) 041 222 83 2,http://nncoe.sch.lk/map.html,
phone,pass,Published phone: 0412228321,http://nncoe.sch.lk/map.html,
email,pass,Published email: pnniwa@gmail.com,http://nncoe.sch.lk/map.html,
phone,pass,Published phone: +94) 041 222 83 2,http://nncoe.sch.lk/map_c.html,
phone,pass,Published phone: 0412228321,http://nncoe.sch.lk/map_c.html,
email,pass,Published email: pnniwa@gmail.com,http://nncoe.sch.lk/map_c.html,
phone,pass,Published phone: +94) 041 222 83 2,http://nncoe.sch.lk/committes.html,
phone,pass,Published phone: 0412228321,http://nncoe.sch.lk/committes.html,
email,pass,Published email: pnniwa@gmail.com,http://nncoe.sch.lk/committes.html,
phone,pass,Published phone: +94) 041 222 83 2,http://nncoe.sch.lk/Mathz.html,
phone,pass,Published phone: 0412228321,http://nncoe.sch.lk/Mathz.html,
