check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:08:20.963597+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:08:20.963647+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:08:21.176949+05:30
http,pass,Probe 1: HTTP 200 at https://fiusrilanka.gov.lk/,https://fiusrilanka.gov.lk/,2026-09-09T00:08:36.709085+05:30
http,pass,Probe 2: HTTP 200 at http://fiusrilanka.gov.lk/,http://fiusrilanka.gov.lk/,2026-09-09T00:08:36.709105+05:30
http,pass,Probe 3: HTTP 200 at https://fiusrilanka.gov.lk/,https://fiusrilanka.gov.lk/,2026-09-09T00:08:36.709109+05:30
http,pass,Probe 4: HTTP 200 at http://fiusrilanka.gov.lk/,http://fiusrilanka.gov.lk/,2026-09-09T00:08:36.709112+05:30
http,pass,Probe 5: HTTP 200 at https://fiusrilanka.gov.lk/contact.html,https://fiusrilanka.gov.lk/contact.html,2026-09-09T00:08:36.709115+05:30
http,pass,Probe 6: HTTP 200 at https://fiusrilanka.gov.lk/docs/Downloads/2018/Compliance_Officer_Declaration.pdf,https://fiusrilanka.gov.lk/docs/Downloads/2018/Compliance_Officer_Declaration.pdf,2026-09-09T00:08:36.709118+05:30
http,pass,Probe 7: HTTP 200 at https://fiusrilanka.gov.lk/docs/Downloads/2019/DFNFBP_Compliance_Officer_Declaration_Form.pdf,https://fiusrilanka.gov.lk/docs/Downloads/2019/DFNFBP_Compliance_Officer_Declaration_Form.pdf,2026-09-09T00:08:36.709121+05:30
http,pass,Probe 8: HTTP 200 at https://fiusrilanka.gov.lk/index.html,https://fiusrilanka.gov.lk/index.html,2026-09-09T00:08:36.709124+05:30
http,pass,Probe 9: HTTP 200 at https://fiusrilanka.gov.lk/acts_regulations.html,https://fiusrilanka.gov.lk/acts_regulations.html,2026-09-09T00:08:36.709126+05:30
http,pass,Probe 10: HTTP 200 at https://fiusrilanka.gov.lk/rules_directions.html,https://fiusrilanka.gov.lk/rules_directions.html,2026-09-09T00:08:36.709129+05:30
http,pass,Probe 11: HTTP 200 at https://fiusrilanka.gov.lk/circulars_guidelines.html,https://fiusrilanka.gov.lk/circulars_guidelines.html,2026-09-09T00:08:36.709132+05:30
http,pass,Probe 12: HTTP 200 at https://fiusrilanka.gov.lk/faq.html,https://fiusrilanka.gov.lk/faq.html,2026-09-09T00:08:36.709134+05:30
