check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:26:45.454372+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:26:45.454393+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:26:45.553319+05:30
http,pass,Probe 1: HTTP 200 at https://kdu.ac.lk/,https://kdu.ac.lk/,2026-09-08T23:27:02.164341+05:30
http,pass,Probe 2: HTTP 200 at https://kdu.ac.lk/,http://kdu.ac.lk/,2026-09-08T23:27:02.164364+05:30
http,pass,Probe 3: HTTP 200 at https://kdu.ac.lk/,https://kdu.ac.lk/,2026-09-08T23:27:02.164367+05:30
http,pass,Probe 4: HTTP 200 at https://kdu.ac.lk/,http://kdu.ac.lk/,2026-09-08T23:27:02.164370+05:30
http,pass,Probe 5: HTTP 200 at https://kdu.ac.lk/enlistment-of-officer-cadets/,https://kdu.ac.lk/enlistment-of-officer-cadets/,2026-09-08T23:27:02.164373+05:30
http,pass,Probe 6: HTTP 200 at https://kdu.ac.lk/office-of-research/,https://kdu.ac.lk/office-of-research/,2026-09-08T23:27:02.164376+05:30
http,pass,Probe 7: HTTP 200 at https://admin.kdu.ac.lk/logistics-division/tender-notices/,https://kdu.ac.lk/logistics-division/tender-notices/,2026-09-08T23:27:02.164379+05:30
http,pass,Probe 8: HTTP 200 at https://admin.kdu.ac.lk/logistics-division/april-2023/,https://kdu.ac.lk/logistics-division/april-2023/,2026-09-08T23:27:02.164382+05:30
http,pass,Probe 9: HTTP 200 at https://admin.kdu.ac.lk/logistics-division/uhkdu-january-2023/,https://kdu.ac.lk/logistics-division/uhkdu-january-2023/,2026-09-08T23:27:02.164384+05:30
http,pass,Probe 10: HTTP 200 at https://kdu.ac.lk/academic-staff/,https://kdu.ac.lk/academic-staff/,2026-09-08T23:27:02.164387+05:30
http,pass,Probe 11: HTTP 200 at https://kdu.ac.lk/academic-faculties/,https://kdu.ac.lk/academic-faculties/,2026-09-08T23:27:02.164390+05:30
http,pass,Probe 12: HTTP 200 at https://kdu.ac.lk/enrollment-of-day-scholars/,https://kdu.ac.lk/enrollment-of-day-scholars/,2026-09-08T23:27:02.164392+05:30
