check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:27:56.761310+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:27:56.761330+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:27:57.179265+05:30
http,pass,Probe 1: HTTP 200 at https://www.onlinesafety.lk/,https://www.onlinesafety.lk/,2026-09-08T23:28:30.186140+05:30
http,pass,Probe 2: HTTP 200 at https://www.onlinesafety.lk/,http://www.onlinesafety.lk/,2026-09-08T23:28:30.186165+05:30
http,pass,Probe 3: HTTP 200 at https://www.onlinesafety.lk/,https://www.onlinesafety.lk/,2026-09-08T23:28:30.186169+05:30
http,pass,Probe 4: HTTP 200 at https://www.onlinesafety.lk/,http://www.onlinesafety.lk/,2026-09-08T23:28:30.186172+05:30
http,pass,Probe 5: HTTP 200 at https://www.onlinesafety.lk/contact,https://www.onlinesafety.lk/contact.html,2026-09-08T23:28:30.186175+05:30
http,pass,Probe 6: HTTP 200 at https://www.onlinesafety.lk/privacy,https://www.onlinesafety.lk/privacy.html,2026-09-08T23:28:30.186178+05:30
http,pass,Probe 7: HTTP 200 at https://www.onlinesafety.lk/legal,https://www.onlinesafety.lk/legal.html,2026-09-08T23:28:30.186181+05:30
http,pass,Probe 8: HTTP 200 at https://www.onlinesafety.lk/,https://www.onlinesafety.lk/index.html,2026-09-08T23:28:30.186184+05:30
http,pass,Probe 9: HTTP 200 at https://www.onlinesafety.lk/about,https://www.onlinesafety.lk/about.html,2026-09-08T23:28:30.186187+05:30
http,pass,Probe 10: HTTP 200 at https://www.onlinesafety.lk/other_reports,https://www.onlinesafety.lk/other_reports.html,2026-09-08T23:28:30.186189+05:30
http,pass,Probe 11: HTTP 200 at https://www.onlinesafety.lk/media,https://www.onlinesafety.lk/media.html,2026-09-08T23:28:30.186192+05:30
http,pass,Probe 12: HTTP 200 at https://www.onlinesafety.lk/publications,https://www.onlinesafety.lk/publications.html,2026-09-08T23:28:30.186195+05:30
http,pass,Probe 13: HTTP 200 at https://www.onlinesafety.lk/general,https://www.onlinesafety.lk/general.html,2026-09-08T23:28:30.186197+05:30
http,pass,Probe 14: HTTP 200 at https://www.onlinesafety.lk/government,https://www.onlinesafety.lk/government.html,2026-09-08T23:28:30.186200+05:30
phone,pass,Published phone: +94 11 269 1692 ,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112317237,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112691692,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94 11 269 1692,https://www.onlinesafety.lk/,
email,pass,Published email: cert@cert.gov.lk,https://www.onlinesafety.lk/,
email,pass,Published email: onlinesafety@cert.gov.lk,https://www.onlinesafety.lk/,
postal_address,pass,"Published postal address: cert.gov.lk Room 4-112, BMICH, Bauddhaloka Mawatha, Colombo 07, Sri Lanka",https://www.onlinesafety.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.onlinesafety.lk/,
downloadable_form,pass,Published downloadable form: https://www.onlinesafety.lk/uploads/guidelines/Web-Application-Security-Guidelines-for-Government-Organizations_2022.pdf,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94 11 269 1692 ,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112317237,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112691692,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94 11 269 1692,https://www.onlinesafety.lk/,
email,pass,Published email: cert@cert.gov.lk,https://www.onlinesafety.lk/,
email,pass,Published email: onlinesafety@cert.gov.lk,https://www.onlinesafety.lk/,
postal_address,pass,"Published postal address: cert.gov.lk Room 4-112, BMICH, Bauddhaloka Mawatha, Colombo 07, Sri Lanka",https://www.onlinesafety.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.onlinesafety.lk/,
downloadable_form,pass,Published downloadable form: https://www.onlinesafety.lk/uploads/guidelines/Web-Application-Security-Guidelines-for-Government-Organizations_2022.pdf,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94 11 269 1692 ,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112317237,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112691692,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94 11 269 1692,https://www.onlinesafety.lk/,
email,pass,Published email: cert@cert.gov.lk,https://www.onlinesafety.lk/,
email,pass,Published email: onlinesafety@cert.gov.lk,https://www.onlinesafety.lk/,
postal_address,pass,"Published postal address: cert.gov.lk Room 4-112, BMICH, Bauddhaloka Mawatha, Colombo 07, Sri Lanka",https://www.onlinesafety.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.onlinesafety.lk/,
downloadable_form,pass,Published downloadable form: https://www.onlinesafety.lk/uploads/guidelines/Web-Application-Security-Guidelines-for-Government-Organizations_2022.pdf,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94 11 269 1692 ,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112317237,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112691692,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94 11 269 1692,https://www.onlinesafety.lk/,
email,pass,Published email: cert@cert.gov.lk,https://www.onlinesafety.lk/,
email,pass,Published email: onlinesafety@cert.gov.lk,https://www.onlinesafety.lk/,
postal_address,pass,"Published postal address: cert.gov.lk Room 4-112, BMICH, Bauddhaloka Mawatha, Colombo 07, Sri Lanka",https://www.onlinesafety.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.onlinesafety.lk/,
downloadable_form,pass,Published downloadable form: https://www.onlinesafety.lk/uploads/guidelines/Web-Application-Security-Guidelines-for-Government-Organizations_2022.pdf,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94 11 269 1692 ,https://www.onlinesafety.lk/contact,
phone,pass,Published phone: +101,https://www.onlinesafety.lk/contact,
phone,pass,Published phone: +94 11 269 1692,https://www.onlinesafety.lk/contact,
email,pass,Published email: cert@cert.gov.lk,https://www.onlinesafety.lk/contact,
email,pass,Published email: onlinesafety@cert.gov.lk,https://www.onlinesafety.lk/contact,
postal_address,pass,"Published postal address: cert.gov.lk our location Room 4-112, BMICH, Bauddhaloka Mawatha, Colombo 07, Sri Lanka",https://www.onlinesafety.lk/contact,
phone,pass,Published phone: +94 11 269 1692 ,https://www.onlinesafety.lk/privacy,
email,pass,Published email: onlinesafety@cert.gov.lk,https://www.onlinesafety.lk/privacy,
postal_address,pass,Published postal address: or proxy address Browser type and operating system Date and time of visit Pages visited and duration Internet Service Pr,https://www.onlinesafety.lk/privacy,
phone,pass,Published phone: +94 11 269 1692 ,https://www.onlinesafety.lk/legal,
email,pass,Published email: onlinesafety@cert.gov.lk,https://www.onlinesafety.lk/legal,
postal_address,pass,"Published postal address: cert.gov.lk Room 4-112, BMICH, Bauddhaloka Mawatha, Colombo 07, Sri Lanka",https://www.onlinesafety.lk/legal,
phone,pass,Published phone: +94 11 269 1692 ,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112317237,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112691692,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94 11 269 1692,https://www.onlinesafety.lk/,
email,pass,Published email: cert@cert.gov.lk,https://www.onlinesafety.lk/,
email,pass,Published email: onlinesafety@cert.gov.lk,https://www.onlinesafety.lk/,
postal_address,pass,"Published postal address: cert.gov.lk Room 4-112, BMICH, Bauddhaloka Mawatha, Colombo 07, Sri Lanka",https://www.onlinesafety.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.onlinesafety.lk/,
downloadable_form,pass,Published downloadable form: https://www.onlinesafety.lk/uploads/guidelines/Web-Application-Security-Guidelines-for-Government-Organizations_2022.pdf,https://www.onlinesafety.lk/,
phone,pass,Published phone: +94112317237,https://www.onlinesafety.lk/about,
