check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:36:45.925067+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:36:45.925093+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:36:46.351840+05:30
http,pass,Probe 1: HTTP 200 at https://www.boc.lk/,https://www.boc.lk/,2026-09-08T23:37:10.848233+05:30
http,pass,Probe 2: HTTP 200 at https://www.boc.lk/,http://www.boc.lk/,2026-09-08T23:37:10.848254+05:30
http,pass,Probe 3: HTTP 200 at https://www.boc.lk/,https://www.boc.lk/,2026-09-08T23:37:10.848257+05:30
http,pass,Probe 4: HTTP 200 at https://www.boc.lk/,http://www.boc.lk/,2026-09-08T23:37:10.848260+05:30
http,pass,Probe 5: HTTP 200 at https://www.boc.lk/contact,https://www.boc.lk/contact,2026-09-08T23:37:10.848263+05:30
http,pass,Probe 6: HTTP 200 at https://www.boc.lk/personal-banking/other-services,https://www.boc.lk/personal-banking/other-services,2026-09-08T23:37:10.848265+05:30
http,pass,Probe 7: HTTP 200 at https://www.boc.lk/personal-banking/cards/information/merchants-services,https://www.boc.lk/personal-banking/cards/information/merchants-services,2026-09-08T23:37:10.848268+05:30
http,pass,Probe 8: HTTP 200 at https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,2026-09-08T23:37:10.848271+05:30
http,pass,Probe 9: HTTP 200 at https://www.boc.lk/personal-banking/other-services/special-1/thilinapath,https://www.boc.lk/personal-banking/other-services/special-1/thilinapath,2026-09-08T23:37:10.848273+05:30
http,pass,Probe 10: HTTP 200 at https://www.boc.lk/personal-banking/other-services/safe-deposit-lockers/safe-deposit-lockers,https://www.boc.lk/personal-banking/other-services/safe-deposit-lockers/safe-deposit-lockers,2026-09-08T23:37:10.848276+05:30
http,pass,Probe 11: HTTP 200 at https://www.boc.lk/personal-banking/other-services/islamic-banking/an-noor,https://www.boc.lk/personal-banking/other-services/islamic-banking/an-noor,2026-09-08T23:37:10.848279+05:30
http,pass,Probe 12: HTTP 200 at https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts,2026-09-08T23:37:10.848281+05:30
http,pass,Probe 13: HTTP 200 at https://www.boc.lk/personal-banking/other-services/special-1,https://www.boc.lk/personal-banking/other-services/special-1,2026-09-08T23:37:10.848283+05:30
http,pass,Probe 14: HTTP 200 at https://www.boc.lk/personal-banking/other-services/safe-deposit-lockers,https://www.boc.lk/personal-banking/other-services/safe-deposit-lockers,2026-09-08T23:37:10.848286+05:30
phone,pass,Published phone: +94112204444,https://www.boc.lk/,
phone,pass,Published phone: +94 11 220 4444 ,https://www.boc.lk/,
phone,pass,Published phone: 08.09.2026 11,https://www.boc.lk/,
phone,pass,Published phone: 00 12 18 24 30 ,https://www.boc.lk/,
phone,pass,Published phone: +1975,https://www.boc.lk/,
email,pass,Published email: boc@boc.lk,https://www.boc.lk/,
postal_address,pass,"Published postal address: No 1, BOC Square, Bank of Ceylon Mawatha, Colombo 01, Sri Lanka",https://www.boc.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.boc.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 0,https://www.boc.lk/,
phone,pass,Published phone: +94112204444,https://www.boc.lk/,
phone,pass,Published phone: +94 11 220 4444 ,https://www.boc.lk/,
phone,pass,Published phone: 08.09.2026 11,https://www.boc.lk/,
phone,pass,Published phone: 00 12 18 24 30 ,https://www.boc.lk/,
phone,pass,Published phone: +1975,https://www.boc.lk/,
email,pass,Published email: boc@boc.lk,https://www.boc.lk/,
postal_address,pass,"Published postal address: No 1, BOC Square, Bank of Ceylon Mawatha, Colombo 01, Sri Lanka",https://www.boc.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.boc.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 0,https://www.boc.lk/,
phone,pass,Published phone: +94112204444,https://www.boc.lk/,
phone,pass,Published phone: +94 11 220 4444 ,https://www.boc.lk/,
phone,pass,Published phone: 08.09.2026 11,https://www.boc.lk/,
phone,pass,Published phone: 00 12 18 24 30 ,https://www.boc.lk/,
phone,pass,Published phone: +1975,https://www.boc.lk/,
email,pass,Published email: boc@boc.lk,https://www.boc.lk/,
postal_address,pass,"Published postal address: No 1, BOC Square, Bank of Ceylon Mawatha, Colombo 01, Sri Lanka",https://www.boc.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.boc.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 0,https://www.boc.lk/,
phone,pass,Published phone: +94112204444,https://www.boc.lk/,
phone,pass,Published phone: +94 11 220 4444 ,https://www.boc.lk/,
phone,pass,Published phone: 08.09.2026 11,https://www.boc.lk/,
phone,pass,Published phone: 00 12 18 24 30 ,https://www.boc.lk/,
phone,pass,Published phone: +1975,https://www.boc.lk/,
email,pass,Published email: boc@boc.lk,https://www.boc.lk/,
postal_address,pass,"Published postal address: No 1, BOC Square, Bank of Ceylon Mawatha, Colombo 01, Sri Lanka",https://www.boc.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.boc.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 0,https://www.boc.lk/,
phone,pass,Published phone: +94112204444,https://www.boc.lk/contact,
phone,pass,Published phone: +94112321160,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 220 4444,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 233 8741 ,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 220 4750 ,https://www.boc.lk/contact,
phone,pass,Published phone: +94112338755,https://www.boc.lk/contact,
phone,pass,Published phone: +94112338741,https://www.boc.lk/contact,
phone,pass,Published phone: 011-2204922 ,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 244 6790 ,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 243 5815 ,https://www.boc.lk/contact,
phone,pass,Published phone: +94112446790,https://www.boc.lk/contact,
phone,pass,Published phone: 011-2338749,https://www.boc.lk/contact,
phone,pass,Published phone: 1975,https://www.boc.lk/contact,
phone,pass,Published phone: 011 220 4444 (,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 232 1160 ,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 220 4444 ,https://www.boc.lk/contact,
phone,pass,Published phone: +94112446811,https://www.boc.lk/contact,
phone,pass,Published phone: 011-2338750 ,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 243 5814 ,https://www.boc.lk/contact,
phone,pass,Published phone: +1975,https://www.boc.lk/contact,
phone,pass,Published phone: 011-2204928 ,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 243 5814,https://www.boc.lk/contact,
phone,pass,Published phone: +94 11 220 4750,https://www.boc.lk/contact,
email,pass,Published email: bocexmgt@boc.lk,https://www.boc.lk/contact,
email,pass,Published email: cmisa@boc.lk,https://www.boc.lk/contact,
email,pass,Published email: boc@boc.lk,https://www.boc.lk/contact,
email,pass,Published email: info@boc.lk,https://www.boc.lk/contact,
postal_address,pass,"Published postal address: No. 1, BOC Square, Bank of Ceylon Mawatha, Colombo 1, Sri Lanka",https://www.boc.lk/contact,
named_responsibility,pass,Published named responsibility: division,https://www.boc.lk/contact,
processing_time,pass,Published processing time: 600 Days,https://www.boc.lk/contact,
phone,pass,Published phone: +94112204444,https://www.boc.lk/personal-banking/other-services,
phone,pass,Published phone: 070 461 8355 ,https://www.boc.lk/personal-banking/other-services,
phone,pass,Published phone: 070 778 7722 ,https://www.boc.lk/personal-banking/other-services,
phone,pass,Published phone: 074 253 2186 ,https://www.boc.lk/personal-banking/other-services,
phone,pass,Published phone: 077 942 6570 ,https://www.boc.lk/personal-banking/other-services,
phone,pass,Published phone: +94 11 220 4444 ,https://www.boc.lk/personal-banking/other-services,
phone,pass,Published phone: +1975,https://www.boc.lk/personal-banking/other-services,
email,pass,Published email: boc@boc.lk,https://www.boc.lk/personal-banking/other-services,
postal_address,pass,"Published postal address: Fox Kandy Kandy, Sri Lanka",https://www.boc.lk/personal-banking/other-services,
named_responsibility,pass,Published named responsibility: division,https://www.boc.lk/personal-banking/other-services,
phone,pass,Published phone: +94112204444,https://www.boc.lk/personal-banking/cards/information/merchants-services,
phone,pass,Published phone: 011 220 5621,https://www.boc.lk/personal-banking/cards/information/merchants-services,
phone,pass,Published phone: +94 11 2204444 ,https://www.boc.lk/personal-banking/cards/information/merchants-services,
phone,pass,Published phone: 011 220 5610 ,https://www.boc.lk/personal-banking/cards/information/merchants-services,
phone,pass,Published phone: +94 11 220 4444 ,https://www.boc.lk/personal-banking/cards/information/merchants-services,
phone,pass,Published phone: 011 220 5610,https://www.boc.lk/personal-banking/cards/information/merchants-services,
phone,pass,Published phone: 011 220 5621 ,https://www.boc.lk/personal-banking/cards/information/merchants-services,
phone,pass,Published phone: 1975,https://www.boc.lk/personal-banking/cards/information/merchants-services,
phone,pass,Published phone: +1975,https://www.boc.lk/personal-banking/cards/information/merchants-services,
email,pass,Published email: boc@boc.lk,https://www.boc.lk/personal-banking/cards/information/merchants-services,
postal_address,pass,"Published postal address: No 1, BOC Square, Bank of Ceylon Mawatha, Colombo 01, Sri Lanka",https://www.boc.lk/personal-banking/cards/information/merchants-services,
named_responsibility,pass,Published named responsibility: director,https://www.boc.lk/personal-banking/cards/information/merchants-services,
eligibility_criteria,pass,Published eligibility criteria: eligibility,https://www.boc.lk/personal-banking/cards/information/merchants-services,
required_documents,pass,Published required documents: required documents,https://www.boc.lk/personal-banking/cards/information/merchants-services,
legal_basis,pass,Published legal basis: gazette,https://www.boc.lk/personal-banking/cards/information/merchants-services,
fees_and_payment,pass,Published fees and payment: free of charge,https://www.boc.lk/personal-banking/cards/information/merchants-services,
phone,pass,Published phone: +94112204444,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
phone,pass,Published phone: +94 11 2204444 ,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
phone,pass,Published phone: +94 11 220 4444 ,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
phone,pass,Published phone: 1975,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
phone,pass,Published phone: +1975,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
email,pass,Published email: boc@boc.lk,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
postal_address,pass,"Published postal address: No 1, BOC Square, Bank of Ceylon Mawatha, Colombo 01, Sri Lanka",https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
named_responsibility,pass,Published named responsibility: division,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
required_documents,pass,Published required documents: required documents,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
legal_basis,pass,Published legal basis: regulations,https://www.boc.lk/personal-banking/other-services/clubs-and-societies-accounts/boc-sansadha,
phone,pass,Published phone: +94112204444,https://www.boc.lk/personal-banking/other-services/special-1/thilinapath,
phone,pass,Published phone: +94 11 2204444 ,https://www.boc.lk/personal-banking/other-services/special-1/thilinapath,
phone,pass,Published phone: +94 11 220 4444 ,https://www.boc.lk/personal-banking/other-services/special-1/thilinapath,
phone,pass,Published phone: 1975,https://www.boc.lk/personal-banking/other-services/special-1/thilinapath,
phone,pass,Published phone: +1975,https://www.boc.lk/personal-banking/other-services/special-1/thilinapath,
email,pass,Published email: boc@boc.lk,https://www.boc.lk/personal-banking/other-services/special-1/thilinapath,
