check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:08:27.320610+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:08:27.320630+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:08:27.889622+05:30
http,pass,Probe 1: HTTP 200 at https://www.prajashakthi.gov.lk/,https://www.prajashakthi.gov.lk/,2026-09-09T00:08:45.815273+05:30
http,pass,Probe 2: HTTP 200 at https://www.prajashakthi.gov.lk/,http://www.prajashakthi.gov.lk/,2026-09-09T00:08:45.815294+05:30
http,pass,Probe 3: HTTP 200 at https://www.prajashakthi.gov.lk/,https://www.prajashakthi.gov.lk/,2026-09-09T00:08:45.815298+05:30
http,pass,Probe 4: HTTP 200 at https://www.prajashakthi.gov.lk/,http://www.prajashakthi.gov.lk/,2026-09-09T00:08:45.815301+05:30
http,pass,Probe 5: HTTP 200 at https://www.prajashakthi.gov.lk/contact/,https://www.prajashakthi.gov.lk/contact/,2026-09-09T00:08:45.815304+05:30
http,pass,Probe 6: HTTP 200 at https://www.prajashakthi.gov.lk/news-detail/divisional-secretaries-briefed-on-2026-development-programmes/,https://www.prajashakthi.gov.lk/news-detail/divisional-secretaries-briefed-on-2026-development-programmes/,2026-09-09T00:08:45.815307+05:30
http,pass,Probe 7: HTTP 200 at https://www.prajashakthi.gov.lk/terms-of-service/,https://www.prajashakthi.gov.lk/terms-of-service/,2026-09-09T00:08:45.815309+05:30
http,pass,Probe 8: HTTP 200 at https://www.prajashakthi.gov.lk/about/,https://www.prajashakthi.gov.lk/about/,2026-09-09T00:08:45.815312+05:30
http,pass,Probe 9: HTTP 200 at https://www.prajashakthi.gov.lk/our-programs/,https://www.prajashakthi.gov.lk/our-programs/,2026-09-09T00:08:45.815314+05:30
http,pass,Probe 10: HTTP 200 at https://www.prajashakthi.gov.lk/local-cdc/,https://www.prajashakthi.gov.lk/local-cdc/,2026-09-09T00:08:45.815317+05:30
http,pass,Probe 11: HTTP 200 at https://www.prajashakthi.gov.lk/news-detail/prajashakthi-first-training-of-trainers-programme/,https://www.prajashakthi.gov.lk/news-detail/prajashakthi-first-training-of-trainers-programme/,2026-09-09T00:08:45.815320+05:30
http,pass,Probe 12: HTTP 200 at https://www.prajashakthi.gov.lk/news-detail/the-national-movement-for-eradicating-poverty-was-launched/,https://www.prajashakthi.gov.lk/news-detail/the-national-movement-for-eradicating-poverty-was-launched/,2026-09-09T00:08:45.815322+05:30
http,pass,Probe 13: HTTP 200 at https://www.prajashakthi.gov.lk/circulars/,https://www.prajashakthi.gov.lk/circulars/,2026-09-09T00:08:45.815325+05:30
http,pass,Probe 14: HTTP 200 at https://www.prajashakthi.gov.lk/all-news/,https://www.prajashakthi.gov.lk/all-news/,2026-09-09T00:08:45.815327+05:30
phone,pass,Published phone: +94 11 235 4354 ,https://www.prajashakthi.gov.lk/,
phone,pass,Published phone: +94-11-2354354,https://www.prajashakthi.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.prajashakthi.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://www.prajashakthi.gov.lk/,
phone,pass,Published phone: +94 11 235 4354 ,https://www.prajashakthi.gov.lk/,
phone,pass,Published phone: +94-11-2354354,https://www.prajashakthi.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.prajashakthi.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://www.prajashakthi.gov.lk/,
phone,pass,Published phone: +94 11 235 4354 ,https://www.prajashakthi.gov.lk/,
phone,pass,Published phone: +94-11-2354354,https://www.prajashakthi.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.prajashakthi.gov.lk/,
legal_basis,pass,Published legal basis: gazette,https://www.prajashakthi.gov.lk/,
phone,pass,Published phone: +94 11 235 4354 ,https://www.prajashakthi.gov.lk/,
