check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:01:33.000573+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:01:33.000593+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:01:33.298561+05:30
http,pass,Probe 1: HTTP 200 at https://coop.gov.lk/,https://coop.gov.lk/,2026-09-09T00:01:36.669801+05:30
http,pass,Probe 2: HTTP 200 at http://coop.gov.lk/,http://coop.gov.lk/,2026-09-09T00:01:36.669831+05:30
http,pass,Probe 3: HTTP 200 at https://coop.gov.lk/,https://coop.gov.lk/,2026-09-09T00:01:36.669834+05:30
http,pass,Probe 4: HTTP 200 at http://coop.gov.lk/,http://coop.gov.lk/,2026-09-09T00:01:36.669837+05:30
generic_hosting,fail,Detected generic hosting marker: under construction,https://coop.gov.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,http://coop.gov.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,https://coop.gov.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,http://coop.gov.lk/,
page_text,fail,Only 61 visible characters across 4 pages; below substance threshold 200,https://coop.gov.lk/,
