check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:33:00.715648+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:33:00.715667+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:33:00.744808+05:30
http,pass,Probe 1: HTTP 200 at https://dtet.gov.lk/en/,https://dtet.gov.lk/,2026-09-08T23:33:22.197668+05:30
http,pass,Probe 2: HTTP 200 at https://dtet.gov.lk/en/,http://dtet.gov.lk/,2026-09-08T23:33:22.197689+05:30
http,pass,Probe 3: HTTP 200 at https://dtet.gov.lk/en/,https://dtet.gov.lk/,2026-09-08T23:33:22.197692+05:30
http,pass,Probe 4: HTTP 200 at https://dtet.gov.lk/en/,http://dtet.gov.lk/,2026-09-08T23:33:22.197696+05:30
http,pass,Probe 5: HTTP 200 at https://dtet.gov.lk/en/director-generals-office/,https://dtet.gov.lk/en/director-generals-office/,2026-09-08T23:33:22.197699+05:30
http,pass,Probe 6: HTTP 200 at https://dtet.gov.lk/en/academic-affairs-division/,https://dtet.gov.lk/en/academic-affairs-division/,2026-09-08T23:33:22.197701+05:30
http,pass,Probe 7: HTTP 200 at https://dtet.gov.lk/en/business-development-research-division/,https://dtet.gov.lk/en/business-development-research-division/,2026-09-08T23:33:22.197704+05:30
http,pass,Probe 8: HTTP 200 at https://dtet.gov.lk/en/testing-and-evaluation-division/,https://dtet.gov.lk/en/testing-and-evaluation-division/,2026-09-08T23:33:22.197707+05:30
http,pass,Probe 9: HTTP 200 at https://dtet.gov.lk/en/financial-management-division/,https://dtet.gov.lk/en/financial-management-division/,2026-09-08T23:33:22.197710+05:30
http,pass,Probe 10: HTTP 200 at https://dtet.gov.lk/en/industrial-liaison-and-career-guidance-division/,https://dtet.gov.lk/en/industrial-liaison-and-career-guidance-division/,2026-09-08T23:33:22.197713+05:30
http,pass,Probe 11: HTTP 200 at https://dtet.gov.lk/en/administration-division/,https://dtet.gov.lk/en/administration-division/,2026-09-08T23:33:22.197715+05:30
http,pass,Probe 12: HTTP 200 at https://dtet.gov.lk/en/infra-structure-development-division/,https://dtet.gov.lk/en/infra-structure-development-division/,2026-09-08T23:33:22.197718+05:30
http,pass,Probe 13: HTTP 200 at https://dtet.gov.lk/en/supplies-and-services-division/,https://dtet.gov.lk/en/supplies-and-services-division/,2026-09-08T23:33:22.197721+05:30
http,pass,Probe 14: HTTP 200 at https://dtet.gov.lk/en/planning-division/,https://dtet.gov.lk/en/planning-division/,2026-09-08T23:33:22.197723+05:30
phone,pass,Published phone: 0.8908 17.622,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.6979 8.6496,https://dtet.gov.lk/en/,
phone,pass,Published phone: +94112348897,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.7881 3.2106,https://dtet.gov.lk/en/,
phone,pass,Published phone: 04.701.663.32,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.1952 2.1382,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.8908 5.4124,https://dtet.gov.lk/en/,
phone,pass,Published phone: +94 112 348 897 ,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.1952 21.446,https://dtet.gov.lk/en/,
email,pass,Published email: info@dtet.gov.lk,https://dtet.gov.lk/en/,
postal_address,pass,"Published postal address: Contact Us P.O.Box 557, Olcott Mawatha, Colombo 10, Sri Lanka",https://dtet.gov.lk/en/,
named_responsibility,pass,Published named responsibility: director,https://dtet.gov.lk/en/,
legal_basis,pass,Published legal basis: gazette,https://dtet.gov.lk/en/,
fees_and_payment,pass,"Published fees and payment: rs,",https://dtet.gov.lk/en/,
published_update_date,pass,Published published update date: 2025-10-30,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.8908 17.622,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.6979 8.6496,https://dtet.gov.lk/en/,
phone,pass,Published phone: +94112348897,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.7881 3.2106,https://dtet.gov.lk/en/,
phone,pass,Published phone: 04.701.663.32,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.1952 2.1382,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.8908 5.4124,https://dtet.gov.lk/en/,
phone,pass,Published phone: +94 112 348 897 ,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.1952 21.446,https://dtet.gov.lk/en/,
email,pass,Published email: info@dtet.gov.lk,https://dtet.gov.lk/en/,
postal_address,pass,"Published postal address: Contact Us P.O.Box 557, Olcott Mawatha, Colombo 10, Sri Lanka",https://dtet.gov.lk/en/,
named_responsibility,pass,Published named responsibility: director,https://dtet.gov.lk/en/,
legal_basis,pass,Published legal basis: gazette,https://dtet.gov.lk/en/,
fees_and_payment,pass,"Published fees and payment: rs,",https://dtet.gov.lk/en/,
published_update_date,pass,Published published update date: 2025-10-30,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.8908 17.622,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.6979 8.6496,https://dtet.gov.lk/en/,
phone,pass,Published phone: +94112348897,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.7881 3.2106,https://dtet.gov.lk/en/,
phone,pass,Published phone: 04.701.663.32,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.1952 2.1382,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.8908 5.4124,https://dtet.gov.lk/en/,
phone,pass,Published phone: +94 112 348 897 ,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.1952 21.446,https://dtet.gov.lk/en/,
email,pass,Published email: info@dtet.gov.lk,https://dtet.gov.lk/en/,
postal_address,pass,"Published postal address: Contact Us P.O.Box 557, Olcott Mawatha, Colombo 10, Sri Lanka",https://dtet.gov.lk/en/,
named_responsibility,pass,Published named responsibility: director,https://dtet.gov.lk/en/,
legal_basis,pass,Published legal basis: gazette,https://dtet.gov.lk/en/,
fees_and_payment,pass,"Published fees and payment: rs,",https://dtet.gov.lk/en/,
published_update_date,pass,Published published update date: 2025-10-30,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.8908 17.622,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.6979 8.6496,https://dtet.gov.lk/en/,
phone,pass,Published phone: +94112348897,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.7881 3.2106,https://dtet.gov.lk/en/,
phone,pass,Published phone: 04.701.663.32,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.1952 2.1382,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.8908 5.4124,https://dtet.gov.lk/en/,
phone,pass,Published phone: +94 112 348 897 ,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.1952 21.446,https://dtet.gov.lk/en/,
email,pass,Published email: info@dtet.gov.lk,https://dtet.gov.lk/en/,
postal_address,pass,"Published postal address: Contact Us P.O.Box 557, Olcott Mawatha, Colombo 10, Sri Lanka",https://dtet.gov.lk/en/,
named_responsibility,pass,Published named responsibility: director,https://dtet.gov.lk/en/,
legal_basis,pass,Published legal basis: gazette,https://dtet.gov.lk/en/,
fees_and_payment,pass,"Published fees and payment: rs,",https://dtet.gov.lk/en/,
published_update_date,pass,Published published update date: 2025-10-30,https://dtet.gov.lk/en/,
phone,pass,Published phone: 0.8908 17.622,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: +94112431288 ,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: 0.6979 8.6496,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: +94112348897,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: 0.7881 3.2106,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: 04.701.663.32,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: 0.1952 2.1382,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: 0.8908 5.4124,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: +94 112 348 897 ,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: +94112449136 ,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: 0.1952 21.446,https://dtet.gov.lk/en/director-generals-office/,
email,pass,Published email: info@dtet.gov.lk,https://dtet.gov.lk/en/director-generals-office/,
email,pass,Published email: dg@dtet.gov.lk,https://dtet.gov.lk/en/director-generals-office/,
postal_address,pass,"Published postal address: Contact Us P.O.Box 557, Olcott Mawatha, Colombo 10, Sri Lanka",https://dtet.gov.lk/en/director-generals-office/,
named_responsibility,pass,Published named responsibility: director,https://dtet.gov.lk/en/director-generals-office/,
legal_basis,pass,Published legal basis: gazette,https://dtet.gov.lk/en/director-generals-office/,
phone,pass,Published phone: 011 2424977 ,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: 0112423394 ,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: 0.8908 17.622,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: 0.6979 8.6496,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: +94112348897,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: 0.7881 3.2106,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: 04.701.663.32,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: 0.1952 2.1382,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: 0.8908 5.4124,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: +94 112 348 897 ,https://dtet.gov.lk/en/academic-affairs-division/,
phone,pass,Published phone: 0.1952 21.446,https://dtet.gov.lk/en/academic-affairs-division/,
email,pass,Published email: info@dtet.gov.lk,https://dtet.gov.lk/en/academic-affairs-division/,
email,pass,Published email: ddaa@dtet.gov.lk,https://dtet.gov.lk/en/academic-affairs-division/,
email,pass,Published email: diracademic@dtet.gov.lk,https://dtet.gov.lk/en/academic-affairs-division/,
