check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:03:53.294231+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:03:53.294252+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:03:54.350163+05:30
http,pass,Probe 1: HTTP 200 at https://mms.dosd.gov.lk/,https://mms.dosd.gov.lk/,2026-09-09T00:05:00.138774+05:30
http,pass,Probe 2: HTTP 200 at https://mms.dosd.gov.lk/,http://mms.dosd.gov.lk/,2026-09-09T00:05:00.138795+05:30
http,pass,Probe 3: HTTP 200 at https://mms.dosd.gov.lk/,https://mms.dosd.gov.lk/,2026-09-09T00:05:00.138798+05:30
http,pass,Probe 4: HTTP 200 at https://mms.dosd.gov.lk/,http://mms.dosd.gov.lk/,2026-09-09T00:05:00.138801+05:30
http,pass,Probe 5: HTTP 200 at https://mms.dosd.gov.lk/staff-divisiondepartment-of-sport-development/,https://mms.dosd.gov.lk/staff-divisiondepartment-of-sport-development/,2026-09-09T00:05:00.138804+05:30
http,pass,Probe 6: HTTP 200 at https://mms.dosd.gov.lk/admin-division/,https://mms.dosd.gov.lk/admin-division/,2026-09-09T00:05:00.138807+05:30
http,pass,Probe 7: HTTP 200 at https://mms.dosd.gov.lk/sports-division/,https://mms.dosd.gov.lk/sports-division/,2026-09-09T00:05:00.138809+05:30
http,pass,Probe 8: HTTP 200 at https://mms.dosd.gov.lk/accounts-division/,https://mms.dosd.gov.lk/accounts-division/,2026-09-09T00:05:00.138816+05:30
http,pass,Probe 9: HTTP 200 at https://mms.dosd.gov.lk/procurement-division/,https://mms.dosd.gov.lk/procurement-division/,2026-09-09T00:05:00.138819+05:30
http,pass,Probe 10: HTTP 200 at https://mms.dosd.gov.lk/planning-division/,https://mms.dosd.gov.lk/planning-division/,2026-09-09T00:05:00.138821+05:30
http,pass,Probe 11: HTTP 200 at https://mms.dosd.gov.lk/development-division/,https://mms.dosd.gov.lk/development-division/,2026-09-09T00:05:00.138824+05:30
http,pass,Probe 12: HTTP 200 at https://mms.dosd.gov.lk/internal-audit-division/,https://mms.dosd.gov.lk/internal-audit-division/,2026-09-09T00:05:00.138827+05:30
