check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:52:12.867231+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:52:12.867250+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:52:13.182107+05:30
http,pass,Probe 1: HTTP 200 at https://www.waterboard.lk/,https://www.waterboard.lk/,2026-09-08T23:53:28.659519+05:30
http,pass,Probe 2: HTTP 200 at https://www.waterboard.lk/,http://www.waterboard.lk/,2026-09-08T23:53:28.659544+05:30
http,pass,Probe 3: HTTP 200 at https://www.waterboard.lk/,https://www.waterboard.lk/,2026-09-08T23:53:28.659547+05:30
http,pass,Probe 4: HTTP 200 at https://www.waterboard.lk/,http://www.waterboard.lk/,2026-09-08T23:53:28.659550+05:30
http,pass,Probe 5: HTTP 200 at https://www.waterboard.lk/contact/,https://www.waterboard.lk/contact/,2026-09-08T23:53:28.659552+05:30
http,pass,Probe 6: HTTP 200 at https://www.waterboard.lk/key-sections/corporate-services-division/,http://www.waterboard.lk/key-sections/corporate-services-division/,2026-09-08T23:53:28.659555+05:30
http,pass,Probe 7: HTTP 200 at https://www.waterboard.lk/key-sections/information-technology-division/,http://www.waterboard.lk/key-sections/information-technology-division/,2026-09-08T23:53:28.659558+05:30
http,pass,Probe 8: HTTP 200 at https://www.waterboard.lk/key-sections/mechanical-electrical-division/,http://www.waterboard.lk/key-sections/mechanical-electrical-division/,2026-09-08T23:53:28.659561+05:30
http,pass,Probe 9: HTTP 200 at https://www.waterboard.lk/key-sections/training-division/,http://www.waterboard.lk/key-sections/training-division/,2026-09-08T23:53:28.659563+05:30
http,pass,Probe 10: HTTP 200 at https://www.waterboard.lk/key-sections/finance-costing-division/,http://www.waterboard.lk/key-sections/finance-costing-division/,2026-09-08T23:53:28.659566+05:30
http,pass,Probe 11: HTTP 200 at https://www.waterboard.lk/key-sections/commercial-division/,http://www.waterboard.lk/key-sections/commercial-division/,2026-09-08T23:53:28.659568+05:30
http,pass,Probe 12: HTTP 200 at https://www.waterboard.lk/key-sections/corporate-planning-division/,http://www.waterboard.lk/key-sections/corporate-planning-division/,2026-09-08T23:53:28.659571+05:30
http,pass,Probe 13: HTTP 200 at https://www.waterboard.lk/si/%e0%b6%b8%e0%b7%94%e0%b6%bd%e0%b7%8a-%e0%b6%b4%e0%b7%92%e0%b6%a7%e0%b7%94%e0%b7%80/,https://www.waterboard.lk/si/%e0%b6%b8%e0%b7%94%e0%b6%bd%e0%b7%8a-%e0%b6%b4%e0%b7%92%e0%b6%a7%e0%b7%94%e0%b7%80/,2026-09-08T23:53:28.659573+05:30
http,pass,Probe 14: HTTP 200 at https://www.waterboard.lk/ta/%e0%ae%ae%e0%af%81%e0%ae%95%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%af%81/,https://www.waterboard.lk/ta/%e0%ae%ae%e0%af%81%e0%ae%95%e0%ae%aa%e0%af%8d%e0%ae%aa%e0%af%81/,2026-09-08T23:53:28.659576+05:30
phone,pass,Published phone: 02 4.46696 3.1,https://www.waterboard.lk/,
phone,pass,Published phone: 06 4.39053 2.1,https://www.waterboard.lk/,
phone,pass,Published phone: 0858 3.85834,https://www.waterboard.lk/,
phone,pass,Published phone: 06 1.46351 0.8,https://www.waterboard.lk/,
phone,pass,Published phone: 022 4.52357 3.,https://www.waterboard.lk/,
phone,pass,Published phone: 0.196998 23.2,https://www.waterboard.lk/,
phone,pass,Published phone: 0.1 -0.1 5.19344 -,https://www.waterboard.lk/,
phone,pass,Published phone: 04 15.8437 1.5,https://www.waterboard.lk/,
phone,pass,Published phone: 09 7.98277 9.4,https://www.waterboard.lk/,
phone,pass,Published phone: 05 13.1217 9.4,https://www.waterboard.lk/,
phone,pass,Published phone: 0.609 7.45059 ,https://www.waterboard.lk/,
phone,pass,Published phone: 0.665231 1.11,https://www.waterboard.lk/,
phone,pass,Published phone: 06 3.21063 -2.0,https://www.waterboard.lk/,
phone,pass,Published phone: 092 4.32736 2.,https://www.waterboard.lk/,
phone,pass,Published phone: 06 2.23348 1.0,https://www.waterboard.lk/,
phone,pass,Published phone: 0.1 13.9996 0.6,https://www.waterboard.lk/,
phone,pass,Published phone: 0.7486 11.575,https://www.waterboard.lk/,
phone,pass,Published phone: 0.323216 23.4,https://www.waterboard.lk/,
phone,pass,Published phone: 0.131434 23.4,https://www.waterboard.lk/,
phone,pass,Published phone: 0154 19.8788,https://www.waterboard.lk/,
phone,pass,Published phone: 06 2.51267 1.0,https://www.waterboard.lk/,
phone,pass,Published phone: 03288 21.769,https://www.waterboard.lk/,
phone,pass,Published phone: 0.1902 11.708,https://www.waterboard.lk/,
phone,pass,Published phone: 06 2.65226 1.0,https://www.waterboard.lk/,
phone,pass,Published phone: 063 4.78966 3.,https://www.waterboard.lk/,
phone,pass,Published phone: 029 10.7767 1,https://www.waterboard.lk/,
phone,pass,Published phone: 06 3.35022 0.5,https://www.waterboard.lk/,
phone,pass,Published phone: 0.3298 7.3175,https://www.waterboard.lk/,
phone,pass,Published phone: 03288 6.0328,https://www.waterboard.lk/,
phone,pass,Published phone: 0.133046 1.81,https://www.waterboard.lk/,
phone,pass,Published phone: 0.0507 7.1845 ,https://www.waterboard.lk/,
phone,pass,Published phone: 09636 8.9140,https://www.waterboard.lk/,
phone,pass,Published phone: 0.1 11.6637 -0.1,https://www.waterboard.lk/,
email,pass,Published email: support@waterboard.lk,https://www.waterboard.lk/,
postal_address,pass,"Published postal address: National Water Supply and Drainage Board Galle Road, Ratmalana, Sri Lanka. Government of Sri Lanka Last update : Septemb",https://www.waterboard.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.waterboard.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 14,https://www.waterboard.lk/,
phone,pass,Published phone: 02 4.46696 3.1,https://www.waterboard.lk/,
phone,pass,Published phone: 06 4.39053 2.1,https://www.waterboard.lk/,
phone,pass,Published phone: 0858 3.85834,https://www.waterboard.lk/,
phone,pass,Published phone: 06 1.46351 0.8,https://www.waterboard.lk/,
phone,pass,Published phone: 022 4.52357 3.,https://www.waterboard.lk/,
phone,pass,Published phone: 0.196998 23.2,https://www.waterboard.lk/,
phone,pass,Published phone: 0.1 -0.1 5.19344 -,https://www.waterboard.lk/,
phone,pass,Published phone: 04 15.8437 1.5,https://www.waterboard.lk/,
phone,pass,Published phone: 09 7.98277 9.4,https://www.waterboard.lk/,
phone,pass,Published phone: 05 13.1217 9.4,https://www.waterboard.lk/,
phone,pass,Published phone: 0.609 7.45059 ,https://www.waterboard.lk/,
phone,pass,Published phone: 0.665231 1.11,https://www.waterboard.lk/,
phone,pass,Published phone: 06 3.21063 -2.0,https://www.waterboard.lk/,
phone,pass,Published phone: 092 4.32736 2.,https://www.waterboard.lk/,
phone,pass,Published phone: 06 2.23348 1.0,https://www.waterboard.lk/,
phone,pass,Published phone: 0.1 13.9996 0.6,https://www.waterboard.lk/,
phone,pass,Published phone: 0.7486 11.575,https://www.waterboard.lk/,
phone,pass,Published phone: 0.323216 23.4,https://www.waterboard.lk/,
phone,pass,Published phone: 0.131434 23.4,https://www.waterboard.lk/,
phone,pass,Published phone: 0154 19.8788,https://www.waterboard.lk/,
phone,pass,Published phone: 06 2.51267 1.0,https://www.waterboard.lk/,
phone,pass,Published phone: 03288 21.769,https://www.waterboard.lk/,
phone,pass,Published phone: 0.1902 11.708,https://www.waterboard.lk/,
phone,pass,Published phone: 06 2.65226 1.0,https://www.waterboard.lk/,
phone,pass,Published phone: 063 4.78966 3.,https://www.waterboard.lk/,
phone,pass,Published phone: 029 10.7767 1,https://www.waterboard.lk/,
phone,pass,Published phone: 06 3.35022 0.5,https://www.waterboard.lk/,
phone,pass,Published phone: 0.3298 7.3175,https://www.waterboard.lk/,
phone,pass,Published phone: 03288 6.0328,https://www.waterboard.lk/,
phone,pass,Published phone: 0.133046 1.81,https://www.waterboard.lk/,
phone,pass,Published phone: 0.0507 7.1845 ,https://www.waterboard.lk/,
phone,pass,Published phone: 09636 8.9140,https://www.waterboard.lk/,
phone,pass,Published phone: 0.1 11.6637 -0.1,https://www.waterboard.lk/,
email,pass,Published email: support@waterboard.lk,https://www.waterboard.lk/,
postal_address,pass,"Published postal address: National Water Supply and Drainage Board Galle Road, Ratmalana, Sri Lanka. Government of Sri Lanka Last update : Septemb",https://www.waterboard.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.waterboard.lk/,
fees_and_payment,pass,Published fees and payment: Rs. 14,https://www.waterboard.lk/,
phone,pass,Published phone: 02 4.46696 3.1,https://www.waterboard.lk/,
phone,pass,Published phone: 06 4.39053 2.1,https://www.waterboard.lk/,
phone,pass,Published phone: 0858 3.85834,https://www.waterboard.lk/,
phone,pass,Published phone: 06 1.46351 0.8,https://www.waterboard.lk/,
phone,pass,Published phone: 022 4.52357 3.,https://www.waterboard.lk/,
phone,pass,Published phone: 0.196998 23.2,https://www.waterboard.lk/,
phone,pass,Published phone: 0.1 -0.1 5.19344 -,https://www.waterboard.lk/,
phone,pass,Published phone: 04 15.8437 1.5,https://www.waterboard.lk/,
phone,pass,Published phone: 09 7.98277 9.4,https://www.waterboard.lk/,
phone,pass,Published phone: 05 13.1217 9.4,https://www.waterboard.lk/,
phone,pass,Published phone: 0.609 7.45059 ,https://www.waterboard.lk/,
phone,pass,Published phone: 0.665231 1.11,https://www.waterboard.lk/,
phone,pass,Published phone: 06 3.21063 -2.0,https://www.waterboard.lk/,
phone,pass,Published phone: 092 4.32736 2.,https://www.waterboard.lk/,
