check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:38:54.299500+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:38:54.299518+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:38:54.342950+05:30
http,pass,Probe 1: HTTP 200 at https://excise.gov.lk/,https://excise.gov.lk/,2026-09-08T23:39:00.145164+05:30
http,pass,Probe 2: HTTP 200 at https://excise.gov.lk/,http://excise.gov.lk/,2026-09-08T23:39:00.145181+05:30
http,pass,Probe 3: HTTP 200 at https://excise.gov.lk/,https://excise.gov.lk/,2026-09-08T23:39:00.145184+05:30
http,pass,Probe 4: HTTP 200 at https://excise.gov.lk/,http://excise.gov.lk/,2026-09-08T23:39:00.145187+05:30
generic_hosting,fail,Detected generic hosting marker: under construction,https://excise.gov.lk/,
phone,pass,Published phone: +94112045000,https://excise.gov.lk/,
phone,pass,Published phone: 1913,https://excise.gov.lk/,
phone,pass,Published phone: 011 2 877 890 ,https://excise.gov.lk/,
phone,pass,Published phone: +94 11 20 450 00 ,https://excise.gov.lk/,
email,pass,Published email: excisen@slt.lk,https://excise.gov.lk/,
postal_address,pass,"Published postal address: No. 353, Kotte Road, Rajagiriya, Sri Lanka",https://excise.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://excise.gov.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,https://excise.gov.lk/,
phone,pass,Published phone: +94112045000,https://excise.gov.lk/,
phone,pass,Published phone: 1913,https://excise.gov.lk/,
phone,pass,Published phone: 011 2 877 890 ,https://excise.gov.lk/,
phone,pass,Published phone: +94 11 20 450 00 ,https://excise.gov.lk/,
email,pass,Published email: excisen@slt.lk,https://excise.gov.lk/,
postal_address,pass,"Published postal address: No. 353, Kotte Road, Rajagiriya, Sri Lanka",https://excise.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://excise.gov.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,https://excise.gov.lk/,
phone,pass,Published phone: +94112045000,https://excise.gov.lk/,
phone,pass,Published phone: 1913,https://excise.gov.lk/,
phone,pass,Published phone: 011 2 877 890 ,https://excise.gov.lk/,
phone,pass,Published phone: +94 11 20 450 00 ,https://excise.gov.lk/,
email,pass,Published email: excisen@slt.lk,https://excise.gov.lk/,
postal_address,pass,"Published postal address: No. 353, Kotte Road, Rajagiriya, Sri Lanka",https://excise.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://excise.gov.lk/,
generic_hosting,fail,Detected generic hosting marker: under construction,https://excise.gov.lk/,
phone,pass,Published phone: +94112045000,https://excise.gov.lk/,
phone,pass,Published phone: 1913,https://excise.gov.lk/,
phone,pass,Published phone: 011 2 877 890 ,https://excise.gov.lk/,
phone,pass,Published phone: +94 11 20 450 00 ,https://excise.gov.lk/,
email,pass,Published email: excisen@slt.lk,https://excise.gov.lk/,
postal_address,pass,"Published postal address: No. 353, Kotte Road, Rajagiriya, Sri Lanka",https://excise.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://excise.gov.lk/,
page_text,pass,Substantive page content: 447 visible characters across 4 pages,https://excise.gov.lk/,
