check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:02:12.137628+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:02:12.137645+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:02:12.722109+05:30
http,pass,Probe 1: HTTP 200 at https://www.nipo.gov.lk/,https://www.nipo.gov.lk/,2026-09-09T00:02:36.067059+05:30
http,pass,Probe 2: HTTP 200 at https://www.nipo.gov.lk/,http://www.nipo.gov.lk/,2026-09-09T00:02:36.067082+05:30
http,pass,Probe 3: HTTP 200 at https://www.nipo.gov.lk/,https://www.nipo.gov.lk/,2026-09-09T00:02:36.067086+05:30
http,pass,Probe 4: HTTP 200 at https://www.nipo.gov.lk/,http://www.nipo.gov.lk/,2026-09-09T00:02:36.067089+05:30
http,pass,Probe 5: HTTP 200 at https://www.nipo.gov.lk/web/index.php?lang=si,https://www.nipo.gov.lk/web/index.php?lang=si,2026-09-09T00:02:36.067092+05:30
http,pass,Probe 6: HTTP 200 at https://www.nipo.gov.lk/web/index.php?lang=ta,https://www.nipo.gov.lk/web/index.php?lang=ta,2026-09-09T00:02:36.067094+05:30
http,pass,Probe 7: HTTP 200 at https://www.nipo.gov.lk/web/index.php?lang=en,https://www.nipo.gov.lk/web/index.php?lang=en,2026-09-09T00:02:36.067097+05:30
http,pass,Probe 8: HTTP 200 at https://www.nipo.gov.lk/web/index.php?lang=en,https://www.nipo.gov.lk/web,2026-09-09T00:02:36.067099+05:30
http,pass,Probe 9: HTTP 200 at https://www.nipo.gov.lk/web/index.php?option=com_content&view=article&id=5&Itemid=127&lang=si,https://www.nipo.gov.lk/web/index.php?option=com_content&view=article&id=5&Itemid=127&lang=si,2026-09-09T00:02:36.067102+05:30
http,pass,Probe 10: HTTP 200 at https://www.nipo.gov.lk/web/index.php?option=com_content&view=category&layout=blog&id=8&Itemid=131&lang=si,https://www.nipo.gov.lk/web/index.php?option=com_content&view=category&layout=blog&id=8&Itemid=131&lang=si,2026-09-09T00:02:36.067105+05:30
http,pass,Probe 11: HTTP 200 at https://www.nipo.gov.lk/web/index.php?option=com_content&view=article&id=36&Itemid=152&lang=si,https://www.nipo.gov.lk/web/index.php?option=com_content&view=article&id=36&Itemid=152&lang=si,2026-09-09T00:02:36.067108+05:30
http,pass,Probe 12: HTTP 200 at https://www.nipo.gov.lk/web/index.php?option=com_contact&view=contact&id=1&Itemid=137&lang=si,https://www.nipo.gov.lk/web/index.php?option=com_contact&view=contact&id=1&Itemid=137&lang=si,2026-09-09T00:02:36.067110+05:30
http,pass,Probe 13: HTTP 200 at https://www.nipo.gov.lk/web/index.php?lang=en,https://www.nipo.gov.lk/web/index.php,2026-09-09T00:02:36.067113+05:30
