check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:36:45.100148+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:36:45.100168+05:30
tls,error,[Errno 111] Connection refused,,2026-09-08T23:36:45.198482+05:30
http,error,Probe 1: [Errno 111] Connection refused,https://www.timco.lk/,2026-09-08T23:36:58.847334+05:30
http,pass,Probe 2: HTTP 200 at http://www.timco.lk/,http://www.timco.lk/,2026-09-08T23:36:58.847359+05:30
http,error,Probe 3: [Errno 111] Connection refused,https://www.timco.lk/,2026-09-08T23:36:58.847363+05:30
http,pass,Probe 4: HTTP 200 at http://www.timco.lk/,http://www.timco.lk/,2026-09-08T23:36:58.847366+05:30
http,pass,Probe 5: HTTP 200 at http://www.timco.lk/?&lang=en,http://www.timco.lk/?&lang=en,2026-09-08T23:36:58.847368+05:30
http,pass,Probe 6: HTTP 200 at http://www.timco.lk/?&lang=si,http://www.timco.lk/?&lang=si,2026-09-08T23:36:58.847371+05:30
http,pass,Probe 7: HTTP 200 at http://www.timco.lk/?&lang=ta,http://www.timco.lk/?&lang=ta,2026-09-08T23:36:58.847373+05:30
http,pass,Probe 8: HTTP 200 at http://www.timco.lk/index.php?module=web&action=home&lang=en,http://www.timco.lk/index.php?module=web&action=home&lang=en,2026-09-08T23:36:58.847376+05:30
http,pass,Probe 9: HTTP 200 at http://www.timco.lk/index.php?module=web&action=aboutUs&lang=en,http://www.timco.lk/index.php?module=web&action=aboutUs&lang=en,2026-09-08T23:36:58.847379+05:30
http,pass,Probe 10: HTTP 200 at http://www.timco.lk/index.php?module=web&action=organization&lang=en,http://www.timco.lk/index.php?module=web&action=organization&lang=en,2026-09-08T23:36:58.847381+05:30
http,pass,Probe 11: HTTP 200 at http://www.timco.lk/index.php?module=web&action=profiles&lang=en,http://www.timco.lk/index.php?module=web&action=profiles&lang=en,2026-09-08T23:36:58.847384+05:30
http,pass,Probe 12: HTTP 200 at http://www.timco.lk/index.php?module=web&action=awards&lang=en,http://www.timco.lk/index.php?module=web&action=awards&lang=en,2026-09-08T23:36:58.847386+05:30
http,pass,Probe 13: HTTP 200 at http://www.timco.lk/index.php?module=web&action=minMessage&lang=en,http://www.timco.lk/index.php?module=web&action=minMessage&lang=en,2026-09-08T23:36:58.847389+05:30
http,pass,Probe 14: HTTP 200 at http://www.timco.lk/index.php?module=web&action=testingCharges&lang=en,http://www.timco.lk/index.php?module=web&action=testingCharges&lang=en,2026-09-08T23:36:58.847392+05:30
phone,pass,Published phone: 081-2424102 ,http://www.timco.lk/,
phone,pass,Published phone: 063-2222046 ,http://www.timco.lk/,
phone,pass,Published phone: +94 11-2866623 ,http://www.timco.lk/,
