check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:59:58.532483+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:59:58.532501+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:59:59.489168+05:30
http,pass,Probe 1: HTTP 200 at https://ngosec.gov.lk/,https://ngosec.gov.lk/,2026-09-09T00:00:33.703049+05:30
http,pass,Probe 2: HTTP 200 at https://ngosec.gov.lk/,http://ngosec.gov.lk/,2026-09-09T00:00:33.703074+05:30
http,pass,Probe 3: HTTP 200 at https://ngosec.gov.lk/,https://ngosec.gov.lk/,2026-09-09T00:00:33.703078+05:30
http,pass,Probe 4: HTTP 200 at https://ngosec.gov.lk/,http://ngosec.gov.lk/,2026-09-09T00:00:33.703081+05:30
http,pass,Probe 5: HTTP 200 at https://ngosec.gov.lk/services,https://ngosec.gov.lk/services,2026-09-09T00:00:33.703083+05:30
http,pass,Probe 6: HTTP 200 at https://ngosec.gov.lk/contact,https://ngosec.gov.lk/contact,2026-09-09T00:00:33.703086+05:30
http,pass,Probe 7: HTTP 200 at https://ngosec.gov.lk/about,https://ngosec.gov.lk/about,2026-09-09T00:00:33.703089+05:30
http,pass,Probe 8: HTTP 200 at https://ngosec.gov.lk/about/top-ngos,https://ngosec.gov.lk/about/top-ngos,2026-09-09T00:00:33.703092+05:30
http,pass,Probe 9: HTTP 200 at https://ngosec.gov.lk/about/registered-active-ngos,https://ngosec.gov.lk/about/registered-active-ngos,2026-09-09T00:00:33.703094+05:30
http,pass,Probe 10: HTTP 200 at https://ngosec.gov.lk/about/registered-inactive-ngos,https://ngosec.gov.lk/about/registered-inactive-ngos,2026-09-09T00:00:33.703097+05:30
http,pass,Probe 11: HTTP 200 at https://ngosec.gov.lk/about/district-level-registered-ngo-list,https://ngosec.gov.lk/about/district-level-registered-ngo-list,2026-09-09T00:00:33.703100+05:30
http,pass,Probe 12: HTTP 200 at https://ngosec.gov.lk/about/list-of-microfinance-ngos-in-sri-lanka,https://ngosec.gov.lk/about/list-of-microfinance-ngos-in-sri-lanka,2026-09-09T00:00:33.703103+05:30
http,pass,Probe 13: HTTP 200 at https://ngosec.gov.lk/about/staff,https://ngosec.gov.lk/about/staff,2026-09-09T00:00:33.703106+05:30
http,pass,Probe 14: HTTP 200 at https://ngosec.gov.lk/about/ngo-coordinators,https://ngosec.gov.lk/about/ngo-coordinators,2026-09-09T00:00:33.703109+05:30
phone,pass,Published phone: +94) 112884612 ,https://ngosec.gov.lk/,
phone,pass,Published phone: +94) 112877376 ,https://ngosec.gov.lk/,
email,pass,Published email: ngosecretariat.gov@gmail.com,https://ngosec.gov.lk/,
email,pass,Published email: ngosecretariat.gov@gmail.com/,https://ngosec.gov.lk/,
email,pass,Published email: info@ngosec.gov.lk,https://ngosec.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://ngosec.gov.lk/,
processing_time,pass,Published processing time: 12 hours,https://ngosec.gov.lk/,
phone,pass,Published phone: +94) 112884612 ,https://ngosec.gov.lk/,
phone,pass,Published phone: +94) 112877376 ,https://ngosec.gov.lk/,
email,pass,Published email: ngosecretariat.gov@gmail.com,https://ngosec.gov.lk/,
email,pass,Published email: ngosecretariat.gov@gmail.com/,https://ngosec.gov.lk/,
email,pass,Published email: info@ngosec.gov.lk,https://ngosec.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://ngosec.gov.lk/,
processing_time,pass,Published processing time: 12 hours,https://ngosec.gov.lk/,
phone,pass,Published phone: +94) 112884612 ,https://ngosec.gov.lk/,
phone,pass,Published phone: +94) 112877376 ,https://ngosec.gov.lk/,
email,pass,Published email: ngosecretariat.gov@gmail.com,https://ngosec.gov.lk/,
email,pass,Published email: ngosecretariat.gov@gmail.com/,https://ngosec.gov.lk/,
email,pass,Published email: info@ngosec.gov.lk,https://ngosec.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://ngosec.gov.lk/,
processing_time,pass,Published processing time: 12 hours,https://ngosec.gov.lk/,
phone,pass,Published phone: +94) 112884612 ,https://ngosec.gov.lk/,
phone,pass,Published phone: +94) 112877376 ,https://ngosec.gov.lk/,
email,pass,Published email: ngosecretariat.gov@gmail.com,https://ngosec.gov.lk/,
email,pass,Published email: ngosecretariat.gov@gmail.com/,https://ngosec.gov.lk/,
email,pass,Published email: info@ngosec.gov.lk,https://ngosec.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://ngosec.gov.lk/,
processing_time,pass,Published processing time: 12 hours,https://ngosec.gov.lk/,
phone,pass,Published phone: +94) 112884612 ,https://ngosec.gov.lk/services,
phone,pass,Published phone: +94) 112877376 ,https://ngosec.gov.lk/services,
email,pass,Published email: ngosecretariat.gov@gmail.com,https://ngosec.gov.lk/services,
email,pass,Published email: ngosecretariat.gov@gmail.com/,https://ngosec.gov.lk/services,
email,pass,Published email: info@ngosec.gov.lk,https://ngosec.gov.lk/services,
phone,pass,Published phone: +94) 112884612,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 112877376 ,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 112888424 ,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 112888424,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 112864483 ,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 11 287 7376 (,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 11 287 7376 ,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 112864483,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 11 286 4483 (,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 112884612 ,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 112877376,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 11 288 8424 ,https://ngosec.gov.lk/contact,
email,pass,Published email: dg@ngosec.gov.lk,https://ngosec.gov.lk/contact,
email,pass,Published email: info@ngosec.gov.lk,https://ngosec.gov.lk/contact,
email,pass,Published email: ninfo@ngosec.gov.lk,https://ngosec.gov.lk/contact,
email,pass,Published email: ngosecretariat.gov@gmail.com,https://ngosec.gov.lk/contact,
email,pass,Published email: ngosecretariat.gov@gmail.com/,https://ngosec.gov.lk/contact,
email,pass,Published email: dir@ngosec.gov.lk,https://ngosec.gov.lk/contact,
postal_address,pass,"Published postal address: is being protected from spambots. You need JavaScript enabled to view it. 'OUR address' 14th Floor, Suhurupaya, Battaram",https://ngosec.gov.lk/contact,
named_responsibility,pass,Published named responsibility: director,https://ngosec.gov.lk/contact,
phone,pass,Published phone: +94) 112884612 ,https://ngosec.gov.lk/about,
phone,pass,Published phone: +94) 112877376 ,https://ngosec.gov.lk/about,
email,pass,Published email: ngosecretariat.gov@gmail.com,https://ngosec.gov.lk/about,
email,pass,Published email: ngosecretariat.gov@gmail.com/,https://ngosec.gov.lk/about,
email,pass,Published email: info@ngosec.gov.lk,https://ngosec.gov.lk/about,
named_responsibility,pass,Published named responsibility: division,https://ngosec.gov.lk/about,
legal_basis,pass,Published legal basis: regulations,https://ngosec.gov.lk/about,
processing_time,pass,Published processing time: 12 hours,https://ngosec.gov.lk/about,
