check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:03:15.009574+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:03:15.009605+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:03:15.148482+05:30
http,pass,Probe 1: HTTP 200 at https://ntmi.lk/,https://ntmi.lk/,2026-09-09T00:03:30.293830+05:30
http,pass,Probe 2: HTTP 200 at https://ntmi.lk/,http://ntmi.lk/,2026-09-09T00:03:30.293854+05:30
http,pass,Probe 3: HTTP 200 at https://ntmi.lk/,https://ntmi.lk/,2026-09-09T00:03:30.293857+05:30
http,pass,Probe 4: HTTP 200 at https://ntmi.lk/,http://ntmi.lk/,2026-09-09T00:03:30.293860+05:30
http,pass,Probe 5: HTTP 200 at https://ntmi.lk/services/,https://ntmi.lk/services/,2026-09-09T00:03:30.293863+05:30
http,pass,Probe 6: HTTP 200 at https://ntmi.lk/contact/,https://ntmi.lk/contact/,2026-09-09T00:03:30.293865+05:30
http,pass,Probe 7: HTTP 200 at https://ntmi.lk/about/,https://ntmi.lk/about/,2026-09-09T00:03:30.293868+05:30
http,pass,Probe 8: HTTP 200 at https://ntmi.lk/latestnews/,https://ntmi.lk/latestnews/,2026-09-09T00:03:30.293871+05:30
http,pass,Probe 9: HTTP 200 at https://ntmi.lk/category/vacancies/,https://ntmi.lk/category/vacancies/,2026-09-09T00:03:30.293873+05:30
http,pass,Probe 10: HTTP 200 at https://ntmi.lk/category/procurements/,https://ntmi.lk/category/procurements/,2026-09-09T00:03:30.293876+05:30
http,pass,Probe 11: HTTP 200 at https://ntmi.lk/e-channeling-service-for-efficient-service-delivery/,https://ntmi.lk/e-channeling-service-for-efficient-service-delivery/,2026-09-09T00:03:30.293879+05:30
