check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:24:54.672374+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:24:54.672395+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:24:54.697590+05:30
http,pass,Probe 1: HTTP 200 at https://www.natlib.lk/,https://www.natlib.lk/,2026-09-08T23:25:33.298209+05:30
http,pass,Probe 2: HTTP 200 at https://www.natlib.lk/,http://www.natlib.lk/,2026-09-08T23:25:33.298231+05:30
http,pass,Probe 3: HTTP 200 at https://www.natlib.lk/,https://www.natlib.lk/,2026-09-08T23:25:33.298235+05:30
http,pass,Probe 4: HTTP 200 at https://www.natlib.lk/,http://www.natlib.lk/,2026-09-08T23:25:33.298238+05:30
http,pass,Probe 5: HTTP 200 at https://www.natlib.lk/NLDSB/,https://www.natlib.lk/NLDSB,2026-09-08T23:25:33.298240+05:30
http,pass,Probe 6: HTTP 200 at https://www.natlib.lk/NLSL/,https://www.natlib.lk/NLSL,2026-09-08T23:25:33.298243+05:30
http,pass,Probe 7: HTTP 200 at https://www.natlib.lk/ICNATLIB2026/,https://www.natlib.lk/ICNATLIB2026,2026-09-08T23:25:33.298246+05:30
http,pass,Probe 8: HTTP 200 at https://www.natlib.lk/NLDSB/heads-of-divisions/,https://www.natlib.lk/NLDSB/heads-of-divisions/,2026-09-08T23:25:33.298248+05:30
http,pass,Probe 9: HTTP 200 at https://www.natlib.lk/NLDSB/services/,https://www.natlib.lk/NLDSB/services/,2026-09-08T23:25:33.298250+05:30
http,pass,Probe 10: HTTP 200 at https://www.natlib.lk/NLDSB/library-development-and-advisory-services/,https://www.natlib.lk/NLDSB/library-development-and-advisory-services/,2026-09-08T23:25:33.298253+05:30
http,pass,Probe 11: HTTP 200 at https://www.natlib.lk/NLDSB/about-us/,https://www.natlib.lk/NLDSB/about-us/,2026-09-08T23:25:33.298256+05:30
http,pass,Probe 12: HTTP 200 at https://www.natlib.lk/NLDSB/who-we-are/,https://www.natlib.lk/NLDSB/who-we-are/,2026-09-08T23:25:33.298258+05:30
http,pass,Probe 13: HTTP 200 at https://www.natlib.lk/NLDSB/vision-mission/,https://www.natlib.lk/NLDSB/vision-mission/,2026-09-08T23:25:33.298261+05:30
http,pass,Probe 14: HTTP 200 at https://www.natlib.lk/NLDSB/aims-and-objectives/,https://www.natlib.lk/NLDSB/aims-and-objectives/,2026-09-08T23:25:33.298263+05:30
phone,pass,Published phone: +94 11 2698847 ,https://www.natlib.lk/NLDSB/,
email,pass,Published email: editornlr@mail.natlib.lk,https://www.natlib.lk/NLDSB/,
email,pass,Published email: info@mail.natlib.lk,https://www.natlib.lk/NLDSB/,
named_responsibility,pass,Published named responsibility: director,https://www.natlib.lk/NLDSB/,
legal_basis,pass,Published legal basis: circular,https://www.natlib.lk/NLDSB/,
phone,pass,Published phone: +94 11 2698847 ,https://www.natlib.lk/NLSL/,
email,pass,Published email: reader@mail.natlib.lk,https://www.natlib.lk/NLSL/,
postal_address,pass,"Published postal address: & Documentation Services Board, No 14, Independence Avenue, Colombo 07, Sri Lanka",https://www.natlib.lk/NLSL/,
phone,pass,Published phone: +94 71 956 9470 ,https://www.natlib.lk/ICNATLIB2026/,
phone,pass,Published phone: +94 70 353 5764 ,https://www.natlib.lk/ICNATLIB2026/,
phone,pass,Published phone: +94 11 268 8855 ,https://www.natlib.lk/ICNATLIB2026/,
email,pass,Published email: Icnatlib2026@mail.natlib.lk,https://www.natlib.lk/ICNATLIB2026/,
email,pass,Published email: icnatlib2026@mail.natlib.lk,https://www.natlib.lk/ICNATLIB2026/,
postal_address,pass,"Published postal address: .address-item .address-icon::before, .team-slider-style4 .team-carousel .team-item:hover, #rs-header.header-transparent ",https://www.natlib.lk/ICNATLIB2026/,
phone,pass,Published phone: +94 77 1616980 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 3056244 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 269 8847 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 71 956 9470 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 71 4452620 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 3054427 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 70 3535761 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 78 6367682 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 77 3755480 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 70 3535766 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 71 4452923 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 3610776 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 2688925 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 71 3829715 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 77 3376838 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 2674386 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 71 4452206 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 77 3318299 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 3169505 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 2687583 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 3620455 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 71 4435475 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 774359596 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 2698847 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 71 3535771 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 11 3610772 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
phone,pass,Published phone: +94 71 3888326 ,https://www.natlib.lk/NLDSB/heads-of-divisions/,
email,pass,Published email: mng@mail.natlib.lk,https://www.natlib.lk/NLDSB/heads-of-divisions/,
email,pass,Published email: edu@mail.natlib.lk,https://www.natlib.lk/NLDSB/heads-of-divisions/,
