check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:57:02.448610+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:57:02.448627+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:57:02.558859+05:30
http,pass,Probe 1: HTTP 200 at https://kalubowitiyanatea.lk/,https://kalubowitiyanatea.lk/,2026-09-08T23:57:19.964441+05:30
http,pass,Probe 2: HTTP 200 at https://kalubowitiyanatea.lk/,http://kalubowitiyanatea.lk/,2026-09-08T23:57:19.964467+05:30
http,pass,Probe 3: HTTP 200 at https://kalubowitiyanatea.lk/,https://kalubowitiyanatea.lk/,2026-09-08T23:57:19.964470+05:30
http,pass,Probe 4: HTTP 200 at https://kalubowitiyanatea.lk/,http://kalubowitiyanatea.lk/,2026-09-08T23:57:19.964473+05:30
http,pass,Probe 5: HTTP 200 at https://kalubowitiyanatea.lk/contact,https://kalubowitiyanatea.lk/contact,2026-09-08T23:57:19.964476+05:30
http,pass,Probe 6: HTTP 200 at https://kalubowitiyanatea.lk/about,https://kalubowitiyanatea.lk/about,2026-09-08T23:57:19.964479+05:30
http,pass,Probe 7: HTTP 200 at https://kalubowitiyanatea.lk/about/board-of-directors,https://kalubowitiyanatea.lk/about/board-of-directors,2026-09-08T23:57:19.964482+05:30
http,pass,Probe 8: HTTP 200 at https://kalubowitiyanatea.lk/about/annual-report,https://kalubowitiyanatea.lk/about/annual-report,2026-09-08T23:57:19.964485+05:30
http,pass,Probe 9: HTTP 200 at https://kalubowitiyanatea.lk/about/corporate-profile,https://kalubowitiyanatea.lk/about/corporate-profile,2026-09-08T23:57:19.964488+05:30
http,pass,Probe 10: HTTP 200 at https://kalubowitiyanatea.lk/about/awards,https://kalubowitiyanatea.lk/about/awards,2026-09-08T23:57:19.964490+05:30
http,pass,Probe 11: HTTP 200 at https://kalubowitiyanatea.lk/factories,https://kalubowitiyanatea.lk/factories,2026-09-08T23:57:19.964494+05:30
http,pass,Probe 12: HTTP 200 at https://kalubowitiyanatea.lk/factories/kalubowitiyana,https://kalubowitiyanatea.lk/factories/kalubowitiyana,2026-09-08T23:57:19.964497+05:30
