check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:51:02.721887+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:51:02.721906+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:51:02.830511+05:30
http,pass,Probe 1: HTTP 200 at https://slmc.gov.lk/en,https://slmc.gov.lk/,2026-09-08T23:51:30.424929+05:30
http,pass,Probe 2: HTTP 200 at https://slmc.gov.lk/en,http://slmc.gov.lk/,2026-09-08T23:51:30.424952+05:30
http,pass,Probe 3: HTTP 200 at https://slmc.gov.lk/en,https://slmc.gov.lk/,2026-09-08T23:51:30.424956+05:30
http,pass,Probe 4: HTTP 200 at https://slmc.gov.lk/en,http://slmc.gov.lk/,2026-09-08T23:51:30.424959+05:30
http,pass,Probe 5: HTTP 200 at https://slmc.gov.lk/en/services/career-in-medicine,https://slmc.gov.lk/en/services/career-in-medicine,2026-09-08T23:51:30.424961+05:30
http,pass,Probe 6: HTTP 200 at https://slmc.gov.lk/en/contact/departments,https://slmc.gov.lk/en/contact/departments,2026-09-08T23:51:30.424964+05:30
http,pass,Probe 7: HTTP 200 at https://slmc.gov.lk/en/contact/map-and-directions,https://slmc.gov.lk/en/contact/map-and-directions,2026-09-08T23:51:30.424967+05:30
http,pass,Probe 8: HTTP 200 at https://slmc.gov.lk/en/services/public/verify,https://slmc.gov.lk/en/services/public/verify,2026-09-08T23:51:30.424969+05:30
http,pass,Probe 9: HTTP 200 at https://slmc.gov.lk/en/services/public/complaint,https://slmc.gov.lk/en/services/public/complaint,2026-09-08T23:51:30.424972+05:30
http,pass,Probe 10: HTTP 200 at https://slmc.gov.lk/en/services/public/patient-rights,https://slmc.gov.lk/en/services/public/patient-rights,2026-09-08T23:51:30.424974+05:30
http,pass,Probe 11: HTTP 200 at https://slmc.gov.lk/en/services/medical-practitioners,https://slmc.gov.lk/en/services/medical-practitioners,2026-09-08T23:51:30.424977+05:30
http,pass,Probe 12: HTTP 200 at https://slmc.gov.lk/en/services/dental-practitioners,https://slmc.gov.lk/en/services/dental-practitioners,2026-09-08T23:51:30.424979+05:30
http,pass,Probe 13: HTTP 200 at https://slmc.gov.lk/en/services/allied-health-professionals,https://slmc.gov.lk/en/services/allied-health-professionals,2026-09-08T23:51:30.424982+05:30
http,pass,Probe 14: HTTP 200 at https://slmc.gov.lk/en/services/employment-private-healthcare,https://slmc.gov.lk/en/services/employment-private-healthcare,2026-09-08T23:51:30.424984+05:30
phone,pass,Published phone: 09.09.2026 04 ,https://slmc.gov.lk/en,
postal_address,pass,"Published postal address: Registration Accreditation Unit Contact 31, Norris Canal Road, Colombo 10, Sri Lanka",https://slmc.gov.lk/en,
legal_basis,pass,Published legal basis: regulations,https://slmc.gov.lk/en,
downloadable_form,pass,Published downloadable form: https://slmc.gov.lk/applications/15URGENT_APPLICATION-FOR-CGS.pdf,https://slmc.gov.lk/en,
phone,pass,Published phone: 09.09.2026 04 ,https://slmc.gov.lk/en,
postal_address,pass,"Published postal address: Registration Accreditation Unit Contact 31, Norris Canal Road, Colombo 10, Sri Lanka",https://slmc.gov.lk/en,
legal_basis,pass,Published legal basis: regulations,https://slmc.gov.lk/en,
downloadable_form,pass,Published downloadable form: https://slmc.gov.lk/applications/15URGENT_APPLICATION-FOR-CGS.pdf,https://slmc.gov.lk/en,
phone,pass,Published phone: 09.09.2026 04 ,https://slmc.gov.lk/en,
postal_address,pass,"Published postal address: Registration Accreditation Unit Contact 31, Norris Canal Road, Colombo 10, Sri Lanka",https://slmc.gov.lk/en,
legal_basis,pass,Published legal basis: regulations,https://slmc.gov.lk/en,
downloadable_form,pass,Published downloadable form: https://slmc.gov.lk/applications/15URGENT_APPLICATION-FOR-CGS.pdf,https://slmc.gov.lk/en,
phone,pass,Published phone: 09.09.2026 04 ,https://slmc.gov.lk/en,
