check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:27:27.677538+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:27:27.677556+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:27:27.727452+05:30
http,pass,Probe 1: HTTP 200 at https://www.nsdi.gov.lk/,https://www.nsdi.gov.lk/,2026-09-08T23:27:45.368201+05:30
http,pass,Probe 2: HTTP 200 at http://www.nsdi.gov.lk/,http://www.nsdi.gov.lk/,2026-09-08T23:27:45.368227+05:30
http,pass,Probe 3: HTTP 200 at https://www.nsdi.gov.lk/,https://www.nsdi.gov.lk/,2026-09-08T23:27:45.368231+05:30
http,pass,Probe 4: HTTP 200 at http://www.nsdi.gov.lk/,http://www.nsdi.gov.lk/,2026-09-08T23:27:45.368233+05:30
http,pass,Probe 5: HTTP 200 at https://www.nsdi.gov.lk/contact/feedback,https://www.nsdi.gov.lk/contact/feedback,2026-09-08T23:27:45.368236+05:30
http,pass,Probe 6: HTTP 200 at https://www.nsdi.gov.lk/spatial-data-services,https://www.nsdi.gov.lk/spatial-data-services,2026-09-08T23:27:45.368239+05:30
http,pass,Probe 7: HTTP 200 at https://www.nsdi.gov.lk/nsdi-services,https://www.nsdi.gov.lk/nsdi-services,2026-09-08T23:27:45.368241+05:30
http,pass,Probe 8: HTTP 200 at https://www.nsdi.gov.lk/nsdi-user-training-sri-lanka-navy-hydrography-service,https://www.nsdi.gov.lk/nsdi-user-training-sri-lanka-navy-hydrography-service,2026-09-08T23:27:45.368244+05:30
http,pass,Probe 9: HTTP 200 at https://www.nsdi.gov.lk/nsdi-metadata-catalogue-training-survey-department-srilanka,https://www.nsdi.gov.lk/nsdi-metadata-catalogue-training-survey-department-srilanka,2026-09-08T23:27:45.368246+05:30
http,pass,Probe 10: HTTP 200 at https://www.nsdi.gov.lk/contact,https://www.nsdi.gov.lk/contact,2026-09-08T23:27:45.368249+05:30
http,pass,Probe 11: HTTP 200 at https://nsdi.gov.lk,https://nsdi.gov.lk,2026-09-08T23:27:45.368252+05:30
http,pass,Probe 12: HTTP 200 at https://www.nsdi.gov.lk/nsdi,https://www.nsdi.gov.lk/nsdi,2026-09-08T23:27:45.368254+05:30
http,pass,Probe 13: HTTP 200 at https://www.nsdi.gov.lk/stakeholder,https://www.nsdi.gov.lk/stakeholder,2026-09-08T23:27:45.368256+05:30
http,pass,Probe 14: HTTP 200 at https://www.nsdi.gov.lk/site-history,https://www.nsdi.gov.lk/site-history,2026-09-08T23:27:45.368259+05:30
phone,pass,Published phone: +94 11 236 9091 ,https://www.nsdi.gov.lk/,
phone,pass,Published phone: 011 236 9099 ,https://www.nsdi.gov.lk/,
email,pass,Published email: NSDISupport@icta.lk,https://www.nsdi.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.nsdi.gov.lk/,
published_update_date,fail,Published published update date: 22 April 2022,https://www.nsdi.gov.lk/,
phone,pass,Published phone: +94 11 236 9091 ,http://www.nsdi.gov.lk/,
phone,pass,Published phone: 011 236 9099 ,http://www.nsdi.gov.lk/,
email,pass,Published email: NSDISupport@icta.lk,http://www.nsdi.gov.lk/,
named_responsibility,pass,Published named responsibility: department,http://www.nsdi.gov.lk/,
published_update_date,fail,Published published update date: 22 April 2022,http://www.nsdi.gov.lk/,
phone,pass,Published phone: +94 11 236 9091 ,https://www.nsdi.gov.lk/,
phone,pass,Published phone: 011 236 9099 ,https://www.nsdi.gov.lk/,
email,pass,Published email: NSDISupport@icta.lk,https://www.nsdi.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://www.nsdi.gov.lk/,
