check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:52:42.422684+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:52:42.422703+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:52:42.984344+05:30
http,pass,Probe 1: HTTP 200 at https://www.gsmb.gov.lk/index.php?lang=en,https://www.gsmb.gov.lk/,2026-09-08T23:53:11.072762+05:30
http,pass,Probe 2: HTTP 200 at http://www.gsmb.gov.lk/index.php?lang=en,http://www.gsmb.gov.lk/,2026-09-08T23:53:11.072784+05:30
http,pass,Probe 3: HTTP 200 at https://www.gsmb.gov.lk/index.php?lang=en,https://www.gsmb.gov.lk/,2026-09-08T23:53:11.072788+05:30
http,pass,Probe 4: HTTP 200 at http://www.gsmb.gov.lk/index.php?lang=en,http://www.gsmb.gov.lk/,2026-09-08T23:53:11.072791+05:30
http,pass,Probe 5: HTTP 200 at https://www.gsmb.gov.lk/index.php?option=com_search&view=search&Itemid=246&lang=en,https://www.gsmb.gov.lk/index.php?option=com_search&view=search&Itemid=246&lang=en,2026-09-08T23:53:11.072793+05:30
http,pass,Probe 6: HTTP 200 at https://www.gsmb.gov.lk/index.php?lang=ta,https://www.gsmb.gov.lk/index.php?lang=ta,2026-09-08T23:53:11.072796+05:30
http,pass,Probe 7: HTTP 200 at https://www.gsmb.gov.lk/index.php?lang=si,https://www.gsmb.gov.lk/index.php?lang=si,2026-09-08T23:53:11.072799+05:30
http,pass,Probe 8: HTTP 200 at https://www.gsmb.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,https://www.gsmb.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,2026-09-08T23:53:11.072801+05:30
http,pass,Probe 9: HTTP 200 at https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=135&Itemid=255&lang=en,https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=135&Itemid=255&lang=en,2026-09-08T23:53:11.072804+05:30
http,pass,Probe 10: HTTP 200 at https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=134&Itemid=254&lang=en,https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=134&Itemid=254&lang=en,2026-09-08T23:53:11.072807+05:30
http,pass,Probe 11: HTTP 200 at https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=138&Itemid=258&lang=en,https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=138&Itemid=258&lang=en,2026-09-08T23:53:11.072809+05:30
http,pass,Probe 12: HTTP 200 at https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=160&Itemid=259&lang=en,https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=160&Itemid=259&lang=en,2026-09-08T23:53:11.072818+05:30
http,pass,Probe 13: HTTP 200 at https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=140&Itemid=261&lang=en,https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=140&Itemid=261&lang=en,2026-09-08T23:53:11.072820+05:30
http,pass,Probe 14: HTTP 200 at https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=141&Itemid=270&lang=en,https://www.gsmb.gov.lk/index.php?option=com_content&view=article&id=141&Itemid=270&lang=en,2026-09-08T23:53:11.072823+05:30
phone,pass,Published phone: +94-11-2886289 ,https://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-112 886289,https://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-112 886290 ,https://www.gsmb.gov.lk/index.php?lang=en,
email,pass,Published email: info@gsmb.gov.lk,https://www.gsmb.gov.lk/index.php?lang=en,
postal_address,pass,"Published postal address: Geological Survey and Mines Bureau, 569, Epitamulla Road, Pitakotte, Sri Lanka. Related Links Ministry of Industry and E",https://www.gsmb.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: director,https://www.gsmb.gov.lk/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,https://www.gsmb.gov.lk/index.php?lang=en,
published_update_date,pass,Published published update date: 22 June 2026,https://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-11-2886289 ,http://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-112 886289,http://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-112 886290 ,http://www.gsmb.gov.lk/index.php?lang=en,
email,pass,Published email: info@gsmb.gov.lk,http://www.gsmb.gov.lk/index.php?lang=en,
postal_address,pass,"Published postal address: Geological Survey and Mines Bureau, 569, Epitamulla Road, Pitakotte, Sri Lanka. Related Links Ministry of Industry and E",http://www.gsmb.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: director,http://www.gsmb.gov.lk/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,http://www.gsmb.gov.lk/index.php?lang=en,
published_update_date,pass,Published published update date: 22 June 2026,http://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-11-2886289 ,https://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-112 886289,https://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-112 886290 ,https://www.gsmb.gov.lk/index.php?lang=en,
email,pass,Published email: info@gsmb.gov.lk,https://www.gsmb.gov.lk/index.php?lang=en,
postal_address,pass,"Published postal address: Geological Survey and Mines Bureau, 569, Epitamulla Road, Pitakotte, Sri Lanka. Related Links Ministry of Industry and E",https://www.gsmb.gov.lk/index.php?lang=en,
named_responsibility,pass,Published named responsibility: director,https://www.gsmb.gov.lk/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,https://www.gsmb.gov.lk/index.php?lang=en,
published_update_date,pass,Published published update date: 22 June 2026,https://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-11-2886289 ,http://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-112 886289,http://www.gsmb.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94-112 886290 ,http://www.gsmb.gov.lk/index.php?lang=en,
email,pass,Published email: info@gsmb.gov.lk,http://www.gsmb.gov.lk/index.php?lang=en,
postal_address,pass,"Published postal address: Geological Survey and Mines Bureau, 569, Epitamulla Road, Pitakotte, Sri Lanka. Related Links Ministry of Industry and E",http://www.gsmb.gov.lk/index.php?lang=en,
