check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:50:54.803273+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:50:54.803291+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:50:55.292650+05:30
http,pass,Probe 1: HTTP 200 at https://www.slbc.lk/,https://www.slbc.lk/,2026-09-08T23:51:20.702416+05:30
http,pass,Probe 2: HTTP 200 at http://www.slbc.lk/,http://www.slbc.lk/,2026-09-08T23:51:20.702436+05:30
http,pass,Probe 3: HTTP 200 at https://www.slbc.lk/,https://www.slbc.lk/,2026-09-08T23:51:20.702440+05:30
http,pass,Probe 4: HTTP 200 at http://www.slbc.lk/,http://www.slbc.lk/,2026-09-08T23:51:20.702443+05:30
http,pass,Probe 5: HTTP 200 at https://www.slbc.lk/world-heritage-sites/middle-east-service,https://www.slbc.lk/world-heritage-sites/middle-east-service,2026-09-08T23:51:20.702446+05:30
http,pass,Probe 6: HTTP 200 at https://www.slbc.lk/world-heritage-sites/asia-service,https://www.slbc.lk/world-heritage-sites/asia-service,2026-09-08T23:51:20.702448+05:30
http,pass,Probe 7: HTTP 200 at https://www.slbc.lk/contact-us,https://www.slbc.lk/contact-us,2026-09-08T23:51:20.702451+05:30
http,pass,Probe 8: HTTP 200 at https://www.slbc.lk/unesco-background,https://www.slbc.lk/unesco-background,2026-09-08T23:51:20.702453+05:30
http,pass,Probe 9: HTTP 200 at https://www.slbc.lk/overview,https://www.slbc.lk/overview,2026-09-08T23:51:20.702456+05:30
http,pass,Probe 10: HTTP 200 at https://www.slbc.lk/unesco-functions,https://www.slbc.lk/unesco-functions,2026-09-08T23:51:20.702459+05:30
http,pass,Probe 11: HTTP 200 at https://www.slbc.lk/world-heritage-sites/dambana-radio,https://www.slbc.lk/world-heritage-sites/dambana-radio,2026-09-08T23:51:20.702461+05:30
http,pass,Probe 12: HTTP 200 at https://www.slbc.lk/world-heritage-sites/cir,https://www.slbc.lk/world-heritage-sites/cir,2026-09-08T23:51:20.702464+05:30
http,pass,Probe 13: HTTP 200 at https://www.slbc.lk/world-heritage-sites/welenda-sevaya,https://www.slbc.lk/world-heritage-sites/welenda-sevaya,2026-09-08T23:51:20.702466+05:30
http,pass,Probe 14: HTTP 200 at https://www.slbc.lk/world-heritage-sites/pirei-fm,https://www.slbc.lk/world-heritage-sites/pirei-fm,2026-09-08T23:51:20.702468+05:30
phone,pass,Published phone: 011 267 5650,https://www.slbc.lk/,
phone,pass,Published phone: +94 112 689427 ,https://www.slbc.lk/,
phone,pass,Published phone: 011 307 1082 ,https://www.slbc.lk/,
phone,pass,Published phone: 0112696417 ,https://www.slbc.lk/,
phone,pass,Published phone: +94 11 269 7491-,https://www.slbc.lk/,
phone,pass,Published phone: 011 2 69 71 40 ,https://www.slbc.lk/,
phone,pass,Published phone: 076 0 11 22 33 ,https://www.slbc.lk/,
email,pass,Published email: info@slbcmail.lk,https://www.slbc.lk/,
email,pass,Published email: chairman@slbcmail.lk,https://www.slbc.lk/,
postal_address,pass,"Published postal address: SRI LANKA BRODCASTING CORPORATION No. 574, Torrington Square, Colombo 07,Sri Lanka",https://www.slbc.lk/,
phone,pass,Published phone: 011 267 5650,http://www.slbc.lk/,
phone,pass,Published phone: +94 112 689427 ,http://www.slbc.lk/,
phone,pass,Published phone: 011 307 1082 ,http://www.slbc.lk/,
phone,pass,Published phone: 0112696417 ,http://www.slbc.lk/,
phone,pass,Published phone: +94 11 269 7491-,http://www.slbc.lk/,
phone,pass,Published phone: 011 2 69 71 40 ,http://www.slbc.lk/,
phone,pass,Published phone: 076 0 11 22 33 ,http://www.slbc.lk/,
email,pass,Published email: info@slbcmail.lk,http://www.slbc.lk/,
email,pass,Published email: chairman@slbcmail.lk,http://www.slbc.lk/,
postal_address,pass,"Published postal address: SRI LANKA BRODCASTING CORPORATION No. 574, Torrington Square, Colombo 07,Sri Lanka",http://www.slbc.lk/,
phone,pass,Published phone: 011 267 5650,https://www.slbc.lk/,
phone,pass,Published phone: +94 112 689427 ,https://www.slbc.lk/,
phone,pass,Published phone: 011 307 1082 ,https://www.slbc.lk/,
phone,pass,Published phone: 0112696417 ,https://www.slbc.lk/,
phone,pass,Published phone: +94 11 269 7491-,https://www.slbc.lk/,
phone,pass,Published phone: 011 2 69 71 40 ,https://www.slbc.lk/,
phone,pass,Published phone: 076 0 11 22 33 ,https://www.slbc.lk/,
email,pass,Published email: info@slbcmail.lk,https://www.slbc.lk/,
email,pass,Published email: chairman@slbcmail.lk,https://www.slbc.lk/,
