check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:02:13.261435+05:30
domain_registration,pass,Domain registered,,2026-09-09T00:02:13.261441+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:02:13.766449+05:30
http,pass,Probe 1: HTTP 200 at https://www.deckeppetipola.com/,https://www.deckeppetipola.com/,2026-09-09T00:02:36.923430+05:30
http,pass,Probe 2: HTTP 200 at https://www.deckeppetipola.com/,http://www.deckeppetipola.com/,2026-09-09T00:02:36.923452+05:30
http,pass,Probe 3: HTTP 200 at https://www.deckeppetipola.com/,https://www.deckeppetipola.com/,2026-09-09T00:02:36.923455+05:30
http,pass,Probe 4: HTTP 200 at https://www.deckeppetipola.com/,http://www.deckeppetipola.com/,2026-09-09T00:02:36.923458+05:30
http,pass,Probe 5: HTTP 200 at https://www.deckeppetipola.com/contact/,https://www.deckeppetipola.com/contact/,2026-09-09T00:02:36.923461+05:30
http,pass,Probe 6: HTTP 200 at https://www.deckeppetipola.com/contact.php,https://www.deckeppetipola.com/contact.php,2026-09-09T00:02:36.923464+05:30
http,pass,Probe 7: HTTP 200 at https://www.deckeppetipola.com/login.php,https://www.deckeppetipola.com/login.php,2026-09-09T00:02:36.923466+05:30
http,pass,Probe 8: HTTP 200 at https://www.deckeppetipola.com/about.php,https://www.deckeppetipola.com/about.php,2026-09-09T00:02:36.923469+05:30
http,pass,Probe 9: HTTP 200 at https://www.deckeppetipola.com/projects/,https://www.deckeppetipola.com/projects/,2026-09-09T00:02:36.923471+05:30
http,pass,Probe 10: HTTP 200 at https://www.deckeppetipola.com/price-list/,https://www.deckeppetipola.com/price-list/,2026-09-09T00:02:36.923474+05:30
http,pass,Probe 11: HTTP 200 at https://www.deckeppetipola.com/details-about-the-stalls/,https://www.deckeppetipola.com/details-about-the-stalls/,2026-09-09T00:02:36.923476+05:30
http,pass,Probe 12: HTTP 200 at https://www.deckeppetipola.com/price-list.php,https://www.deckeppetipola.com/price-list.php,2026-09-09T00:02:36.923479+05:30
