check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:54:42.343256+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:54:42.343277+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:54:42.881038+05:30
http,pass,Probe 1: HTTP 200 at https://analyst.gov.lk/,https://analyst.gov.lk/,2026-09-08T23:55:28.074895+05:30
http,pass,Probe 2: HTTP 200 at https://analyst.gov.lk/,http://analyst.gov.lk/,2026-09-08T23:55:28.074918+05:30
http,pass,Probe 3: HTTP 200 at https://analyst.gov.lk/,https://analyst.gov.lk/,2026-09-08T23:55:28.074922+05:30
http,pass,Probe 4: HTTP 200 at https://analyst.gov.lk/,http://analyst.gov.lk/,2026-09-08T23:55:28.074925+05:30
http,pass,Probe 5: HTTP 200 at https://analyst.gov.lk/services/forensic-section/,https://analyst.gov.lk/services/forensic-section/,2026-09-08T23:55:28.074928+05:30
http,pass,Probe 6: HTTP 200 at https://analyst.gov.lk/services/forensic-explosive-and-fire-investigation-division/,https://analyst.gov.lk/services/forensic-explosive-and-fire-investigation-division/,2026-09-08T23:55:28.074931+05:30
http,pass,Probe 7: HTTP 200 at https://analyst.gov.lk/services/forensic-toxicology-section/,https://analyst.gov.lk/services/forensic-toxicology-section/,2026-09-08T23:55:28.074933+05:30
http,pass,Probe 8: HTTP 200 at https://analyst.gov.lk/services/narcotic-drugs-and-psychotropic-substances-section/,https://analyst.gov.lk/services/narcotic-drugs-and-psychotropic-substances-section/,2026-09-08T23:55:28.074936+05:30
http,pass,Probe 9: HTTP 200 at https://analyst.gov.lk/services/forensic-serology-and-dna-section/,https://analyst.gov.lk/services/forensic-serology-and-dna-section/,2026-09-08T23:55:28.074938+05:30
http,pass,Probe 10: HTTP 200 at https://analyst.gov.lk/services/forensic-document-section/,https://analyst.gov.lk/services/forensic-document-section/,2026-09-08T23:55:28.074941+05:30
http,pass,Probe 11: HTTP 200 at https://analyst.gov.lk/services/digital-and-computer-forensic-section/,https://analyst.gov.lk/services/digital-and-computer-forensic-section/,2026-09-08T23:55:28.074943+05:30
http,pass,Probe 12: HTTP 200 at https://analyst.gov.lk/services/forensic-miscellaneous-section/,https://analyst.gov.lk/services/forensic-miscellaneous-section/,2026-09-08T23:55:28.074946+05:30
http,pass,Probe 13: HTTP 200 at https://analyst.gov.lk/services/food-laboratory/,https://analyst.gov.lk/services/food-laboratory/,2026-09-08T23:55:28.074949+05:30
http,pass,Probe 14: HTTP 200 at https://analyst.gov.lk/services/liquor-laboratory/,https://analyst.gov.lk/services/liquor-laboratory/,2026-09-08T23:55:28.074951+05:30
