check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:37:38.624452+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:37:38.624471+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:37:38.696012+05:30
http,pass,Probe 1: HTTP 200 at https://www.plc.lk/,https://www.plc.lk/,2026-09-08T23:37:54.322703+05:30
http,pass,Probe 2: HTTP 200 at https://www.plc.lk/,http://www.plc.lk/,2026-09-08T23:37:54.322725+05:30
http,pass,Probe 3: HTTP 200 at https://www.plc.lk/,https://www.plc.lk/,2026-09-08T23:37:54.322729+05:30
http,pass,Probe 4: HTTP 200 at https://www.plc.lk/,http://www.plc.lk/,2026-09-08T23:37:54.322732+05:30
http,pass,Probe 5: HTTP 200 at https://www.plc.lk/contact-us/,https://www.plc.lk/contact-us/,2026-09-08T23:37:54.322735+05:30
http,pass,Probe 6: HTTP 200 at https://www.plc.lk/about-us/who-we-are/,https://www.plc.lk/about-us/who-we-are/,2026-09-08T23:37:54.322738+05:30
http,pass,Probe 7: HTTP 200 at https://www.plc.lk/our-group/,https://www.plc.lk/our-group/,2026-09-08T23:37:54.322740+05:30
http,pass,Probe 8: HTTP 200 at https://www.plc.lk/about-us/board-of-directors/,https://www.plc.lk/about-us/board-of-directors/,2026-09-08T23:37:54.322743+05:30
http,pass,Probe 9: HTTP 200 at https://www.plc.lk/about-us/corporate-management/,https://www.plc.lk/about-us/corporate-management/,2026-09-08T23:37:54.322745+05:30
http,pass,Probe 10: HTTP 200 at https://www.plc.lk/about-us/senior-management/,https://www.plc.lk/about-us/senior-management/,2026-09-08T23:37:54.322748+05:30
http,pass,Probe 11: HTTP 200 at https://www.plc.lk/about-us/corporate-information/,https://www.plc.lk/about-us/corporate-information/,2026-09-08T23:37:54.322751+05:30
http,pass,Probe 12: HTTP 200 at https://www.plc.lk/about-us/awards-certifications/,https://www.plc.lk/about-us/awards-certifications/,2026-09-08T23:37:54.322754+05:30
http,pass,Probe 13: HTTP 200 at https://www.plc.lk/sustainability/,https://www.plc.lk/sustainability/,2026-09-08T23:37:54.322756+05:30
http,pass,Probe 14: HTTP 200 at https://www.plc.lk/careers/,https://www.plc.lk/careers/,2026-09-08T23:37:54.322759+05:30
phone,pass,Published phone: +94 11 2 206 300 ,https://www.plc.lk/,
phone,pass,Published phone: +94112206300,https://www.plc.lk/,
email,pass,Published email: info@plc.lk,https://www.plc.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.plc.lk/,
fees_and_payment,pass,Published fees and payment: rs 30,https://www.plc.lk/,
phone,pass,Published phone: +94 11 2 206 300 ,https://www.plc.lk/,
phone,pass,Published phone: +94112206300,https://www.plc.lk/,
email,pass,Published email: info@plc.lk,https://www.plc.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.plc.lk/,
fees_and_payment,pass,Published fees and payment: rs 30,https://www.plc.lk/,
phone,pass,Published phone: +94 11 2 206 300 ,https://www.plc.lk/,
phone,pass,Published phone: +94112206300,https://www.plc.lk/,
email,pass,Published email: info@plc.lk,https://www.plc.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.plc.lk/,
fees_and_payment,pass,Published fees and payment: rs 30,https://www.plc.lk/,
phone,pass,Published phone: +94 11 2 206 300 ,https://www.plc.lk/,
phone,pass,Published phone: +94112206300,https://www.plc.lk/,
email,pass,Published email: info@plc.lk,https://www.plc.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.plc.lk/,
fees_and_payment,pass,Published fees and payment: rs 30,https://www.plc.lk/,
phone,pass,Published phone: 011 2 206 300 ,https://www.plc.lk/contact-us/,
phone,pass,Published phone: 0112 817 653 ,https://www.plc.lk/contact-us/,
phone,pass,Published phone: 0112 126 126,https://www.plc.lk/contact-us/,
phone,pass,Published phone: 0112 206 306 ,https://www.plc.lk/contact-us/,
phone,pass,Published phone: 0112 817 653,https://www.plc.lk/contact-us/,
phone,pass,Published phone: 0112 206 306,https://www.plc.lk/contact-us/,
phone,pass,Published phone: 0112 631 631,https://www.plc.lk/contact-us/,
phone,pass,Published phone: 0112 890 990 ,https://www.plc.lk/contact-us/,
phone,pass,Published phone: 0112 304 465 ,https://www.plc.lk/contact-us/,
