check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:03:13.014469+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:03:13.014487+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:03:13.978478+05:30
http,pass,Probe 1: HTTP 200 at https://www.ntc.gov.lk/,https://www.ntc.gov.lk/,2026-09-09T00:03:40.364719+05:30
http,pass,Probe 2: HTTP 200 at https://www.ntc.gov.lk/,http://www.ntc.gov.lk/,2026-09-09T00:03:40.364740+05:30
http,pass,Probe 3: HTTP 200 at https://www.ntc.gov.lk/,https://www.ntc.gov.lk/,2026-09-09T00:03:40.364744+05:30
http,pass,Probe 4: HTTP 200 at https://www.ntc.gov.lk/,http://www.ntc.gov.lk/,2026-09-09T00:03:40.364747+05:30
http,pass,Probe 5: HTTP 200 at https://www.ntc.gov.lk/Bus_info/subsidy_services.php,https://www.ntc.gov.lk/Bus_info/subsidy_services.php,2026-09-09T00:03:40.364750+05:30
http,pass,Probe 6: HTTP 200 at https://www.ntc.gov.lk/Services/gemi_seriya.php,https://www.ntc.gov.lk/Services/gemi_seriya.php,2026-09-09T00:03:40.364753+05:30
http,pass,Probe 7: HTTP 200 at https://www.ntc.gov.lk/Services/sisu_seriya.php,https://www.ntc.gov.lk/Services/sisu_seriya.php,2026-09-09T00:03:40.364755+05:30
http,pass,Probe 8: HTTP 200 at https://www.ntc.gov.lk/Services/nisi_seriya.php,https://www.ntc.gov.lk/Services/nisi_seriya.php,2026-09-09T00:03:40.364758+05:30
http,pass,Probe 9: HTTP 200 at https://www.ntc.gov.lk/Services/crew_training.php,https://www.ntc.gov.lk/Services/crew_training.php,2026-09-09T00:03:40.364760+05:30
http,pass,Probe 10: HTTP 200 at https://www.ntc.gov.lk/Services/crew-registration.php,https://www.ntc.gov.lk/Services/crew-registration.php,2026-09-09T00:03:40.364763+05:30
http,pass,Probe 11: HTTP 200 at https://www.ntc.gov.lk/Services/permit-renewal.php,https://www.ntc.gov.lk/Services/permit-renewal.php,2026-09-09T00:03:40.364766+05:30
