check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:01:06.833628+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:01:06.833646+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:01:06.908922+05:30
http,pass,Probe 1: HTTP 200 at https://www.slintec.lk/,https://www.slintec.lk/,2026-09-09T00:01:27.140867+05:30
http,pass,Probe 2: HTTP 200 at https://www.slintec.lk/,http://www.slintec.lk/,2026-09-09T00:01:27.140895+05:30
http,pass,Probe 3: HTTP 200 at https://www.slintec.lk/,https://www.slintec.lk/,2026-09-09T00:01:27.140899+05:30
http,pass,Probe 4: HTTP 200 at https://www.slintec.lk/,http://www.slintec.lk/,2026-09-09T00:01:27.140902+05:30
http,pass,Probe 5: HTTP 200 at https://www.slintec.lk/contacts/,https://www.slintec.lk/contacts/,2026-09-09T00:01:27.140905+05:30
http,pass,Probe 6: HTTP 200 at https://www.slintec.lk/contacts/industrial-inquiries/,https://www.slintec.lk/contacts/industrial-inquiries/,2026-09-09T00:01:27.140907+05:30
http,pass,Probe 7: HTTP 200 at https://www.slintec.lk/overview/,https://www.slintec.lk/overview/,2026-09-09T00:01:27.140910+05:30
http,pass,Probe 8: HTTP 200 at https://www.slintec.lk/our-partners/,https://www.slintec.lk/our-partners/,2026-09-09T00:01:27.140912+05:30
http,pass,Probe 9: HTTP 200 at https://www.slintec.lk/awards-achievements/,https://www.slintec.lk/awards-achievements/,2026-09-09T00:01:27.140915+05:30
http,pass,Probe 10: HTTP 200 at https://www.slintec.lk/leadership/,https://www.slintec.lk/leadership/,2026-09-09T00:01:27.140918+05:30
http,pass,Probe 11: HTTP 200 at https://www.slintec.lk/endowment/,https://www.slintec.lk/endowment/,2026-09-09T00:01:27.140920+05:30
http,pass,Probe 12: HTTP 200 at https://www.slintec.lk/careers/,https://www.slintec.lk/careers/,2026-09-09T00:01:27.140923+05:30
http,pass,Probe 13: HTTP 200 at https://www.slintec.lk/home/our-team/,https://www.slintec.lk/home/our-team/,2026-09-09T00:01:27.140925+05:30
http,pass,Probe 14: HTTP 200 at https://www.slintec.lk/energy-storage-2/,https://www.slintec.lk/energy-storage-2/,2026-09-09T00:01:27.140927+05:30
phone,pass,Published phone: +94 11 4650500 ,https://www.slintec.lk/,
phone,pass,Published phone: 01-01-02-1-100,https://www.slintec.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.slintec.lk/,
phone,pass,Published phone: +94 11 4650500 ,https://www.slintec.lk/,
phone,pass,Published phone: 01-01-02-1-100,https://www.slintec.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.slintec.lk/,
phone,pass,Published phone: +94 11 4650500 ,https://www.slintec.lk/,
phone,pass,Published phone: 01-01-02-1-100,https://www.slintec.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.slintec.lk/,
phone,pass,Published phone: +94 11 4650500 ,https://www.slintec.lk/,
