check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:34:25.012529+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:34:25.012548+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-08T23:34:25.234935+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://www.sliate.ac.lk/,2026-09-08T23:34:41.224573+05:30
http,pass,Probe 2: HTTP 200 at http://www.sliate.ac.lk/,http://www.sliate.ac.lk/,2026-09-08T23:34:41.224599+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032),https://www.sliate.ac.lk/,2026-09-08T23:34:41.224603+05:30
http,pass,Probe 4: HTTP 200 at http://www.sliate.ac.lk/,http://www.sliate.ac.lk/,2026-09-08T23:34:41.224606+05:30
http,pass,Probe 5: HTTP 200 at http://www.sliate.ac.lk/course/hnde-building-services,http://www.sliate.ac.lk/course/hnde-building-services,2026-09-08T23:34:41.224608+05:30
http,pass,Probe 6: HTTP 200 at http://www.sliate.ac.lk/contact/contact,http://www.sliate.ac.lk/contact/contact,2026-09-08T23:34:41.224611+05:30
http,pass,Probe 7: HTTP 200 at http://www.sliate.ac.lk/contact/form,http://www.sliate.ac.lk/contact/form,2026-09-08T23:34:41.224614+05:30
http,pass,Probe 8: HTTP 200 at http://www.sliate.ac.lk/about,http://www.sliate.ac.lk/about,2026-09-08T23:34:41.224616+05:30
http,pass,Probe 9: HTTP 200 at http://www.sliate.ac.lk/about/overview,http://www.sliate.ac.lk/about/overview,2026-09-08T23:34:41.224619+05:30
http,pass,Probe 10: HTTP 200 at http://www.sliate.ac.lk/about/structure,http://www.sliate.ac.lk/about/structure,2026-09-08T23:34:41.224621+05:30
http,pass,Probe 11: HTTP 200 at http://www.sliate.ac.lk/news/staff,http://www.sliate.ac.lk/news/staff,2026-09-08T23:34:41.224624+05:30
http,pass,Probe 12: HTTP 200 at http://www.sliate.ac.lk/news/students,http://www.sliate.ac.lk/news/students,2026-09-08T23:34:41.224627+05:30
http,pass,Probe 13: HTTP 200 at http://www.sliate.ac.lk/news/common,http://www.sliate.ac.lk/news/common,2026-09-08T23:34:41.224630+05:30
http,pass,Probe 14: HTTP 200 at http://www.sliate.ac.lk/news/event,http://www.sliate.ac.lk/news/event,2026-09-08T23:34:41.224633+05:30
phone,pass,Published phone: +94) 112 691307 (,http://www.sliate.ac.lk/,
phone,pass,Published phone: 0174276461,http://www.sliate.ac.lk/,
phone,pass,Published phone: 025-2 - 2026.08.,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94) 112 691572 ,http://www.sliate.ac.lk/,
phone,pass,Published phone: 079 63007 11,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94 112 691 307,http://www.sliate.ac.lk/,
legal_basis,pass,Published legal basis: circular,http://www.sliate.ac.lk/,
downloadable_form,pass,Published downloadable form: http://www.sliate.ac.lk/attachments/article/475/Re- Scrutiny Application 2025 -1.pdf,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94) 112 691307 (,http://www.sliate.ac.lk/,
phone,pass,Published phone: 0174276461,http://www.sliate.ac.lk/,
phone,pass,Published phone: 025-2 - 2026.08.,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94) 112 691572 ,http://www.sliate.ac.lk/,
phone,pass,Published phone: 079 63008 11,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94 112 691 307,http://www.sliate.ac.lk/,
legal_basis,pass,Published legal basis: circular,http://www.sliate.ac.lk/,
downloadable_form,pass,Published downloadable form: http://www.sliate.ac.lk/attachments/article/475/Re- Scrutiny Application 2025 -1.pdf,http://www.sliate.ac.lk/,
phone,pass,Published phone: +94) 112 691307 (,http://www.sliate.ac.lk/course/hnde-building-services,
phone,pass,Published phone: 0174276461,http://www.sliate.ac.lk/course/hnde-building-services,
phone,pass,Published phone: 0112521152 ,http://www.sliate.ac.lk/course/hnde-building-services,
phone,pass,Published phone: +94) 112 691572 ,http://www.sliate.ac.lk/course/hnde-building-services,
