check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:33:57.767124+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:33:57.767178+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:33:58.248364+05:30
http,pass,Probe 1: HTTP 200 at https://wncoe.moe.gov.lk/,https://wncoe.moe.gov.lk/,2026-09-08T23:34:24.925729+05:30
http,pass,Probe 2: HTTP 200 at https://wncoe.moe.gov.lk/,http://wncoe.moe.gov.lk/,2026-09-08T23:34:24.925749+05:30
http,pass,Probe 3: HTTP 200 at https://wncoe.moe.gov.lk/,https://wncoe.moe.gov.lk/,2026-09-08T23:34:24.925753+05:30
http,pass,Probe 4: HTTP 200 at https://wncoe.moe.gov.lk/,http://wncoe.moe.gov.lk/,2026-09-08T23:34:24.925755+05:30
http,pass,Probe 5: HTTP 200 at https://wncoe.moe.gov.lk/general-office/,https://wncoe.moe.gov.lk/general-office/,2026-09-08T23:34:24.925758+05:30
http,pass,Probe 6: HTTP 200 at https://wncoe.moe.gov.lk/environment-and-premises-services/,https://wncoe.moe.gov.lk/environment-and-premises-services/,2026-09-08T23:34:24.925761+05:30
http,pass,Probe 7: HTTP 200 at https://wncoe.moe.gov.lk/contact-us/,https://wncoe.moe.gov.lk/contact-us/,2026-09-08T23:34:24.925764+05:30
http,pass,Probe 8: HTTP 200 at https://wncoe.moe.gov.lk/ict-unit/,https://wncoe.moe.gov.lk/ict-unit/,2026-09-08T23:34:24.925766+05:30
http,pass,Probe 9: HTTP 200 at https://wncoe.moe.gov.lk/2020-2022/,https://wncoe.moe.gov.lk/2020-2022/,2026-09-08T23:34:24.925769+05:30
http,pass,Probe 10: HTTP 200 at https://wncoe.moe.gov.lk/2022-2024/,https://wncoe.moe.gov.lk/2022-2024/,2026-09-08T23:34:24.925771+05:30
http,pass,Probe 11: HTTP 200 at https://wncoe.moe.gov.lk/about-us/,https://wncoe.moe.gov.lk/about-us/,2026-09-08T23:34:24.925774+05:30
http,pass,Probe 12: HTTP 200 at https://wncoe.moe.gov.lk/academic-section/,https://wncoe.moe.gov.lk/academic-section/,2026-09-08T23:34:24.925776+05:30
http,pass,Probe 13: HTTP 200 at https://wncoe.moe.gov.lk/vision-and-mission/,https://wncoe.moe.gov.lk/vision-and-mission/,2026-09-08T23:34:24.925779+05:30
