check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:06:31.343333+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:06:31.343353+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:06:31.401120+05:30
http,pass,Probe 1: HTTP 200 at https://www.trade.gov.lk/,https://www.trade.gov.lk/,2026-09-09T00:06:47.099538+05:30
http,pass,Probe 2: HTTP 200 at https://www.trade.gov.lk/,http://www.trade.gov.lk/,2026-09-09T00:06:47.099559+05:30
http,pass,Probe 3: HTTP 200 at https://www.trade.gov.lk/,https://www.trade.gov.lk/,2026-09-09T00:06:47.099563+05:30
http,pass,Probe 4: HTTP 200 at https://www.trade.gov.lk/,http://www.trade.gov.lk/,2026-09-09T00:06:47.099565+05:30
http,pass,Probe 5: HTTP 200 at https://www.trade.gov.lk/contact-us/contact-details,https://www.trade.gov.lk/contact-us/contact-details,2026-09-09T00:06:47.099568+05:30
http,pass,Probe 6: HTTP 200 at https://www.trade.gov.lk/contact-us/inquiry,https://www.trade.gov.lk/contact-us/inquiry,2026-09-09T00:06:47.099571+05:30
http,pass,Probe 7: HTTP 200 at https://www.trade.gov.lk/contact-us/information-officer,https://www.trade.gov.lk/contact-us/information-officer,2026-09-09T00:06:47.099573+05:30
http,pass,"Probe 8: HTTP 200 at https://www.trade.gov.lk/images/departments/Department%20of%20Measurement%20Units,%20Standards%20and%20Services.png","https://www.trade.gov.lk/images/departments/Department of Measurement Units, Standards and Services.png",2026-09-09T00:06:47.099576+05:30
http,pass,Probe 9: HTTP 200 at https://www.trade.gov.lk/images/departments/Food%20Commissioner%E2%80%99s%20Department.png,https://www.trade.gov.lk/images/departments/Food Commissioner’s Department.png,2026-09-09T00:06:47.099579+05:30
http,pass,Probe 10: HTTP 200 at https://www.trade.gov.lk/images/departments/Department%20of%20Commerce.png,https://www.trade.gov.lk/images/departments/Department of Commerce.png,2026-09-09T00:06:47.099582+05:30
http,pass,Probe 11: HTTP 200 at https://www.trade.gov.lk/images/departments/coopdev.png,https://www.trade.gov.lk/images/departments/coopdev.png,2026-09-09T00:06:47.099584+05:30
http,pass,Probe 12: HTTP 200 at https://www.trade.gov.lk/images/departments/registrars.png,https://www.trade.gov.lk/images/departments/registrars.png,2026-09-09T00:06:47.099587+05:30
http,pass,Probe 13: HTTP 200 at https://www.trade.gov.lk/images/departments/National%20Intellectual%20Property%20Office%20of%20Sri%20Lanka.png,https://www.trade.gov.lk/images/departments/National Intellectual Property Office of Sri Lanka.png,2026-09-09T00:06:47.099589+05:30
http,pass,Probe 14: HTTP 200 at https://www.trade.gov.lk/images/departments/cec.png,https://www.trade.gov.lk/images/departments/cec.png,2026-09-09T00:06:47.099592+05:30
phone,pass,Published phone: +94 11 2118 667 ,https://www.trade.gov.lk/,
phone,pass,Published phone: +94 11 2423 979 ,https://www.trade.gov.lk/,
email,pass,Published email: info@trademin.gov.lk,https://www.trade.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.trade.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.trade.gov.lk/,
phone,pass,Published phone: +94 11 2118 667 ,https://www.trade.gov.lk/,
phone,pass,Published phone: +94 11 2423 979 ,https://www.trade.gov.lk/,
email,pass,Published email: info@trademin.gov.lk,https://www.trade.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.trade.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.trade.gov.lk/,
phone,pass,Published phone: +94 11 2118 667 ,https://www.trade.gov.lk/,
phone,pass,Published phone: +94 11 2423 979 ,https://www.trade.gov.lk/,
email,pass,Published email: info@trademin.gov.lk,https://www.trade.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.trade.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.trade.gov.lk/,
phone,pass,Published phone: +94 11 2118 667 ,https://www.trade.gov.lk/,
phone,pass,Published phone: +94 11 2423 979 ,https://www.trade.gov.lk/,
email,pass,Published email: info@trademin.gov.lk,https://www.trade.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.trade.gov.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.trade.gov.lk/,
phone,pass,Published phone: 011 2110 583,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2423979 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 580 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2300 358,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118671 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118670 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110571 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2423 975,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2304078,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 577,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2300 358 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 573 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 581,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118658,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 573,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118666,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 581 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: +94 11 2118 667 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118663,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110576,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 580,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: +94 11 2423 979 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118671,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2300 354,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2314 328 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118658 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2314 327 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2423 975 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118 664,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 579,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118 664 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 3620 238,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2300 354 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2423975,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2300358 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 3620 238 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118666 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2300358,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 579 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2423979,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 574 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 577 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 574,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2118670,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2314 327,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110 583 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2110576 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2423975 ,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2058 056,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2314 328,https://www.trade.gov.lk/contact-us/contact-details,
phone,pass,Published phone: 011 2304078 ,https://www.trade.gov.lk/contact-us/contact-details,
