check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:30:32.487389+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:30:32.487409+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:30:33.393170+05:30
http,pass,Probe 1: HTTP 200 at https://www.pim.sjp.ac.lk/,https://www.pim.sjp.ac.lk/,2026-09-08T23:31:08.100915+05:30
http,pass,Probe 2: HTTP 200 at https://www.pim.sjp.ac.lk/,http://www.pim.sjp.ac.lk/,2026-09-08T23:31:08.100936+05:30
http,pass,Probe 3: HTTP 200 at https://www.pim.sjp.ac.lk/,https://www.pim.sjp.ac.lk/,2026-09-08T23:31:08.100940+05:30
http,pass,Probe 4: HTTP 200 at https://www.pim.sjp.ac.lk/,http://www.pim.sjp.ac.lk/,2026-09-08T23:31:08.100943+05:30
http,pass,Probe 5: HTTP 200 at https://www.pim.sjp.ac.lk/about_location.php,https://www.pim.sjp.ac.lk/about_location.php,2026-09-08T23:31:08.100946+05:30
http,pass,Probe 6: HTTP 200 at https://www.pim.sjp.ac.lk/news.php,https://www.pim.sjp.ac.lk/news.php,2026-09-08T23:31:08.100949+05:30
http,pass,Probe 7: HTTP 200 at https://www.pim.sjp.ac.lk/pimarc,https://www.pim.sjp.ac.lk/pimarc,2026-09-08T23:31:08.100952+05:30
http,pass,Probe 8: HTTP 200 at https://www.pim.sjp.ac.lk/about_learning_spaces.php,https://www.pim.sjp.ac.lk/about_learning_spaces.php,2026-09-08T23:31:08.100955+05:30
http,pass,Probe 9: HTTP 200 at https://www.pim.sjp.ac.lk/notices,https://www.pim.sjp.ac.lk/notices,2026-09-08T23:31:08.100958+05:30
http,pass,Probe 10: HTTP 200 at https://www.pim.sjp.ac.lk/search.php,https://www.pim.sjp.ac.lk/search.php,2026-09-08T23:31:08.100961+05:30
http,pass,Probe 11: HTTP 200 at https://www.pim.sjp.ac.lk/index.php,https://www.pim.sjp.ac.lk/index.php,2026-09-08T23:31:08.100964+05:30
http,pass,Probe 12: HTTP 200 at https://www.pim.sjp.ac.lk/about/about_pim_ordinanc.pdf,https://www.pim.sjp.ac.lk/about/about_pim_ordinanc.pdf,2026-09-08T23:31:08.100968+05:30
http,pass,Probe 13: HTTP 200 at https://www.pim.sjp.ac.lk/about_vision.php,https://www.pim.sjp.ac.lk/about_vision.php,2026-09-08T23:31:08.100970+05:30
http,pass,Probe 14: HTTP 200 at https://www.pim.sjp.ac.lk/about_director.php,https://www.pim.sjp.ac.lk/about_director.php,2026-09-08T23:31:08.100974+05:30
phone,pass,Published phone: +94112689639,https://www.pim.sjp.ac.lk/,
phone,pass,Published phone: +94 112 689639 ,https://www.pim.sjp.ac.lk/,
phone,pass,Published phone: 0112689639 ,https://www.pim.sjp.ac.lk/,
email,pass,Published email: sar@pim.sjp.ac.lk,https://www.pim.sjp.ac.lk/,
email,pass,Published email: admin@pim.sjp.ac.lk,https://www.pim.sjp.ac.lk/,
email,pass,Published email: director@pim.sjp.ac.lk,https://www.pim.sjp.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.pim.sjp.ac.lk/,
legal_basis,pass,Published legal basis: regulations,https://www.pim.sjp.ac.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://www.pim.sjp.ac.lk/,
processing_time,pass,Published processing time: 60 hours,https://www.pim.sjp.ac.lk/,
phone,pass,Published phone: +94112689639,https://www.pim.sjp.ac.lk/,
phone,pass,Published phone: +94 112 689639 ,https://www.pim.sjp.ac.lk/,
