check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:51:32.746971+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:51:32.746989+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:51:33.310742+05:30
http,pass,Probe 1: HTTP 200 at https://spmc.gov.lk/,https://spmc.gov.lk/,2026-09-08T23:52:09.633373+05:30
http,pass,Probe 2: HTTP 200 at https://spmc.gov.lk/,http://spmc.gov.lk/,2026-09-08T23:52:09.633395+05:30
http,pass,Probe 3: HTTP 200 at https://spmc.gov.lk/,https://spmc.gov.lk/,2026-09-08T23:52:09.633398+05:30
http,pass,Probe 4: HTTP 200 at https://spmc.gov.lk/,http://spmc.gov.lk/,2026-09-08T23:52:09.633401+05:30
http,pass,Probe 5: HTTP 200 at https://spmc.gov.lk/services,https://spmc.gov.lk/services,2026-09-08T23:52:09.633404+05:30
http,pass,Probe 6: HTTP 200 at https://spmc.gov.lk/contact,https://spmc.gov.lk/contact,2026-09-08T23:52:09.633407+05:30
http,pass,Probe 7: HTTP 200 at https://spmc.gov.lk/about-spmc/awards,https://spmc.gov.lk/about-spmc/awards,2026-09-08T23:52:09.633409+05:30
http,pass,Probe 8: HTTP 200 at https://spmc.gov.lk/index.php,https://spmc.gov.lk/index.php,2026-09-08T23:52:09.633412+05:30
http,pass,Probe 9: HTTP 200 at https://spmc.gov.lk/%E0%B7%83%E0%B7%92%E0%B6%82%E0%B7%84%E0%B6%BD,https://spmc.gov.lk/සිංහල,2026-09-08T23:52:09.633415+05:30
http,pass,Probe 10: HTTP 200 at https://spmc.gov.lk/%E0%AE%A4%E0%AE%AE%E0%AE%BF%E0%AE%B4%E0%AF%8D,https://spmc.gov.lk/தமிழ்,2026-09-08T23:52:09.633417+05:30
http,pass,Probe 11: HTTP 200 at https://spmc.gov.lk/about-spmc,https://spmc.gov.lk/about-spmc,2026-09-08T23:52:09.633420+05:30
http,pass,Probe 12: HTTP 200 at https://spmc.gov.lk/about-spmc/introduction,https://spmc.gov.lk/about-spmc/introduction,2026-09-08T23:52:09.633422+05:30
http,pass,Probe 13: HTTP 200 at https://spmc.gov.lk/about-spmc/look,https://spmc.gov.lk/about-spmc/look,2026-09-08T23:52:09.633425+05:30
http,pass,Probe 14: HTTP 200 at https://spmc.gov.lk/about-spmc/vision,https://spmc.gov.lk/about-spmc/vision,2026-09-08T23:52:09.633427+05:30
phone,pass,Published phone: +94) 011 263535,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2635353,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2636966,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263757,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2636967,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2634771,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263477,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2637574,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263696,https://spmc.gov.lk/,
email,pass,Published email: chairman@spmc.gov.lk,https://spmc.gov.lk/,
postal_address,pass,"Published postal address: No.11, Sir John Kotelawala Mawatha, Kandawala Estate, Ratmalana, Sri Lanka.",https://spmc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://spmc.gov.lk/,
published_update_date,pass,Published published update date: 2026-08-15,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263535,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2635353,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2636966,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263757,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2636967,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2634771,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263477,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2637574,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263696,https://spmc.gov.lk/,
email,pass,Published email: chairman@spmc.gov.lk,https://spmc.gov.lk/,
postal_address,pass,"Published postal address: No.11, Sir John Kotelawala Mawatha, Kandawala Estate, Ratmalana, Sri Lanka.",https://spmc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://spmc.gov.lk/,
published_update_date,pass,Published published update date: 2026-08-15,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263535,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2635353,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2636966,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263757,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2636967,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2634771,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263477,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2637574,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263696,https://spmc.gov.lk/,
email,pass,Published email: chairman@spmc.gov.lk,https://spmc.gov.lk/,
postal_address,pass,"Published postal address: No.11, Sir John Kotelawala Mawatha, Kandawala Estate, Ratmalana, Sri Lanka.",https://spmc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://spmc.gov.lk/,
published_update_date,pass,Published published update date: 2026-08-15,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263535,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2635353,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2636966,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263757,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2636967,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2634771,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263477,https://spmc.gov.lk/,
phone,pass,Published phone: (+94) 011 2637574,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263696,https://spmc.gov.lk/,
email,pass,Published email: chairman@spmc.gov.lk,https://spmc.gov.lk/,
postal_address,pass,"Published postal address: No.11, Sir John Kotelawala Mawatha, Kandawala Estate, Ratmalana, Sri Lanka.",https://spmc.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://spmc.gov.lk/,
published_update_date,pass,Published published update date: 2026-08-15,https://spmc.gov.lk/,
phone,pass,Published phone: +94) 011 263535,https://spmc.gov.lk/services,
phone,pass,Published phone: (+94) 011 2635353,https://spmc.gov.lk/services,
phone,pass,Published phone: (+94) 011 2636966,https://spmc.gov.lk/services,
phone,pass,Published phone: +94) 011 263757,https://spmc.gov.lk/services,
phone,pass,Published phone: (+94) 011 2636967,https://spmc.gov.lk/services,
phone,pass,Published phone: (+94) 011 2634771,https://spmc.gov.lk/services,
phone,pass,Published phone: +94) 011 263477,https://spmc.gov.lk/services,
phone,pass,Published phone: (+94) 011 2637574,https://spmc.gov.lk/services,
phone,pass,Published phone: +94) 011 263696,https://spmc.gov.lk/services,
email,pass,Published email: chairman@spmc.gov.lk,https://spmc.gov.lk/services,
postal_address,pass,"Published postal address: No.11, Sir John Kotelawala Mawatha, Kandawala Estate, Ratmalana, Sri Lanka.",https://spmc.gov.lk/services,
named_responsibility,pass,Published named responsibility: director,https://spmc.gov.lk/services,
legal_basis,pass,Published legal basis: regulations,https://spmc.gov.lk/services,
published_update_date,pass,Published published update date: 2026-08-15,https://spmc.gov.lk/services,
phone,pass,Published phone: +94) 011 263535,https://spmc.gov.lk/contact,
phone,pass,Published phone: (+94) 011 2635353,https://spmc.gov.lk/contact,
phone,pass,Published phone: (+94) 011 2636966,https://spmc.gov.lk/contact,
