check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:55:25.579615+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:55:25.579647+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:55:26.181500+05:30
http,pass,Probe 1: HTTP 200 at https://nilet.gov.lk/index.php/en/,https://nilet.gov.lk/,2026-09-08T23:55:56.042412+05:30
http,pass,Probe 2: HTTP 200 at http://nilet.gov.lk/index.php/en/,http://nilet.gov.lk/,2026-09-08T23:55:56.042434+05:30
http,pass,Probe 3: HTTP 200 at https://nilet.gov.lk/index.php/en/,https://nilet.gov.lk/,2026-09-08T23:55:56.042438+05:30
http,pass,Probe 4: HTTP 200 at http://nilet.gov.lk/index.php/en/,http://nilet.gov.lk/,2026-09-08T23:55:56.042441+05:30
http,pass,Probe 5: HTTP 200 at https://nilet.gov.lk/index.php/en/services,https://nilet.gov.lk/index.php/en/services,2026-09-08T23:55:56.042444+05:30
http,pass,Probe 6: HTTP 200 at https://nilet.gov.lk/index.php/en/contact-us-2,https://nilet.gov.lk/index.php/en/contact-us-2,2026-09-08T23:55:56.042447+05:30
http,pass,Probe 7: HTTP 200 at https://nilet.gov.lk/index.php/si/,https://nilet.gov.lk/index.php/si/,2026-09-08T23:55:56.042450+05:30
http,pass,Probe 8: HTTP 200 at https://nilet.gov.lk/index.php/ta/,https://nilet.gov.lk/index.php/ta/,2026-09-08T23:55:56.042452+05:30
http,pass,Probe 9: HTTP 200 at https://nilet.gov.lk/index.php/en/,https://nilet.gov.lk/,2026-09-08T23:55:56.042455+05:30
http,pass,Probe 10: HTTP 200 at https://nilet.gov.lk/index.php/en/about-us/overview,https://nilet.gov.lk/index.php/en/about-us/overview,2026-09-08T23:55:56.042458+05:30
http,pass,Probe 11: HTTP 200 at https://nilet.gov.lk/index.php/en/about-us/board-of-management,https://nilet.gov.lk/index.php/en/about-us/board-of-management,2026-09-08T23:55:56.042461+05:30
http,pass,Probe 12: HTTP 200 at https://nilet.gov.lk/index.php/en/about-us/senior-management,https://nilet.gov.lk/index.php/en/about-us/senior-management,2026-09-08T23:55:56.042463+05:30
http,pass,Probe 13: HTTP 200 at https://nilet.gov.lk/index.php/en/about-us/academic-board,https://nilet.gov.lk/index.php/en/about-us/academic-board,2026-09-08T23:55:56.042466+05:30
http,pass,Probe 14: HTTP 200 at https://nilet.gov.lk/index.php/en/academic-programs,https://nilet.gov.lk/index.php/en/academic-programs,2026-09-08T23:55:56.042468+05:30
phone,pass,Published phone: 0113 309 291,https://nilet.gov.lk/index.php/en/,
phone,pass,Published phone: 0112 172 674,https://nilet.gov.lk/index.php/en/,
phone,pass,Published phone: +94 11 2172 800,https://nilet.gov.lk/index.php/en/,
email,pass,Published email: nilet.languages@gmail.com,https://nilet.gov.lk/index.php/en/,
named_responsibility,pass,Published named responsibility: department,https://nilet.gov.lk/index.php/en/,
fees_and_payment,pass,Published fees and payment: Rs2,https://nilet.gov.lk/index.php/en/,
published_update_date,pass,Published published update date: 2025-07-22,https://nilet.gov.lk/index.php/en/,
phone,pass,Published phone: 0113 309 291,http://nilet.gov.lk/index.php/en/,
phone,pass,Published phone: 0112 172 674,http://nilet.gov.lk/index.php/en/,
