check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:35:54.031837+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:35:54.031860+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:35:54.088550+05:30
http,pass,Probe 1: HTTP 200 at https://cea.lk/,https://cea.lk/,2026-09-08T23:36:08.874882+05:30
http,pass,Probe 2: HTTP 200 at http://cea.lk/,http://cea.lk/,2026-09-08T23:36:08.874907+05:30
http,pass,Probe 3: HTTP 200 at https://cea.lk/,https://cea.lk/,2026-09-08T23:36:08.874910+05:30
http,pass,Probe 4: HTTP 200 at http://cea.lk/,http://cea.lk/,2026-09-08T23:36:08.874914+05:30
http,pass,Probe 5: HTTP 200 at https://cea.lk/web/index.php/si,https://cea.lk/web/index.php/si,2026-09-08T23:36:08.874917+05:30
http,pass,Probe 6: HTTP 200 at https://cea.lk/web/index.php/ta,https://cea.lk/web/index.php/ta,2026-09-08T23:36:08.874920+05:30
http,pass,Probe 7: HTTP 200 at https://cea.lk/web/index.php/en,https://cea.lk/web/index.php/en,2026-09-08T23:36:08.874923+05:30
http,pass,Probe 8: HTTP 200 at http://cea.lk/web/index.php/si,http://cea.lk/web/index.php/si,2026-09-08T23:36:08.874926+05:30
http,pass,Probe 9: HTTP 200 at http://cea.lk/web/index.php/ta,http://cea.lk/web/index.php/ta,2026-09-08T23:36:08.874929+05:30
http,pass,Probe 10: HTTP 200 at http://cea.lk/web/index.php/en,http://cea.lk/web/index.php/en,2026-09-08T23:36:08.874932+05:30
http,pass,Probe 11: HTTP 200 at https://cea.lk/web/si/services,https://cea.lk/web/si/services,2026-09-08T23:36:08.874935+05:30
http,pass,Probe 12: HTTP 200 at https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/administration-unit,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/administration-unit,2026-09-08T23:36:08.874938+05:30
http,pass,Probe 13: HTTP 200 at https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/human-resources-unit,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/human-resources-unit,2026-09-08T23:36:08.874941+05:30
http,pass,Probe 14: HTTP 200 at https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/finance-unit,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/finance-unit,2026-09-08T23:36:08.874943+05:30
phone,pass,Published phone: 011-2872278,https://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2888999 ,https://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2873448 ,https://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2873447,https://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2872419,https://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2872278,https://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2888999 ,https://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2873448 ,https://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2873447,https://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2872419,https://cea.lk/web/index.php/ta,
named_responsibility,pass,Published named responsibility: division,https://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2872278,https://cea.lk/web/index.php/en,
phone,pass,Published phone: 011-2888999 ,https://cea.lk/web/index.php/en,
phone,pass,Published phone: 011-2873448 ,https://cea.lk/web/index.php/en,
phone,pass,Published phone: 011-2873447,https://cea.lk/web/index.php/en,
phone,pass,Published phone: 011-2872419,https://cea.lk/web/index.php/en,
named_responsibility,pass,Published named responsibility: director,https://cea.lk/web/index.php/en,
legal_basis,pass,Published legal basis: regulations,https://cea.lk/web/index.php/en,
downloadable_form,pass,Published downloadable form: https://cea.lk/web/images/pdf/2025/Wastemgmt/BASIC_INFORMATION_QUESTIONNAIRE__FOR_PLASTIC_RELATED_PROJECTS_FOR_SRI_LANKA.docx,https://cea.lk/web/index.php/en,
phone,pass,Published phone: 011-2872278,http://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2888999 ,http://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2873448 ,http://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2873447,http://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2872419,http://cea.lk/web/index.php/si,
phone,pass,Published phone: 011-2872278,http://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2888999 ,http://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2873448 ,http://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2873447,http://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2872419,http://cea.lk/web/index.php/ta,
named_responsibility,pass,Published named responsibility: division,http://cea.lk/web/index.php/ta,
phone,pass,Published phone: 011-2872278,http://cea.lk/web/index.php/en,
phone,pass,Published phone: 011-2888999 ,http://cea.lk/web/index.php/en,
phone,pass,Published phone: 011-2873448 ,http://cea.lk/web/index.php/en,
phone,pass,Published phone: 011-2873447,http://cea.lk/web/index.php/en,
phone,pass,Published phone: 011-2872419,http://cea.lk/web/index.php/en,
named_responsibility,pass,Published named responsibility: director,http://cea.lk/web/index.php/en,
legal_basis,pass,Published legal basis: regulations,http://cea.lk/web/index.php/en,
downloadable_form,pass,Published downloadable form: http://cea.lk/web/images/pdf/2025/Wastemgmt/BASIC_INFORMATION_QUESTIONNAIRE__FOR_PLASTIC_RELATED_PROJECTS_FOR_SRI_LANKA.docx,http://cea.lk/web/index.php/en,
phone,pass,Published phone: 0941128766,https://cea.lk/web/si/services,
phone,pass,Published phone: 011-2872278,https://cea.lk/web/si/services,
phone,pass,Published phone: 0117877282 ,https://cea.lk/web/si/services,
phone,pass,Published phone: 0112867263 ,https://cea.lk/web/si/services,
phone,pass,Published phone: 011-2888999 ,https://cea.lk/web/si/services,
phone,pass,Published phone: 011-2873448 ,https://cea.lk/web/si/services,
phone,pass,Published phone: 0117877281 ,https://cea.lk/web/si/services,
phone,pass,Published phone: 011-2873447,https://cea.lk/web/si/services,
phone,pass,Published phone: 011-2872419,https://cea.lk/web/si/services,
email,pass,"Published email: <script type='text/javascript'>
 <!--
 var prefix = 'ma' + 'il' + 'to';
 var path = 'hr' + 'ef' + '=';
 var addy62703 = 'wmpg' + '@';
 addy62703 = addy62703 + 'cea' + '.' + 'lk';
 document.write('<a ' + path + '\'' + prefix + ':' + addy62703 + '\'>');
 document.write(addy62703);
 document.write('<\/a>');
 //-->\n </script><script type='text/javascript'>
 <!--
 document.write('<span style=\'display: none;\'>');
 //-->
 </script>This email address is being protected from spambots. You need JavaScript enabled to view it.
 <script type='text/javascript'>
 <!--
 document.write('</');
 document.write('span>');
 //-->
 </script>",https://cea.lk/web/si/services,
postal_address,pass,Published postal address: is being protected from spambots. You need JavaScript enabled to view it. <!-- document.write('</'); document.write('spa,https://cea.lk/web/si/services,
phone,pass,Published phone: 011-2872278,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/administration-unit,
phone,pass,Published phone: 011-2888999 ,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/administration-unit,
phone,pass,Published phone: 011-2873448 ,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/administration-unit,
phone,pass,Published phone: 011-2873447,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/administration-unit,
phone,pass,Published phone: 011-2872419,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/administration-unit,
phone,pass,Published phone: 011-2872278,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/human-resources-unit,
phone,pass,Published phone: 011-2888999 ,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/human-resources-unit,
phone,pass,Published phone: 011-2873448 ,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/human-resources-unit,
phone,pass,Published phone: 011-2873447,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/human-resources-unit,
phone,pass,Published phone: 011-2872419,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/human-resources-unit,
phone,pass,Published phone: 011-2872278,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/finance-unit,
phone,pass,Published phone: 011-2888999 ,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/finance-unit,
phone,pass,Published phone: 011-2873448 ,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/finance-unit,
phone,pass,Published phone: 011-2873447,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/finance-unit,
phone,pass,Published phone: 011-2872419,https://cea.lk/web/si/2013-05-07-07-51-07/hrd-admin-finance-division/finance-unit,
page_text,pass,Substantive page content: 28145 visible characters across 14 pages,https://cea.lk/,
