check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:05:47.118775+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:05:47.118795+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:05:47.147286+05:30
http,pass,Probe 1: HTTP 200 at https://www.fisheries.gov.lk/,https://www.fisheries.gov.lk/,2026-09-09T00:06:12.374596+05:30
http,pass,Probe 2: HTTP 200 at https://www.fisheries.gov.lk/,http://www.fisheries.gov.lk/,2026-09-09T00:06:12.374620+05:30
http,pass,Probe 3: HTTP 200 at https://www.fisheries.gov.lk/,https://www.fisheries.gov.lk/,2026-09-09T00:06:12.374623+05:30
http,pass,Probe 4: HTTP 200 at https://www.fisheries.gov.lk/,http://www.fisheries.gov.lk/,2026-09-09T00:06:12.374626+05:30
http,pass,Probe 5: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8776&lang=si,https://www.fisheries.gov.lk/?page_id=8776&lang=si,2026-09-09T00:06:12.374629+05:30
http,pass,Probe 6: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8949&lang=ta,https://www.fisheries.gov.lk/?page_id=8949&lang=ta,2026-09-09T00:06:12.374631+05:30
http,pass,Probe 7: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8525,https://www.fisheries.gov.lk/?page_id=8525,2026-09-09T00:06:12.374634+05:30
http,pass,Probe 8: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8526,https://www.fisheries.gov.lk/?page_id=8526,2026-09-09T00:06:12.374637+05:30
http,pass,Probe 9: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8527,https://www.fisheries.gov.lk/?page_id=8527,2026-09-09T00:06:12.374639+05:30
http,pass,Probe 10: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8528,https://www.fisheries.gov.lk/?page_id=8528,2026-09-09T00:06:12.374642+05:30
http,pass,Probe 11: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8529,https://www.fisheries.gov.lk/?page_id=8529,2026-09-09T00:06:12.374645+05:30
http,pass,Probe 12: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8530,https://www.fisheries.gov.lk/?page_id=8530,2026-09-09T00:06:12.374647+05:30
http,pass,Probe 13: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8531,https://www.fisheries.gov.lk/?page_id=8531,2026-09-09T00:06:12.374650+05:30
http,pass,Probe 14: HTTP 200 at https://www.fisheries.gov.lk/?page_id=8532,https://www.fisheries.gov.lk/?page_id=8532,2026-09-09T00:06:12.374653+05:30
phone,pass,Published phone: 01 5 9.5 5 14 7.0,https://www.fisheries.gov.lk/,
phone,pass,Published phone: 0 3.09-.59 4.23-1.,https://www.fisheries.gov.lk/,
phone,pass,Published phone: +94 112 446 183 ,https://www.fisheries.gov.lk/,
phone,pass,Published phone: +94 112 446 184 ,https://www.fisheries.gov.lk/,
phone,pass,Published phone: 01 14 5 11.99 5 ,https://www.fisheries.gov.lk/,
email,pass,Published email: info@fisheries.gov.lk,https://www.fisheries.gov.lk/,
postal_address,pass,"Published postal address: Development Board Ministry of Fisheries, New Secretariat, Maligawatta, Colombo 10, Sri Lanka",https://www.fisheries.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.fisheries.gov.lk/,
phone,pass,Published phone: 01 5 9.5 5 14 7.0,https://www.fisheries.gov.lk/,
phone,pass,Published phone: 0 3.09-.59 4.23-1.,https://www.fisheries.gov.lk/,
phone,pass,Published phone: +94 112 446 183 ,https://www.fisheries.gov.lk/,
phone,pass,Published phone: +94 112 446 184 ,https://www.fisheries.gov.lk/,
phone,pass,Published phone: 01 14 5 11.99 5 ,https://www.fisheries.gov.lk/,
email,pass,Published email: info@fisheries.gov.lk,https://www.fisheries.gov.lk/,
postal_address,pass,"Published postal address: Development Board Ministry of Fisheries, New Secretariat, Maligawatta, Colombo 10, Sri Lanka",https://www.fisheries.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.fisheries.gov.lk/,
phone,pass,Published phone: 01 5 9.5 5 14 7.0,https://www.fisheries.gov.lk/,
