check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:53:22.969574+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:53:22.969592+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:53:23.610587+05:30
http,pass,Probe 1: HTTP 200 at https://slndc.gov.lk/,https://slndc.gov.lk/,2026-09-08T23:53:49.618244+05:30
http,pass,Probe 2: HTTP 200 at http://slndc.gov.lk/,http://slndc.gov.lk/,2026-09-08T23:53:49.618270+05:30
http,pass,Probe 3: HTTP 200 at https://slndc.gov.lk/,https://slndc.gov.lk/,2026-09-08T23:53:49.618274+05:30
http,pass,Probe 4: HTTP 200 at http://slndc.gov.lk/,http://slndc.gov.lk/,2026-09-08T23:53:49.618277+05:30
legal_basis,pass,Published legal basis: circular,https://slndc.gov.lk/,
legal_basis,pass,Published legal basis: circular,http://slndc.gov.lk/,
legal_basis,pass,Published legal basis: circular,https://slndc.gov.lk/,
legal_basis,pass,Published legal basis: circular,http://slndc.gov.lk/,
page_text,pass,Substantive page content: 422360 visible characters across 4 pages,https://slndc.gov.lk/,
