check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:06:39.869706+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:06:39.869725+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:06:40.579627+05:30
http,pass,Probe 1: HTTP 200 at https://www.transport.gov.lk/,https://www.transport.gov.lk/,2026-09-09T00:07:00.472238+05:30
http,pass,Probe 2: HTTP 200 at http://www.transport.gov.lk/,http://www.transport.gov.lk/,2026-09-09T00:07:00.472262+05:30
http,pass,Probe 3: HTTP 200 at https://www.transport.gov.lk/,https://www.transport.gov.lk/,2026-09-09T00:07:00.472266+05:30
http,pass,Probe 4: HTTP 200 at http://www.transport.gov.lk/,http://www.transport.gov.lk/,2026-09-09T00:07:00.472269+05:30
http,pass,Probe 5: HTTP 200 at https://www.transport.gov.lk/web/index.php?lang=si,https://www.transport.gov.lk/web/index.php?lang=si,2026-09-09T00:07:00.472272+05:30
http,pass,Probe 6: HTTP 200 at https://www.transport.gov.lk/web/index.php?lang=ta,https://www.transport.gov.lk/web/index.php?lang=ta,2026-09-09T00:07:00.472275+05:30
http,pass,Probe 7: HTTP 200 at https://www.transport.gov.lk/web/index.php?lang=en,https://www.transport.gov.lk/web/index.php?lang=en,2026-09-09T00:07:00.472278+05:30
http,pass,Probe 8: HTTP 200 at http://www.transport.gov.lk/web/index.php?lang=si,http://www.transport.gov.lk/web/index.php?lang=si,2026-09-09T00:07:00.472282+05:30
http,pass,Probe 9: HTTP 200 at http://www.transport.gov.lk/web/index.php?lang=ta,http://www.transport.gov.lk/web/index.php?lang=ta,2026-09-09T00:07:00.472285+05:30
http,pass,Probe 10: HTTP 200 at http://www.transport.gov.lk/web/index.php?lang=en,http://www.transport.gov.lk/web/index.php?lang=en,2026-09-09T00:07:00.472288+05:30
http,pass,Probe 11: HTTP 200 at https://www.transport.gov.lk/web/index.php?lang=en,https://www.transport.gov.lk/web/index.php,2026-09-09T00:07:00.472291+05:30
http,pass,Probe 12: HTTP 200 at https://www.transport.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,https://www.transport.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,2026-09-09T00:07:00.472294+05:30
http,pass,Probe 13: HTTP 200 at https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=7&Itemid=119&lang=si,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=7&Itemid=119&lang=si,2026-09-09T00:07:00.472296+05:30
http,pass,Probe 14: HTTP 200 at https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=8&Itemid=121&lang=si,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=8&Itemid=121&lang=si,2026-09-09T00:07:00.472299+05:30
phone,pass,Published phone: +94 112 187 201 ,https://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 187 200 ,https://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 0112 187 201 ,https://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 865 093 ,https://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 187 226 ,https://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 0112 187 200 ,https://www.transport.gov.lk/web/index.php?lang=si,
email,pass,Published email: info@transport.gov.lk,https://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 187 201 ,https://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 187 200 ,https://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 0112 187 201 ,https://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 865 093 ,https://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 187 226 ,https://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 0112 187 200 ,https://www.transport.gov.lk/web/index.php?lang=ta,
email,pass,Published email: info@transport.gov.lk,https://www.transport.gov.lk/web/index.php?lang=ta,
legal_basis,pass,Published legal basis: regulations,https://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 187 201 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 187 200 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0112 187 201 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 865 093 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 187 226 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0112 187 200 ,https://www.transport.gov.lk/web/index.php?lang=en,
email,pass,Published email: info@transport.gov.lk,https://www.transport.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: division,https://www.transport.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,https://www.transport.gov.lk/web/index.php?lang=en,
published_update_date,pass,Published published update date: 26 January 2026,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 187 201 ,http://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 187 200 ,http://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 0112 187 201 ,http://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 865 093 ,http://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 187 226 ,http://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: 0112 187 200 ,http://www.transport.gov.lk/web/index.php?lang=si,
email,pass,Published email: info@transport.gov.lk,http://www.transport.gov.lk/web/index.php?lang=si,
phone,pass,Published phone: +94 112 187 201 ,http://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 187 200 ,http://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 0112 187 201 ,http://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 865 093 ,http://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 187 226 ,http://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: 0112 187 200 ,http://www.transport.gov.lk/web/index.php?lang=ta,
email,pass,Published email: info@transport.gov.lk,http://www.transport.gov.lk/web/index.php?lang=ta,
legal_basis,pass,Published legal basis: regulations,http://www.transport.gov.lk/web/index.php?lang=ta,
phone,pass,Published phone: +94 112 187 201 ,http://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 187 200 ,http://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0112 187 201 ,http://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 865 093 ,http://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 187 226 ,http://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0112 187 200 ,http://www.transport.gov.lk/web/index.php?lang=en,
email,pass,Published email: info@transport.gov.lk,http://www.transport.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: division,http://www.transport.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,http://www.transport.gov.lk/web/index.php?lang=en,
published_update_date,pass,Published published update date: 26 January 2026,http://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 187 201 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 187 200 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0112 187 201 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 865 093 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 187 226 ,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0112 187 200 ,https://www.transport.gov.lk/web/index.php?lang=en,
email,pass,Published email: info@transport.gov.lk,https://www.transport.gov.lk/web/index.php?lang=en,
named_responsibility,pass,Published named responsibility: division,https://www.transport.gov.lk/web/index.php?lang=en,
legal_basis,pass,Published legal basis: regulations,https://www.transport.gov.lk/web/index.php?lang=en,
published_update_date,pass,Published published update date: 26 January 2026,https://www.transport.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 112 187 201 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: +94 112 187 200 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: 0112 187 201 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: +94 112 865 093 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: +94 112 187 226 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: 0112 187 200 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
email,pass,Published email: info@transport.gov.lk,https://www.transport.gov.lk/web/index.php?option=com_content&view=featured&Itemid=101&lang=si,
phone,pass,Published phone: +94 112 187 201 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=7&Itemid=119&lang=si,
phone,pass,Published phone: +94 112 187 200 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=7&Itemid=119&lang=si,
phone,pass,Published phone: 0112 187 201 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=7&Itemid=119&lang=si,
phone,pass,Published phone: +94 112 865 093 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=7&Itemid=119&lang=si,
phone,pass,Published phone: +94 112 187 226 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=7&Itemid=119&lang=si,
phone,pass,Published phone: 0112 187 200 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=7&Itemid=119&lang=si,
email,pass,Published email: info@transport.gov.lk,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=7&Itemid=119&lang=si,
phone,pass,Published phone: +94 112 187 201 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=8&Itemid=121&lang=si,
phone,pass,Published phone: +94 112 187 200 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=8&Itemid=121&lang=si,
phone,pass,Published phone: 0773525177 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=8&Itemid=121&lang=si,
phone,pass,Published phone: 0779571520 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=8&Itemid=121&lang=si,
phone,pass,Published phone: 0112 187 201 ,https://www.transport.gov.lk/web/index.php?option=com_content&view=article&id=8&Itemid=121&lang=si,
