check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:53:19.012661+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:53:19.012679+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:53:19.096947+05:30
http,pass,Probe 1: HTTP 200 at https://www.lankasugar.lk/,https://www.lankasugar.lk/,2026-09-08T23:54:06.649633+05:30
http,pass,Probe 2: HTTP 200 at https://www.lankasugar.lk/,http://www.lankasugar.lk/,2026-09-08T23:54:06.649658+05:30
http,pass,Probe 3: HTTP 200 at https://www.lankasugar.lk/,https://www.lankasugar.lk/,2026-09-08T23:54:06.649661+05:30
http,pass,Probe 4: HTTP 200 at https://www.lankasugar.lk/,http://www.lankasugar.lk/,2026-09-08T23:54:06.649664+05:30
http,pass,Probe 5: HTTP 200 at https://www.lankasugar.lk/services/,https://www.lankasugar.lk/services/,2026-09-08T23:54:06.649667+05:30
http,pass,Probe 6: HTTP 200 at https://www.lankasugar.lk/contact-us/,https://www.lankasugar.lk/contact-us/,2026-09-08T23:54:06.649669+05:30
http,pass,Probe 7: HTTP 200 at https://www.lankasugar.lk/head-office/,https://www.lankasugar.lk/head-office/,2026-09-08T23:54:06.649672+05:30
http,pass,Probe 8: HTTP 200 at https://www.lankasugar.lk/home/who-we-are/,https://www.lankasugar.lk/home/who-we-are/,2026-09-08T23:54:06.649674+05:30
http,pass,Probe 9: HTTP 200 at https://www.lankasugar.lk/sugar-flow/,https://www.lankasugar.lk/sugar-flow/,2026-09-08T23:54:06.649677+05:30
http,pass,Probe 10: HTTP 200 at https://www.lankasugar.lk/about/,https://www.lankasugar.lk/about/,2026-09-08T23:54:06.649680+05:30
http,pass,Probe 11: HTTP 200 at https://www.lankasugar.lk/procument-notice/,https://www.lankasugar.lk/procument-notice/,2026-09-08T23:54:06.649682+05:30
http,pass,Probe 12: HTTP 200 at https://www.lankasugar.lk/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-12-at-6.11.54-AM-1.jpeg,https://www.lankasugar.lk/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-12-at-6.11.54-AM-1.jpeg,2026-09-08T23:54:06.649685+05:30
http,pass,Probe 13: HTTP 200 at https://www.lankasugar.lk/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-12-at-6.11.54-AM.jpeg,https://www.lankasugar.lk/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-12-at-6.11.54-AM.jpeg,2026-09-08T23:54:06.649687+05:30
http,pass,Probe 14: HTTP 200 at https://www.lankasugar.lk/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-12-at-6.10.36-AM-1.jpeg,https://www.lankasugar.lk/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-12-at-6.10.36-AM-1.jpeg,2026-09-08T23:54:06.649690+05:30
phone,pass,Published phone: 1112233445566,https://www.lankasugar.lk/,
phone,pass,Published phone: +94 76 821 3562 ,https://www.lankasugar.lk/,
phone,pass,Published phone: 092919534-7,https://www.lankasugar.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.lankasugar.lk/,
phone,pass,Published phone: 1112233445566,https://www.lankasugar.lk/,
phone,pass,Published phone: +94 76 821 3562 ,https://www.lankasugar.lk/,
phone,pass,Published phone: 092919534-7,https://www.lankasugar.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.lankasugar.lk/,
phone,pass,Published phone: 1112233445566,https://www.lankasugar.lk/,
phone,pass,Published phone: +94 76 821 3562 ,https://www.lankasugar.lk/,
phone,pass,Published phone: 092919534-7,https://www.lankasugar.lk/,
named_responsibility,pass,Published named responsibility: division,https://www.lankasugar.lk/,
phone,pass,Published phone: 1112233445566,https://www.lankasugar.lk/,
