check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:54:01.004685+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:54:01.004703+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:54:01.816980+05:30
http,pass,Probe 1: HTTP 200 at https://npc.lk/,https://npc.lk/,2026-09-08T23:54:35.269944+05:30
http,pass,Probe 2: HTTP 200 at https://npc.lk/,http://npc.lk/,2026-09-08T23:54:35.269965+05:30
http,pass,Probe 3: HTTP 200 at https://npc.lk/,https://npc.lk/,2026-09-08T23:54:35.269969+05:30
http,pass,Probe 4: HTTP 200 at https://npc.lk/,http://npc.lk/,2026-09-08T23:54:35.269972+05:30
http,pass,Probe 5: HTTP 200 at https://npc.lk/contact_us.php,https://npc.lk/contact_us.php,2026-09-08T23:54:35.269975+05:30
http,pass,Probe 6: HTTP 200 at https://npc.lk/index.php,https://npc.lk/index.php,2026-09-08T23:54:35.269978+05:30
http,pass,Probe 7: HTTP 200 at https://npc.lk/about_us.php,https://npc.lk/about_us.php,2026-09-08T23:54:35.269981+05:30
http,pass,Probe 8: HTTP 200 at https://npc.lk/product.php,https://npc.lk/product.php,2026-09-08T23:54:35.269984+05:30
http,pass,Probe 9: HTTP 200 at https://npc.lk/gallery.php,https://npc.lk/gallery.php,2026-09-08T23:54:35.269986+05:30
http,pass,Probe 10: HTTP 200 at https://npc.lk/new_artical.php,https://npc.lk/new_artical.php,2026-09-08T23:54:35.269989+05:30
http,pass,Probe 11: HTTP 200 at https://npc.lk/tender_notice.php,https://npc.lk/tender_notice.php,2026-09-08T23:54:35.269992+05:30
http,pass,Probe 12: HTTP 200 at https://npc.lk/clean_srilanka.php,https://npc.lk/clean_srilanka.php,2026-09-08T23:54:35.269995+05:30
http,pass,Probe 13: HTTP 200 at https://npc.lk/latest_news.php,https://npc.lk/latest_news.php,2026-09-08T23:54:35.269998+05:30
http,pass,Probe 14: HTTP 200 at https://npc.lk/images/gallery/big-1.jpg,https://npc.lk/images/gallery/big-1.jpg,2026-09-08T23:54:35.270000+05:30
phone,pass,Published phone: +94 112 556 465 ,https://npc.lk/,
phone,pass,Published phone: +94 112 556 461 (,https://npc.lk/,
phone,pass,Published phone: +94 112 556 461 ,https://npc.lk/,
email,pass,Published email: sales@npc.lk,https://npc.lk/,
postal_address,pass,"Published postal address: 61,Stratford Avenue Colombo 05, Sri Lanka",https://npc.lk/,
phone,pass,Published phone: +94 112 556 465 ,https://npc.lk/,
phone,pass,Published phone: +94 112 556 461 (,https://npc.lk/,
phone,pass,Published phone: +94 112 556 461 ,https://npc.lk/,
email,pass,Published email: sales@npc.lk,https://npc.lk/,
postal_address,pass,"Published postal address: 61,Stratford Avenue Colombo 05, Sri Lanka",https://npc.lk/,
phone,pass,Published phone: +94 112 556 465 ,https://npc.lk/,
phone,pass,Published phone: +94 112 556 461 (,https://npc.lk/,
phone,pass,Published phone: +94 112 556 461 ,https://npc.lk/,
email,pass,Published email: sales@npc.lk,https://npc.lk/,
postal_address,pass,"Published postal address: 61,Stratford Avenue Colombo 05, Sri Lanka",https://npc.lk/,
phone,pass,Published phone: +94 112 556 465 ,https://npc.lk/,
phone,pass,Published phone: +94 112 556 461 (,https://npc.lk/,
phone,pass,Published phone: +94 112 556 461 ,https://npc.lk/,
email,pass,Published email: sales@npc.lk,https://npc.lk/,
