check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:40:34.756011+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:40:34.756037+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:40:34.838989+05:30
http,pass,Probe 1: HTTP 200 at https://www.sec.gov.lk/,https://www.sec.gov.lk/,2026-09-08T23:40:56.271478+05:30
http,pass,Probe 2: HTTP 200 at https://www.sec.gov.lk/,http://www.sec.gov.lk/,2026-09-08T23:40:56.271502+05:30
http,pass,Probe 3: HTTP 200 at https://www.sec.gov.lk/,https://www.sec.gov.lk/,2026-09-08T23:40:56.271505+05:30
http,pass,Probe 4: HTTP 200 at https://www.sec.gov.lk/,http://www.sec.gov.lk/,2026-09-08T23:40:56.271508+05:30
http,pass,Probe 5: HTTP 200 at https://www.sec.gov.lk/wp-content/uploads/2024/01/Guidelines-applicable-for-Shariah-Scholars-who-provide-services-to-a-Market-Institution-Market-Intermediary-Listed-Public-Company-or-a-Collective-Investment-Scheme.pdf,http://www.sec.gov.lk/wp-content/uploads/2024/01/Guidelines-applicable-for-Shariah-Scholars-who-provide-services-to-a-Market-Institution-Market-Intermediary-Listed-Public-Company-or-a-Collective-Investment-Scheme.pdf,2026-09-08T23:40:56.271511+05:30
http,pass,Probe 6: HTTP 200 at https://www.sec.gov.lk/wp-content/uploads/2026/07/Drvier-cum-Office-Assistant-final-01.pdf,http://www.sec.gov.lk/wp-content/uploads/2026/07/Drvier-cum-Office-Assistant-final-01.pdf,2026-09-08T23:40:56.271514+05:30
http,pass,Probe 7: HTTP 200 at https://www.sec.gov.lk/division-of-sec/,https://www.sec.gov.lk/division-of-sec/,2026-09-08T23:40:56.271516+05:30
http,pass,Probe 8: HTTP 200 at https://www.sec.gov.lk/search/,https://www.sec.gov.lk/index.php/search,2026-09-08T23:40:56.271518+05:30
