check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:07:32.181075+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:07:32.181093+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:07:32.275218+05:30
http,pass,Probe 1: HTTP 200 at https://rebuildingsrilanka.gov.lk/,https://rebuildingsrilanka.gov.lk/,2026-09-09T00:07:45.409009+05:30
http,pass,Probe 2: HTTP 200 at https://rebuildingsrilanka.gov.lk/,http://rebuildingsrilanka.gov.lk/,2026-09-09T00:07:45.409030+05:30
http,pass,Probe 3: HTTP 200 at https://rebuildingsrilanka.gov.lk/,https://rebuildingsrilanka.gov.lk/,2026-09-09T00:07:45.409033+05:30
http,pass,Probe 4: HTTP 200 at https://rebuildingsrilanka.gov.lk/,http://rebuildingsrilanka.gov.lk/,2026-09-09T00:07:45.409037+05:30
http,pass,Probe 5: HTTP 200 at https://rebuildingsrilanka.gov.lk/contact.php,https://rebuildingsrilanka.gov.lk/contact.php,2026-09-09T00:07:45.409040+05:30
http,pass,Probe 6: HTTP 200 at https://rebuildingsrilanka.gov.lk/presidential-task-force.php,https://rebuildingsrilanka.gov.lk/presidential-task-force.php,2026-09-09T00:07:45.409048+05:30
http,pass,Probe 7: HTTP 200 at https://rebuildingsrilanka.gov.lk/governing-committee.php,https://rebuildingsrilanka.gov.lk/governing-committee.php,2026-09-09T00:07:45.409051+05:30
http,pass,Probe 8: HTTP 200 at https://rebuildingsrilanka.gov.lk/sathkara,https://rebuildingsrilanka.gov.lk/sathkara,2026-09-09T00:07:45.409054+05:30
http,pass,Probe 9: HTTP 200 at https://rebuildingsrilanka.gov.lk/damageAssesment.php,https://rebuildingsrilanka.gov.lk/damageAssesment.php,2026-09-09T00:07:45.409056+05:30
http,pass,Probe 10: HTTP 200 at https://rebuildingsrilanka.gov.lk/land-donations-to-rebuilding-sri-lanka.php,https://rebuildingsrilanka.gov.lk/land-donations-to-rebuilding-sri-lanka.php,2026-09-09T00:07:45.409059+05:30
http,pass,Probe 11: HTTP 200 at https://rebuildingsrilanka.gov.lk/rebuilding-sri-lanka-national-initiative-launched-under-the-patronage-of-the-president.php,https://rebuildingsrilanka.gov.lk/rebuilding-sri-lanka-national-initiative-launched-under-the-patronage-of-the-president.php,2026-09-09T00:07:45.409062+05:30
http,pass,Probe 12: HTTP 200 at https://rebuildingsrilanka.gov.lk/article.php,https://rebuildingsrilanka.gov.lk/article.php,2026-09-09T00:07:45.409065+05:30
named_responsibility,pass,Published named responsibility: division,https://rebuildingsrilanka.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://rebuildingsrilanka.gov.lk/,
published_update_date,pass,Published published update date: 09/04/2026,https://rebuildingsrilanka.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://rebuildingsrilanka.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://rebuildingsrilanka.gov.lk/,
published_update_date,pass,Published published update date: 09/04/2026,https://rebuildingsrilanka.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://rebuildingsrilanka.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://rebuildingsrilanka.gov.lk/,
published_update_date,pass,Published published update date: 09/04/2026,https://rebuildingsrilanka.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://rebuildingsrilanka.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://rebuildingsrilanka.gov.lk/,
published_update_date,pass,Published published update date: 09/04/2026,https://rebuildingsrilanka.gov.lk/,
phone,pass,Published phone: +94707441441,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: +94710559559,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: +94707441441 ,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: +94710559659,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: 1800,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: +94710559659 ,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: +94704337337,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: +94112001800,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: +94 112 001 800 ,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: +94704337337 ,https://rebuildingsrilanka.gov.lk/contact.php,
phone,pass,Published phone: +94710559559 ,https://rebuildingsrilanka.gov.lk/contact.php,
named_responsibility,pass,Published named responsibility: director,https://rebuildingsrilanka.gov.lk/contact.php,
named_responsibility,pass,Published named responsibility: director,https://rebuildingsrilanka.gov.lk/presidential-task-force.php,
named_responsibility,pass,Published named responsibility: director,https://rebuildingsrilanka.gov.lk/governing-committee.php,
postal_address,pass,"Published postal address: post-disaster rehabilitation and reconstruction efforts following the devastation caused by Cyclone Ditwah, which affect",https://rebuildingsrilanka.gov.lk/rebuilding-sri-lanka-national-initiative-launched-under-the-patronage-of-the-president.php,
fees_and_payment,pass,"Published fees and payment: රු,",https://rebuildingsrilanka.gov.lk/rebuilding-sri-lanka-national-initiative-launched-under-the-patronage-of-the-president.php,
named_responsibility,pass,Published named responsibility: division,https://rebuildingsrilanka.gov.lk/article.php,
page_text,pass,Substantive page content: 27703 visible characters across 12 pages,https://rebuildingsrilanka.gov.lk/,
