check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:53:15.429604+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:53:15.429623+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:53:16.259028+05:30
http,pass,Probe 1: HTTP 200 at https://lpl.lk/?lang=en,https://lpl.lk/,2026-09-08T23:54:56.259352+05:30
http,pass,Probe 2: HTTP 200 at https://lpl.lk/?lang=en,http://lpl.lk/,2026-09-08T23:54:56.259379+05:30
http,pass,Probe 3: HTTP 200 at https://lpl.lk/?lang=en,https://lpl.lk/,2026-09-08T23:54:56.259382+05:30
http,pass,Probe 4: HTTP 200 at https://lpl.lk/?lang=en,http://lpl.lk/,2026-09-08T23:54:56.259385+05:30
http,pass,Probe 5: HTTP 200 at https://lpl.lk/?option=com_content&view=featured&Itemid=101&lang=en,https://lpl.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,2026-09-08T23:54:56.259388+05:30
http,pass,Probe 6: HTTP 200 at https://lpl.lk/?option=com_content&view=article&id=22&Itemid=146&lang=en,https://lpl.lk/index.php?option=com_content&view=article&id=22&Itemid=146&lang=en,2026-09-08T23:54:56.259390+05:30
http,pass,Probe 7: HTTP 200 at https://lpl.lk/?option=com_content&view=article&id=9&Itemid=133&lang=en,https://lpl.lk/index.php?option=com_content&view=article&id=9&Itemid=133&lang=en,2026-09-08T23:54:56.259393+05:30
http,pass,Probe 8: HTTP 200 at https://lpl.lk/?option=com_content&view=article&id=10&Itemid=134&lang=en,https://lpl.lk/index.php?option=com_content&view=article&id=10&Itemid=134&lang=en,2026-09-08T23:54:56.259395+05:30
http,pass,Probe 9: HTTP 200 at https://lpl.lk/?option=com_content&view=article&id=11&Itemid=131&lang=en,https://lpl.lk/index.php?option=com_content&view=article&id=11&Itemid=131&lang=en,2026-09-08T23:54:56.259398+05:30
http,pass,Probe 10: HTTP 200 at https://lpl.lk/?option=com_content&view=article&id=41&Itemid=224&lang=en,https://lpl.lk/index.php?option=com_content&view=article&id=41&Itemid=224&lang=en,2026-09-08T23:54:56.259401+05:30
http,pass,Probe 11: HTTP 200 at https://lpl.lk/?option=com_content&view=article&id=38&Itemid=220&lang=en,https://lpl.lk/index.php?option=com_content&view=article&id=38&Itemid=220&lang=en,2026-09-08T23:54:56.259404+05:30
http,pass,Probe 12: HTTP 200 at https://lpl.lk/?option=com_content&view=article&id=15&Itemid=138&lang=en,https://lpl.lk/index.php?option=com_content&view=article&id=15&Itemid=138&lang=en,2026-09-08T23:54:56.259406+05:30
http,pass,Probe 13: HTTP 200 at https://lpl.lk/?option=com_content&view=article&id=16&Itemid=139&lang=en,https://lpl.lk/index.php?option=com_content&view=article&id=16&Itemid=139&lang=en,2026-09-08T23:54:56.259409+05:30
http,pass,Probe 14: HTTP 200 at https://lpl.lk/?option=com_content&view=category&layout=blog&id=8&Itemid=125&lang=en,https://lpl.lk/index.php?option=com_content&view=category&layout=blog&id=8&Itemid=125&lang=en,2026-09-08T23:54:56.259411+05:30
phone,pass,Published phone: +94 252 249 400 ,https://lpl.lk/?lang=en,
phone,pass,Published phone: +94 252 249 121 ,https://lpl.lk/?lang=en,
postal_address,pass,Published postal address: Contact E-mail Latest News Hiring of Heavy Machinery 27 July 2026 Procurement for Hiring of an Excavator with Bucket... ,https://lpl.lk/?lang=en,
named_responsibility,pass,Published named responsibility: director,https://lpl.lk/?lang=en,
published_update_date,pass,Published published update date: 27 July 2026,https://lpl.lk/?lang=en,
phone,pass,Published phone: +94 252 249 400 ,https://lpl.lk/?lang=en,
phone,pass,Published phone: +94 252 249 121 ,https://lpl.lk/?lang=en,
postal_address,pass,Published postal address: Contact E-mail Latest News Hiring of Heavy Machinery 27 July 2026 Procurement for Hiring of an Excavator with Bucket... ,https://lpl.lk/?lang=en,
named_responsibility,pass,Published named responsibility: director,https://lpl.lk/?lang=en,
published_update_date,pass,Published published update date: 27 July 2026,https://lpl.lk/?lang=en,
