check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:48:53.354356+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:48:53.354362+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:48:53.437702+05:30
http,pass,Probe 1: HTTP 200 at https://nhkandy.org/,https://nhkandy.org/,2026-09-08T23:49:20.595464+05:30
http,pass,Probe 2: HTTP 200 at https://nhkandy.org/,http://nhkandy.org/,2026-09-08T23:49:20.595486+05:30
http,pass,Probe 3: HTTP 200 at https://nhkandy.org/,https://nhkandy.org/,2026-09-08T23:49:20.595490+05:30
http,pass,Probe 4: HTTP 200 at https://nhkandy.org/,http://nhkandy.org/,2026-09-08T23:49:20.595493+05:30
http,pass,Probe 5: HTTP 200 at https://nhkandy.org/contact,https://nhkandy.org/contact,2026-09-08T23:49:20.595495+05:30
http,pass,Probe 6: HTTP 200 at https://nhkandy.org/department/general_medical,https://nhkandy.org/department/general_medical,2026-09-08T23:49:20.595498+05:30
http,pass,Probe 7: HTTP 200 at https://nhkandy.org/department/general_surgery,https://nhkandy.org/department/general_surgery,2026-09-08T23:49:20.595501+05:30
http,pass,Probe 8: HTTP 200 at https://nhkandy.org/about,https://nhkandy.org/about,2026-09-08T23:49:20.595504+05:30
http,pass,Probe 9: HTTP 200 at https://nhkandy.org/careers,https://nhkandy.org/careers,2026-09-08T23:49:20.595507+05:30
http,pass,Probe 10: HTTP 200 at https://nhkandy.org/news,https://nhkandy.org/news,2026-09-08T23:49:20.595510+05:30
http,pass,Probe 11: HTTP 200 at https://nhkandy.org/gallery,https://nhkandy.org/gallery,2026-09-08T23:49:20.595513+05:30
http,pass,Probe 12: HTTP 200 at https://nhkandy.org/organization,https://nhkandy.org/organization,2026-09-08T23:49:20.595516+05:30
http,pass,Probe 13: HTTP 200 at https://nhkandy.org/directors,https://nhkandy.org/directors,2026-09-08T23:49:20.595518+05:30
http,pass,Probe 14: HTTP 200 at https://nhkandy.org/consultants,https://nhkandy.org/consultants,2026-09-08T23:49:20.595521+05:30
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/,
phone,pass,Published phone: +94812222261,https://nhkandy.org/,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/,
phone,pass,Published phone: +94812222261,https://nhkandy.org/,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/,
phone,pass,Published phone: +94812222261,https://nhkandy.org/,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/,
phone,pass,Published phone: +94812222261,https://nhkandy.org/,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/contact,
phone,pass,Published phone: +94812222261,https://nhkandy.org/contact,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/contact,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/contact,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/contact,
postal_address,pass,Published postal address: with your appointment staff ahead of time to avoid frustration. For more help with specific addresses see below. The Nat,https://nhkandy.org/contact,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/contact,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/department/general_medical,
phone,pass,Published phone: +94812222261,https://nhkandy.org/department/general_medical,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/department/general_medical,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/department/general_medical,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/department/general_medical,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/department/general_medical,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/department/general_surgery,
phone,pass,Published phone: +94812222261,https://nhkandy.org/department/general_surgery,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/department/general_surgery,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/department/general_surgery,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/department/general_surgery,
postal_address,pass,Published postal address: the diverse needs of our patients. Four General Surgical Units: Operated by four consultant general surgeons. Comprehens,https://nhkandy.org/department/general_surgery,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/department/general_surgery,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/about,
phone,pass,Published phone: +94812222261,https://nhkandy.org/about,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/about,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/about,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/about,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/about,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/careers,
phone,pass,Published phone: +94812222261,https://nhkandy.org/careers,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/careers,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/careers,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/careers,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/careers,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/news,
phone,pass,Published phone: +94812222261,https://nhkandy.org/news,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/news,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/news,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/news,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/news,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/gallery,
phone,pass,Published phone: +94812222261,https://nhkandy.org/gallery,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/gallery,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/gallery,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/gallery,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/gallery,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/organization,
phone,pass,Published phone: +94812222261,https://nhkandy.org/organization,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/organization,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/organization,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/organization,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/organization,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/directors,
phone,pass,Published phone: +94812222261,https://nhkandy.org/directors,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/directors,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/directors,
phone,pass,Published phone: +94) 812 222261 ,https://nhkandy.org/directors,
named_responsibility,pass,Published named responsibility: director,https://nhkandy.org/directors,
phone,pass,Published phone: 0812 233343 ,https://nhkandy.org/consultants,
phone,pass,Published phone: +94812222261,https://nhkandy.org/consultants,
phone,pass,Published phone: +94) 812 233343 ,https://nhkandy.org/consultants,
phone,pass,Published phone: 0812 222261 ,https://nhkandy.org/consultants,
