check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:49:31.289137+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:49:31.289158+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:49:31.775690+05:30
http,pass,Probe 1: HTTP 200 at https://www.dgi.gov.lk/,https://www.dgi.gov.lk/,2026-09-08T23:50:07.287021+05:30
http,pass,Probe 2: HTTP 200 at https://www.dgi.gov.lk/,http://www.dgi.gov.lk/,2026-09-08T23:50:07.287043+05:30
http,pass,Probe 3: HTTP 200 at https://www.dgi.gov.lk/,https://www.dgi.gov.lk/,2026-09-08T23:50:07.287047+05:30
http,pass,Probe 4: HTTP 200 at https://www.dgi.gov.lk/,http://www.dgi.gov.lk/,2026-09-08T23:50:07.287050+05:30
http,pass,Probe 5: HTTP 200 at https://dgi.gov.lk/contact/media-accreditation-forms,https://dgi.gov.lk/contact/media-accreditation-forms,2026-09-08T23:50:07.287053+05:30
http,pass,Probe 6: HTTP 200 at https://www.dgi.gov.lk/divisions/gfu,https://www.dgi.gov.lk/divisions/gfu,2026-09-08T23:50:07.287056+05:30
http,pass,Probe 7: HTTP 200 at https://www.dgi.gov.lk/divisions/publicity-unit,https://www.dgi.gov.lk/divisions/publicity-unit,2026-09-08T23:50:07.287059+05:30
http,pass,Probe 8: HTTP 200 at https://www.dgi.gov.lk/divisions/media-accreditation-unit,https://www.dgi.gov.lk/divisions/media-accreditation-unit,2026-09-08T23:50:07.287062+05:30
http,pass,Probe 9: HTTP 200 at https://www.dgi.gov.lk/divisions/publication-bureau,https://www.dgi.gov.lk/divisions/publication-bureau,2026-09-08T23:50:07.287064+05:30
http,pass,Probe 10: HTTP 200 at https://www.dgi.gov.lk/divisions/accounts-branch,https://www.dgi.gov.lk/divisions/accounts-branch,2026-09-08T23:50:07.287067+05:30
http,pass,Probe 11: HTTP 200 at https://www.dgi.gov.lk/divisions/web-social-media-unit,https://www.dgi.gov.lk/divisions/web-social-media-unit,2026-09-08T23:50:07.287070+05:30
http,pass,Probe 12: HTTP 200 at https://www.dgi.gov.lk/divisions/desathiya-magazine,https://www.dgi.gov.lk/divisions/desathiya-magazine,2026-09-08T23:50:07.287072+05:30
http,pass,Probe 13: HTTP 200 at https://www.dgi.gov.lk/divisions/research-monitoring-unit,https://www.dgi.gov.lk/divisions/research-monitoring-unit,2026-09-08T23:50:07.287075+05:30
http,pass,Probe 14: HTTP 200 at https://www.dgi.gov.lk/divisions/district-media-units,https://www.dgi.gov.lk/divisions/district-media-units,2026-09-08T23:50:07.287077+05:30
phone,pass,Published phone: 0 0 66.666667,https://www.dgi.gov.lk/,
phone,pass,Published phone: +9411 251 5759 ,https://www.dgi.gov.lk/,
phone,pass,Published phone: 0 0 33.333333,https://www.dgi.gov.lk/,
phone,pass,Published phone: 019-9403-484,https://www.dgi.gov.lk/,
email,pass,Published email: info@dgi.gov.lk,https://www.dgi.gov.lk/,
named_responsibility,pass,Published named responsibility: director,https://www.dgi.gov.lk/,
