check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:31:55.251580+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:31:55.251603+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:31:55.378650+05:30
http,pass,Probe 1: HTTP 200 at https://pgiar.kln.ac.lk/,https://pgiar.kln.ac.lk/,2026-09-08T23:32:12.140722+05:30
http,pass,Probe 2: HTTP 200 at https://pgiar.kln.ac.lk/,http://pgiar.kln.ac.lk/,2026-09-08T23:32:12.140745+05:30
http,pass,Probe 3: HTTP 200 at https://pgiar.kln.ac.lk/,https://pgiar.kln.ac.lk/,2026-09-08T23:32:12.140749+05:30
http,pass,Probe 4: HTTP 200 at https://pgiar.kln.ac.lk/,http://pgiar.kln.ac.lk/,2026-09-08T23:32:12.140752+05:30
http,pass,Probe 5: HTTP 200 at https://pgiar.kln.ac.lk/about/officers,https://pgiar.kln.ac.lk/about/officers,2026-09-08T23:32:12.140755+05:30
http,pass,Probe 6: HTTP 200 at https://pgiar.kln.ac.lk/home,https://pgiar.kln.ac.lk/home,2026-09-08T23:32:12.140757+05:30
http,pass,Probe 7: HTTP 200 at https://pgiar.kln.ac.lk/about,https://pgiar.kln.ac.lk/about,2026-09-08T23:32:12.140760+05:30
http,pass,Probe 8: HTTP 200 at https://pgiar.kln.ac.lk/about/directors-massage,https://pgiar.kln.ac.lk/about/directors-massage,2026-09-08T23:32:12.140764+05:30
http,pass,Probe 9: HTTP 200 at https://pgiar.kln.ac.lk/about/the-journey-of-pgiar,https://pgiar.kln.ac.lk/about/the-journey-of-pgiar,2026-09-08T23:32:12.140767+05:30
http,pass,Probe 10: HTTP 200 at https://pgiar.kln.ac.lk/about/vision-mission,https://pgiar.kln.ac.lk/about/vision-mission,2026-09-08T23:32:12.140770+05:30
http,pass,Probe 11: HTTP 200 at https://pgiar.kln.ac.lk/about/board-of-management,https://pgiar.kln.ac.lk/about/board-of-management,2026-09-08T23:32:12.140773+05:30
http,pass,Probe 12: HTTP 200 at https://pgiar.kln.ac.lk/about/board-of-study,https://pgiar.kln.ac.lk/about/board-of-study,2026-09-08T23:32:12.140776+05:30
http,pass,Probe 13: HTTP 200 at https://pgiar.kln.ac.lk/about/academic-staff,https://pgiar.kln.ac.lk/about/academic-staff,2026-09-08T23:32:12.140778+05:30
http,pass,Probe 14: HTTP 200 at https://pgiar.kln.ac.lk/about/academic-support-staff,https://pgiar.kln.ac.lk/about/academic-support-staff,2026-09-08T23:32:12.140781+05:30
phone,pass,Published phone: 0909090909,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 011 266 7885 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.946372239,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.029999999,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0515769282,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 011 2 269 415,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.200000003),https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0112 699623 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0714285714,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 011-2699623 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: +94) 112 685 217 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.319999992,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0025284450,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.119999997,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.540000021,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0264900662,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0675241157,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0179028132,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: +94) 112 667 885 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0389610389,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0828025477,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.819999992,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0454545454,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.150000006),https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.100000001,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0332950631,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0563380281,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0227272727,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0744849445,https://pgiar.kln.ac.lk/,
email,pass,Published email: libpgiar@kln.ac.lk,https://pgiar.kln.ac.lk/,
postal_address,pass,Published postal address: . Dr. Thantilage emphasized the institute’s commitment to evolving with modern technological advancements while remainin,https://pgiar.kln.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://pgiar.kln.ac.lk/,
fees_and_payment,pass,Published fees and payment: free of charge,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0909090909,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 011 266 7885 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.946372239,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.029999999,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 011 2 269 415,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.200000003),https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0112 699623 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0714285714,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 011-2699623 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: +94) 112 685 217 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.319999992,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0025284450,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.119999997,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.540000021,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0264900662,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0675241157,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0179028132,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: +94) 112 667 885 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0389610389,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0828025477,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.819999992,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0454545454,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0517725811,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.150000006),https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.100000001,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0332950631,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0563380281,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0227272727,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0744849445,https://pgiar.kln.ac.lk/,
email,pass,Published email: libpgiar@kln.ac.lk,https://pgiar.kln.ac.lk/,
postal_address,pass,Published postal address: . Dr. Thantilage emphasized the institute’s commitment to evolving with modern technological advancements while remainin,https://pgiar.kln.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://pgiar.kln.ac.lk/,
fees_and_payment,pass,Published fees and payment: free of charge,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0909090909,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 011 266 7885 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.946372239,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.029999999,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 011 2 269 415,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.200000003),https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0112 699623 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0714285714,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 011-2699623 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: +94) 112 685 217 ,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.319999992,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0025284450,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.119999997,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0.540000021,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0264900662,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0675241157,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0518902206,https://pgiar.kln.ac.lk/,
phone,pass,Published phone: 0179028132,https://pgiar.kln.ac.lk/,
