check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:23:58.014573+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:23:58.014591+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:23:59.049963+05:30
http,pass,Probe 1: HTTP 200 at https://www.culturaldept.gov.lk/index.php?lang=en,https://www.culturaldept.gov.lk/,2026-09-08T23:24:39.379453+05:30
http,pass,Probe 2: HTTP 200 at https://www.culturaldept.gov.lk/index.php?lang=en,http://www.culturaldept.gov.lk/,2026-09-08T23:24:39.379477+05:30
http,pass,Probe 3: HTTP 200 at https://www.culturaldept.gov.lk/index.php?lang=en,https://www.culturaldept.gov.lk/,2026-09-08T23:24:39.379480+05:30
http,pass,Probe 4: HTTP 200 at https://www.culturaldept.gov.lk/index.php?lang=en,http://www.culturaldept.gov.lk/,2026-09-08T23:24:39.379483+05:30
http,pass,Probe 5: HTTP 200 at https://www.culturaldept.gov.lk/index.php?lang=en,https://www.culturaldept.gov.lk/index.php,2026-09-08T23:24:39.379486+05:30
http,pass,Probe 6: HTTP 200 at https://www.culturaldept.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=si,https://www.culturaldept.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=si,2026-09-08T23:24:39.379489+05:30
http,pass,Probe 7: HTTP 200 at https://www.culturaldept.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=ta,https://www.culturaldept.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=ta,2026-09-08T23:24:39.379491+05:30
http,pass,Probe 8: HTTP 200 at https://www.culturaldept.gov.lk/index.php?option=com_search&view=search&lang=en,https://www.culturaldept.gov.lk/index.php?option=com_search&view=search&lang=en,2026-09-08T23:24:39.379494+05:30
http,pass,Probe 9: HTTP 200 at https://www.culturaldept.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,https://www.culturaldept.gov.lk/index.php?option=com_content&view=featured&Itemid=101&lang=en,2026-09-08T23:24:39.379497+05:30
http,pass,Probe 10: HTTP 200 at https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=124&lang=en,https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=12&Itemid=124&lang=en,2026-09-08T23:24:39.379499+05:30
http,pass,Probe 11: HTTP 200 at https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=7&Itemid=119&lang=en,https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=7&Itemid=119&lang=en,2026-09-08T23:24:39.379502+05:30
http,pass,Probe 12: HTTP 200 at https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=15&Itemid=125&lang=en,https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=15&Itemid=125&lang=en,2026-09-08T23:24:39.379505+05:30
http,pass,Probe 13: HTTP 200 at https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=99&Itemid=217&lang=en,https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=99&Itemid=217&lang=en,2026-09-08T23:24:39.379507+05:30
http,pass,Probe 14: HTTP 200 at https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=6&Itemid=118&lang=en,https://www.culturaldept.gov.lk/index.php?option=com_content&view=article&id=6&Itemid=118&lang=en,2026-09-08T23:24:39.379510+05:30
phone,pass,Published phone: +94 112 866 732 ,https://www.culturaldept.gov.lk/index.php?lang=en,
phone,pass,Published phone: 04-09-2026 12,https://www.culturaldept.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 872 031 ,https://www.culturaldept.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 866 731 ,https://www.culturaldept.gov.lk/index.php?lang=en,
phone,pass,Published phone: +94 112 882 018 ,https://www.culturaldept.gov.lk/index.php?lang=en,
