check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:31:24.380369+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:31:24.380387+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:31:24.411961+05:30
http,pass,Probe 1: HTTP 200 at https://ncas.ac.lk/,https://www.ncas.ac.lk/,2026-09-08T23:31:58.797951+05:30
http,pass,Probe 2: HTTP 200 at https://ncas.ac.lk/,http://www.ncas.ac.lk/,2026-09-08T23:31:58.797973+05:30
http,pass,Probe 3: HTTP 200 at https://ncas.ac.lk/,https://www.ncas.ac.lk/,2026-09-08T23:31:58.797977+05:30
http,pass,Probe 4: HTTP 200 at https://ncas.ac.lk/,http://www.ncas.ac.lk/,2026-09-08T23:31:58.797980+05:30
http,pass,Probe 5: HTTP 200 at https://ncas.ac.lk/home-2/contact-us/,https://ncas.ac.lk/home-2/contact-us/,2026-09-08T23:31:58.797983+05:30
http,pass,Probe 6: HTTP 200 at https://ncas.ac.lk,https://ncas.ac.lk,2026-09-08T23:31:58.797985+05:30
http,pass,Probe 7: HTTP 200 at https://ncas.ac.lk/cor/,https://ncas.ac.lk/cor,2026-09-08T23:31:58.797988+05:30
http,pass,Probe 8: HTTP 200 at https://ncas.ac.lk/com/,https://ncas.ac.lk/ncasn/com,2026-09-08T23:31:58.797990+05:30
http,pass,Probe 9: HTTP 200 at https://ncas.ac.lk/director/,https://ncas.ac.lk/director/,2026-09-08T23:31:58.797993+05:30
http,pass,Probe 10: HTTP 200 at https://ncas.ac.lk/previous-directors/,https://ncas.ac.lk/previous-directors/,2026-09-08T23:31:58.797996+05:30
http,pass,Probe 11: HTTP 200 at https://ncas.ac.lk/secretariat/,https://ncas.ac.lk/ncasn/secretariat,2026-09-08T23:31:58.797998+05:30
http,pass,Probe 12: HTTP 200 at https://ncas.ac.lk/vision/,https://ncas.ac.lk/ncasn/vision,2026-09-08T23:31:58.798000+05:30
http,pass,Probe 13: HTTP 200 at https://ncas.ac.lk/objectives/,https://ncas.ac.lk/ncasn/objectives,2026-09-08T23:31:58.798003+05:30
http,pass,Probe 14: HTTP 200 at https://ncas.ac.lk/organizational-structure/,https://ncas.ac.lk/organizational-structure/,2026-09-08T23:31:58.798005+05:30
phone,pass,Published phone: 018 2017 201,https://ncas.ac.lk/,
phone,pass,Published phone: 022 2020 201,https://ncas.ac.lk/,
phone,pass,Published phone: +94 011 268084,https://ncas.ac.lk/,
phone,pass,Published phone: +94 011 269 397,https://ncas.ac.lk/,
phone,pass,Published phone: 025 2024 202,https://ncas.ac.lk/,
email,pass,Published email: info@ncas.ac.lk,https://ncas.ac.lk/,
named_responsibility,pass,Published named responsibility: director,https://ncas.ac.lk/,
