check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:01:14.843621+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:01:14.843641+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:01:14.920731+05:30
http,pass,Probe 1: HTTP 200 at https://slic.gov.lk/,https://slic.gov.lk/,2026-09-09T00:01:34.654785+05:30
http,pass,Probe 2: HTTP 200 at https://slic.gov.lk/,http://slic.gov.lk/,2026-09-09T00:01:34.654805+05:30
http,pass,Probe 3: HTTP 200 at https://slic.gov.lk/,https://slic.gov.lk/,2026-09-09T00:01:34.654808+05:30
http,pass,Probe 4: HTTP 200 at https://slic.gov.lk/,http://slic.gov.lk/,2026-09-09T00:01:34.654819+05:30
http,pass,Probe 5: HTTP 200 at https://slic.gov.lk/si/home-%e0%b7%83%e0%b7%92%e0%b6%82%e0%b7%84%e0%b6%bd/,https://slic.gov.lk/si/home-%e0%b7%83%e0%b7%92%e0%b6%82%e0%b7%84%e0%b6%bd/,2026-09-09T00:01:34.654821+05:30
http,pass,Probe 6: HTTP 200 at https://slic.gov.lk/ta/home-%e0%ae%a4%e0%ae%ae%e0%ae%bf%e0%ae%b4%e0%af%8d/,https://slic.gov.lk/ta/home-%e0%ae%a4%e0%ae%ae%e0%ae%bf%e0%ae%b4%e0%af%8d/,2026-09-09T00:01:34.654824+05:30
http,pass,Probe 7: HTTP 200 at https://slic.gov.lk/our-team/,https://slic.gov.lk/our-team/,2026-09-09T00:01:34.654826+05:30
http,pass,Probe 8: HTTP 200 at https://slic.gov.lk/background/,https://slic.gov.lk/background/,2026-09-09T00:01:34.654829+05:30
http,pass,Probe 9: HTTP 200 at https://slic.gov.lk/organizational-structure/,https://slic.gov.lk/organizational-structure/,2026-09-09T00:01:34.654831+05:30
http,pass,Probe 10: HTTP 200 at https://slic.gov.lk/history/,https://slic.gov.lk/history/,2026-09-09T00:01:34.654834+05:30
http,pass,Probe 11: HTTP 200 at https://slic.gov.lk/contact-us/,https://slic.gov.lk/?page_id=198,2026-09-09T00:01:34.654836+05:30
http,pass,Probe 12: HTTP 200 at https://slic.gov.lk/sn2023int/,https://slic.gov.lk/sn2023/,2026-09-09T00:01:34.654839+05:30
http,pass,Probe 13: HTTP 200 at https://slic.gov.lk/sahasak-nimavum-2024-winners/,https://slic.gov.lk/sahasak-nimavum-2024-winners/,2026-09-09T00:01:34.654841+05:30
http,pass,Probe 14: HTTP 200 at https://slic.gov.lk/sahasak-nimavum-2023-award-winners/,https://slic.gov.lk/sahasak-nimavum-2023-award-winners/,2026-09-09T00:01:34.654844+05:30
phone,pass,Published phone: +94112676650,https://slic.gov.lk/,
phone,pass,Published phone: 011-2676646 ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676650 ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676645. ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676645011267665001126766479,https://slic.gov.lk/,
phone,pass,Published phone: 0281624194,https://slic.gov.lk/,
phone,pass,Published phone: +94 11-2676650 ,https://slic.gov.lk/,
phone,pass,Published phone: 0022031931,https://slic.gov.lk/,
phone,pass,Published phone: 011-2676645,https://slic.gov.lk/,
phone,pass,Published phone: 011-2676647-,https://slic.gov.lk/,
phone,pass,Published phone: 011-2676650,https://slic.gov.lk/,
phone,pass,Published phone: 024-03-12 9.00 ,https://slic.gov.lk/,
phone,pass,Published phone: +94 112676650 ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676646,https://slic.gov.lk/,
email,pass,Published email: projects@slic.gov.lk,https://slic.gov.lk/,
email,pass,Published email: info@slic.gov.lk,https://slic.gov.lk/,
email,pass,Published email: sahasaknimavum@gmail.com,https://slic.gov.lk/,
postal_address,pass,"Published postal address: Read More Uncategorized Sahasak Nimavum 2021 Award Ceremony ජාතික නව නිපැයුම්කරුවන්ගේ දිනය පාදක කර ගනිමින්, ශ්‍රී ලංකා න",https://slic.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://slic.gov.lk/,
fees_and_payment,pass,Published fees and payment: free of charge,https://slic.gov.lk/,
processing_time,pass,Published processing time: 1 Day,https://slic.gov.lk/,
downloadable_form,pass,Published downloadable form: https://slic.gov.lk/wp-content/uploads/2024/03/Provincial-Invention-Evaluation-2024-Sinhala-Application.pdf,https://slic.gov.lk/,
phone,pass,Published phone: +94112676650,https://slic.gov.lk/,
phone,pass,Published phone: 011-2676646 ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676650 ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676645. ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676645011267665001126766479,https://slic.gov.lk/,
phone,pass,Published phone: 0281624194,https://slic.gov.lk/,
phone,pass,Published phone: +94 11-2676650 ,https://slic.gov.lk/,
phone,pass,Published phone: 0022031931,https://slic.gov.lk/,
phone,pass,Published phone: 011-2676645,https://slic.gov.lk/,
phone,pass,Published phone: 011-2676647-,https://slic.gov.lk/,
phone,pass,Published phone: 011-2676650,https://slic.gov.lk/,
phone,pass,Published phone: 024-03-12 9.00 ,https://slic.gov.lk/,
phone,pass,Published phone: +94 112676650 ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676646,https://slic.gov.lk/,
email,pass,Published email: projects@slic.gov.lk,https://slic.gov.lk/,
email,pass,Published email: info@slic.gov.lk,https://slic.gov.lk/,
email,pass,Published email: sahasaknimavum@gmail.com,https://slic.gov.lk/,
postal_address,pass,"Published postal address: Read More Uncategorized Sahasak Nimavum 2021 Award Ceremony ජාතික නව නිපැයුම්කරුවන්ගේ දිනය පාදක කර ගනිමින්, ශ්‍රී ලංකා න",https://slic.gov.lk/,
named_responsibility,pass,Published named responsibility: division,https://slic.gov.lk/,
fees_and_payment,pass,Published fees and payment: free of charge,https://slic.gov.lk/,
processing_time,pass,Published processing time: 1 Day,https://slic.gov.lk/,
downloadable_form,pass,Published downloadable form: https://slic.gov.lk/wp-content/uploads/2024/03/Provincial-Invention-Evaluation-2024-Sinhala-Application.pdf,https://slic.gov.lk/,
phone,pass,Published phone: +94112676650,https://slic.gov.lk/,
phone,pass,Published phone: 011-2676646 ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676650 ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676645. ,https://slic.gov.lk/,
phone,pass,Published phone: 0112676645011267665001126766479,https://slic.gov.lk/,
phone,pass,Published phone: 0281624194,https://slic.gov.lk/,
phone,pass,Published phone: +94 11-2676650 ,https://slic.gov.lk/,
