check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:52:13.543954+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:52:13.543977+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:52:14.025649+05:30
http,pass,Probe 1: HTTP 200 at https://www.secsl.gov.lk/,https://www.secsl.gov.lk/,2026-09-08T23:53:02.925893+05:30
http,pass,Probe 2: HTTP 200 at https://www.secsl.gov.lk/,http://www.secsl.gov.lk/,2026-09-08T23:53:02.925915+05:30
http,pass,Probe 3: HTTP 200 at https://www.secsl.gov.lk/,https://www.secsl.gov.lk/,2026-09-08T23:53:02.925918+05:30
http,pass,Probe 4: HTTP 200 at https://www.secsl.gov.lk/,http://www.secsl.gov.lk/,2026-09-08T23:53:02.925921+05:30
http,pass,Probe 5: HTTP 200 at https://www.secsl.gov.lk/our-services/consultancy/,https://www.secsl.gov.lk/our-services/consultancy/,2026-09-08T23:53:02.925924+05:30
http,pass,Probe 6: HTTP 200 at https://www.secsl.gov.lk/our-services/construction/,https://www.secsl.gov.lk/our-services/construction/,2026-09-08T23:53:02.925927+05:30
http,pass,Probe 7: HTTP 200 at https://www.secsl.gov.lk/our-services/construction-component/,https://www.secsl.gov.lk/our-services/construction-component/,2026-09-08T23:53:02.925929+05:30
http,pass,Probe 8: HTTP 200 at https://www.secsl.gov.lk/our-services/design-build-design-design-review/,https://www.secsl.gov.lk/our-services/design-build-design-design-review/,2026-09-08T23:53:02.925932+05:30
http,pass,Probe 9: HTTP 200 at https://www.secsl.gov.lk/our-services/facility-management-maintenances/,https://www.secsl.gov.lk/our-services/facility-management-maintenances/,2026-09-08T23:53:02.925935+05:30
http,pass,Probe 10: HTTP 200 at https://www.secsl.gov.lk/contact/,https://www.secsl.gov.lk/contact/,2026-09-08T23:53:02.925937+05:30
http,pass,Probe 11: HTTP 200 at http://www.secsl.gov.lk/our-services/facility-management-maintenances/,http://www.secsl.gov.lk/our-services/facility-management-maintenances/,2026-09-08T23:53:02.925940+05:30
http,pass,Probe 12: HTTP 200 at https://www.secsl.gov.lk/our-services/construction-component/,http://www.secsl.gov.lk/our-services/mechanical-and-electrical/,2026-09-08T23:53:02.925943+05:30
http,pass,Probe 13: HTTP 200 at http://www.secsl.gov.lk/our-services/construction-component/,http://www.secsl.gov.lk/our-services/construction-component/,2026-09-08T23:53:02.925946+05:30
