check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:26:08.462113+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:26:08.462131+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:26:09.031972+05:30
http,pass,Probe 1: HTTP 200 at https://cadet.lk/,https://cadet.lk/,2026-09-08T23:26:44.334169+05:30
http,pass,Probe 2: HTTP 200 at https://cadet.lk/,http://cadet.lk/,2026-09-08T23:26:44.334196+05:30
http,pass,Probe 3: HTTP 200 at https://cadet.lk/,https://cadet.lk/,2026-09-08T23:26:44.334200+05:30
http,pass,Probe 4: HTTP 200 at https://cadet.lk/,http://cadet.lk/,2026-09-08T23:26:44.334203+05:30
http,pass,Probe 5: HTTP 200 at https://cadet.lk/how_to_enlist_as_a__officer/,https://cadet.lk/how_to_enlist_as_a__officer,2026-09-08T23:26:44.334206+05:30
http,pass,Probe 6: HTTP 200 at https://cadet.lk/contacts_hq/,https://cadet.lk/contacts_hq,2026-09-08T23:26:44.334209+05:30
http,pass,Probe 7: HTTP 200 at https://cadet.lk/contacts_provincial/,https://cadet.lk/contacts_provincial,2026-09-08T23:26:44.334211+05:30
http,pass,Probe 8: HTTP 200 at https://cadet.lk/contacts_training/,https://cadet.lk/contacts_training,2026-09-08T23:26:44.334214+05:30
http,pass,Probe 9: HTTP 200 at https://cadet.lk/contacts_bns/,https://cadet.lk/contacts_bns,2026-09-08T23:26:44.334216+05:30
http,pass,Probe 10: HTTP 200 at https://cadet.lk/contactus/,https://cadet.lk/contactus,2026-09-08T23:26:44.334219+05:30
http,pass,Probe 11: HTTP 200 at https://cadet.lk/index.php,https://cadet.lk/index.php,2026-09-08T23:26:44.334221+05:30
http,pass,Probe 12: HTTP 200 at https://cadet.lk/vision_mission/,https://cadet.lk/vision_mission,2026-09-08T23:26:44.334224+05:30
http,pass,Probe 13: HTTP 200 at https://cadet.lk/ncc__anthem/,https://cadet.lk/ncc__anthem,2026-09-08T23:26:44.334226+05:30
