check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:56:06.581037+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:56:06.581056+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:56:06.993378+05:30
http,pass,Probe 1: HTTP 200 at https://nils.gov.lk/,https://nils.gov.lk/,2026-09-08T23:56:33.319833+05:30
http,pass,Probe 2: HTTP 200 at http://nils.gov.lk/,http://nils.gov.lk/,2026-09-08T23:56:33.319854+05:30
http,pass,Probe 3: HTTP 200 at https://nils.gov.lk/,https://nils.gov.lk/,2026-09-08T23:56:33.319857+05:30
http,pass,Probe 4: HTTP 200 at http://nils.gov.lk/,http://nils.gov.lk/,2026-09-08T23:56:33.319860+05:30
http,pass,Probe 5: HTTP 200 at https://nils.gov.lk,https://nils.gov.lk,2026-09-08T23:56:33.319863+05:30
http,pass,Probe 6: HTTP 200 at https://nils.gov.lk/?page_id=1798,https://nils.gov.lk/?page_id=1798,2026-09-08T23:56:33.319866+05:30
http,pass,Probe 7: HTTP 200 at https://nils.gov.lk/?page_id=131,https://nils.gov.lk/?page_id=131,2026-09-08T23:56:33.319869+05:30
http,pass,Probe 8: HTTP 200 at https://nils.gov.lk/?page_id=545,https://nils.gov.lk/?page_id=545,2026-09-08T23:56:33.319872+05:30
http,pass,Probe 9: HTTP 200 at https://nils.gov.lk/?page_id=540,https://nils.gov.lk/?page_id=540,2026-09-08T23:56:33.319874+05:30
http,pass,Probe 10: HTTP 200 at https://nils.gov.lk/?page_id=129,https://nils.gov.lk/?page_id=129,2026-09-08T23:56:33.319878+05:30
http,pass,Probe 11: HTTP 200 at https://nils.gov.lk/?page_id=550,https://nils.gov.lk/?page_id=550,2026-09-08T23:56:33.319880+05:30
http,pass,Probe 12: HTTP 200 at https://nils.gov.lk/?page_id=128,https://nils.gov.lk/?page_id=128,2026-09-08T23:56:33.319883+05:30
http,pass,Probe 13: HTTP 200 at https://nils.gov.lk/?page_id=1546,https://nils.gov.lk/?page_id=1546,2026-09-08T23:56:33.319886+05:30
http,pass,Probe 14: HTTP 200 at https://nils.gov.lk/?page_id=1336,https://nils.gov.lk/?page_id=1336,2026-09-08T23:56:33.319889+05:30
phone,pass,Published phone: 075.1.067-.083-.,https://nils.gov.lk/,
phone,pass,Published phone: 031.021.062.0,https://nils.gov.lk/,
phone,pass,Published phone: 052.054.1.111.,https://nils.gov.lk/,
phone,pass,Published phone: 02.974 -807.92,https://nils.gov.lk/,
phone,pass,Published phone: 03.07-.063.138-.,https://nils.gov.lk/,
phone,pass,Published phone: 07.106.069-.08-.,https://nils.gov.lk/,
phone,pass,Published phone: 022.031.025.0,https://nils.gov.lk/,
phone,pass,Published phone: 022-.036.045-.0,https://nils.gov.lk/,
phone,pass,Published phone: 064.09.094.13,https://nils.gov.lk/,
phone,pass,Published phone: 065.106.07-.07,https://nils.gov.lk/,
phone,pass,Published phone: 09.1.022.151.0,https://nils.gov.lk/,
phone,pass,Published phone: 018.1.006-.039.,https://nils.gov.lk/,
phone,pass,Published phone: 013-.036.027-.0,https://nils.gov.lk/,
phone,pass,Published phone: 034.017-.068.0,https://nils.gov.lk/,
phone,pass,Published phone: 0-.04.012-.086.0,https://nils.gov.lk/,
phone,pass,Published phone: 068.035-.1.051,https://nils.gov.lk/,
phone,pass,Published phone: 014.134.017-.1,https://nils.gov.lk/,
phone,pass,Published phone: 017.023.161.0,https://nils.gov.lk/,
phone,pass,Published phone: 076-.028.113-.0,https://nils.gov.lk/,
