check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:34:42.898285+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:34:42.898305+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:34:43.042755+05:30
http,pass,Probe 1: HTTP 200 at https://uovt.ac.lk/en,https://uovt.ac.lk/,2026-09-08T23:35:07.797931+05:30
http,pass,Probe 2: HTTP 200 at https://uovt.ac.lk/en,http://uovt.ac.lk/,2026-09-08T23:35:07.797953+05:30
http,pass,Probe 3: HTTP 200 at https://uovt.ac.lk/en,https://uovt.ac.lk/,2026-09-08T23:35:07.797956+05:30
http,pass,Probe 4: HTTP 200 at https://uovt.ac.lk/en,http://uovt.ac.lk/,2026-09-08T23:35:07.797959+05:30
http,pass,Probe 5: HTTP 200 at https://uovt.ac.lk/en/contact,https://uovt.ac.lk/en/contact,2026-09-08T23:35:07.797962+05:30
http,pass,Probe 6: HTTP 200 at https://uovt.ac.lk/en/staff,https://uovt.ac.lk/en/staff,2026-09-08T23:35:07.797964+05:30
http,pass,Probe 7: HTTP 200 at https://uovt.ac.lk/en/student_hub,https://uovt.ac.lk/en/student_hub,2026-09-08T23:35:07.797967+05:30
http,pass,Probe 8: HTTP 200 at https://uovt.ac.lk/en/search,https://uovt.ac.lk/en/search,2026-09-08T23:35:07.797969+05:30
http,pass,Probe 9: HTTP 200 at https://uovt.ac.lk/en/academics/courses,https://uovt.ac.lk/en/academics/courses,2026-09-08T23:35:07.797972+05:30
http,pass,Probe 10: HTTP 200 at https://uovt.ac.lk/en/academics/nvq_pathway,https://uovt.ac.lk/en/academics/nvq_pathway,2026-09-08T23:35:07.797974+05:30
http,pass,Probe 11: HTTP 200 at https://uovt.ac.lk/en/academics/global_qualification,https://uovt.ac.lk/en/academics/global_qualification,2026-09-08T23:35:07.797977+05:30
http,pass,Probe 12: HTTP 200 at https://uovt.ac.lk/en/academics/faculties/engineering_technology,https://uovt.ac.lk/en/academics/faculties/engineering_technology,2026-09-08T23:35:07.797980+05:30
