check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:02:54.585379+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:02:54.585396+05:30
tls,pass,TLS certificate valid,,2026-09-09T00:02:55.071088+05:30
http,pass,Probe 1: HTTP 200 at https://maganeguma.lk/,https://maganeguma.lk/,2026-09-09T00:03:31.585146+05:30
http,pass,Probe 2: HTTP 200 at https://maganeguma.lk/,http://maganeguma.lk/,2026-09-09T00:03:31.585170+05:30
http,pass,Probe 3: HTTP 200 at https://maganeguma.lk/,https://maganeguma.lk/,2026-09-09T00:03:31.585174+05:30
http,pass,Probe 4: HTTP 200 at https://maganeguma.lk/,http://maganeguma.lk/,2026-09-09T00:03:31.585177+05:30
http,pass,Probe 5: HTTP 200 at https://maganeguma.lk/?page_id=175,https://maganeguma.lk/?page_id=175,2026-09-09T00:03:31.585180+05:30
http,pass,Probe 6: HTTP 200 at https://maganeguma.lk/?page_id=2371,https://maganeguma.lk/?page_id=2371,2026-09-09T00:03:31.585183+05:30
http,pass,Probe 7: HTTP 200 at https://maganeguma.lk/?page_id=1123,https://maganeguma.lk/?page_id=1123,2026-09-09T00:03:31.585185+05:30
http,pass,Probe 8: HTTP 200 at https://maganeguma.lk/?page_id=1465,https://maganeguma.lk/?page_id=1465,2026-09-09T00:03:31.585188+05:30
http,pass,Probe 9: HTTP 200 at https://maganeguma.lk/?page_id=177,https://maganeguma.lk/?page_id=177,2026-09-09T00:03:31.585191+05:30
http,pass,Probe 10: HTTP 200 at https://maganeguma.lk/?page_id=181,https://maganeguma.lk/?page_id=181,2026-09-09T00:03:31.585194+05:30
http,pass,Probe 11: HTTP 200 at https://maganeguma.lk/?page_id=183,https://maganeguma.lk/?page_id=183,2026-09-09T00:03:31.585197+05:30
http,pass,Probe 12: HTTP 200 at https://maganeguma.lk/?page_id=185,https://maganeguma.lk/?page_id=185,2026-09-09T00:03:31.585200+05:30
http,pass,Probe 13: HTTP 200 at https://maganeguma.lk/?page_id=179,https://maganeguma.lk/?page_id=179,2026-09-09T00:03:31.585202+05:30
http,pass,Probe 14: HTTP 200 at https://maganeguma.lk/?page_id=187,https://maganeguma.lk/?page_id=187,2026-09-09T00:03:31.585205+05:30
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/?page_id=175,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/?page_id=175,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/?page_id=175,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/?page_id=175,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/?page_id=175,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/?page_id=175,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/?page_id=175,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/?page_id=175,
published_update_date,fail,Published published update date: 30-09-2017,https://maganeguma.lk/?page_id=175,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/?page_id=2371,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/?page_id=2371,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/?page_id=2371,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/?page_id=2371,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/?page_id=2371,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/?page_id=2371,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/?page_id=2371,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/?page_id=2371,
phone,pass,Published phone: 0.50 18.07.201,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 06.44 16.08.20,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 09 27.11.2019 ,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 023.15 23.07.2,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 0.22 10.07.201,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 0.68 23.12.201,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: 02 30.09.2019 ,https://maganeguma.lk/?page_id=1123,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/?page_id=1123,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/?page_id=1123,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/?page_id=1465,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/?page_id=1465,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/?page_id=1465,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/?page_id=1465,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/?page_id=1465,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/?page_id=1465,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/?page_id=1465,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/?page_id=1465,
phone,pass,Published phone: +94) 112 914 173 ,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: +94) 716 847 169 ,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: +94) 915 672 900 ,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: +94) 252 264 200 ,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: +94) 716 363 924 ,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: +94)374 200 142 ,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: +94) 716 847 172 ,https://maganeguma.lk/?page_id=177,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/?page_id=177,
postal_address,pass,"Published postal address: 81/5, New Nuge Road, Peliyagoda Telephone : (+94) 716 847 169 Fax : (+94) 112 914 173 Capacity Premix Plant 60 T/H Tar M",https://maganeguma.lk/?page_id=177,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/?page_id=177,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/?page_id=181,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/?page_id=181,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/?page_id=181,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/?page_id=181,
phone,pass,Published phone: 0.100000000,https://maganeguma.lk/?page_id=181,
phone,pass,Published phone: 0454101562,https://maganeguma.lk/?page_id=181,
email,pass,Published email: mnrce@sltnet.lk,https://maganeguma.lk/?page_id=181,
named_responsibility,pass,Published named responsibility: director,https://maganeguma.lk/?page_id=181,
phone,pass,Published phone: +94) 11 2913888 ,https://maganeguma.lk/?page_id=183,
phone,pass,Published phone: 0000000055,https://maganeguma.lk/?page_id=183,
phone,pass,Published phone: 0115 731 229 ,https://maganeguma.lk/?page_id=183,
phone,pass,Published phone: 0211815834,https://maganeguma.lk/?page_id=183,
phone,pass,Published phone: +94) 11 2914121 - ,https://maganeguma.lk/?page_id=183,
