check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:27:09.502394+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-08T23:27:09.502418+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:27:09.607893+05:30
http,pass,Probe 1: HTTP 200 at https://colombolotustower.lk/,https://colombolotustower.lk/,2026-09-08T23:27:35.596217+05:30
http,pass,Probe 2: HTTP 200 at https://colombolotustower.lk/,http://colombolotustower.lk/,2026-09-08T23:27:35.596239+05:30
http,pass,Probe 3: HTTP 200 at https://colombolotustower.lk/,https://colombolotustower.lk/,2026-09-08T23:27:35.596243+05:30
http,pass,Probe 4: HTTP 200 at https://colombolotustower.lk/,http://colombolotustower.lk/,2026-09-08T23:27:35.596246+05:30
http,pass,Probe 5: HTTP 200 at https://colombolotustower.lk/contact-us/,https://colombolotustower.lk/contact-us/,2026-09-08T23:27:35.596248+05:30
http,pass,Probe 6: HTTP 200 at https://colombolotustower.lk,https://colombolotustower.lk,2026-09-08T23:27:35.596251+05:30
http,pass,Probe 7: HTTP 200 at https://colombolotustower.lk/our-story/,https://colombolotustower.lk/our-story/,2026-09-08T23:27:35.596254+05:30
http,pass,Probe 8: HTTP 200 at https://colombolotustower.lk/board-of-directors/,https://colombolotustower.lk/board-of-directors/,2026-09-08T23:27:35.596256+05:30
http,pass,Probe 9: HTTP 200 at https://colombolotustower.lk/stories-of-lotus/,https://colombolotustower.lk/stories-of-lotus/,2026-09-08T23:27:35.596259+05:30
http,pass,Probe 10: HTTP 200 at https://colombolotustower.lk/media-center/,https://colombolotustower.lk/media-center/,2026-09-08T23:27:35.596261+05:30
http,pass,Probe 11: HTTP 200 at https://colombolotustower.lk/events/,https://colombolotustower.lk/events/,2026-09-08T23:27:35.596264+05:30
http,pass,Probe 12: HTTP 200 at https://colombolotustower.lk/tickets/,https://colombolotustower.lk/tickets/,2026-09-08T23:27:35.596267+05:30
http,pass,Probe 13: HTTP 200 at https://colombolotustower.lk/terms-conditions-on-tickets/,https://colombolotustower.lk/terms-conditions-on-tickets/,2026-09-08T23:27:35.596269+05:30
http,pass,Probe 14: HTTP 200 at https://colombolotustower.lk/careers/,https://colombolotustower.lk/careers/,2026-09-08T23:27:35.596272+05:30
phone,pass,Published phone: +94112108300,https://colombolotustower.lk/,
phone,pass,Published phone: 0112108300 ,https://colombolotustower.lk/,
phone,pass,Published phone: 077395 -51.58,https://colombolotustower.lk/,
phone,pass,Published phone: 0742019743 ,https://colombolotustower.lk/,
email,pass,Published email: info@colombolotustower.lk,https://colombolotustower.lk/,
postal_address,pass,Published postal address: Lotus Tower Colombo Sri Lanka,https://colombolotustower.lk/,
named_responsibility,pass,Published named responsibility: director,https://colombolotustower.lk/,
phone,pass,Published phone: +94112108300,https://colombolotustower.lk/,
phone,pass,Published phone: 0112108300 ,https://colombolotustower.lk/,
phone,pass,Published phone: 077395 -51.58,https://colombolotustower.lk/,
phone,pass,Published phone: 0742019743 ,https://colombolotustower.lk/,
email,pass,Published email: info@colombolotustower.lk,https://colombolotustower.lk/,
postal_address,pass,Published postal address: Lotus Tower Colombo Sri Lanka,https://colombolotustower.lk/,
named_responsibility,pass,Published named responsibility: director,https://colombolotustower.lk/,
phone,pass,Published phone: +94112108300,https://colombolotustower.lk/,
phone,pass,Published phone: 0112108300 ,https://colombolotustower.lk/,
phone,pass,Published phone: 077395 -51.58,https://colombolotustower.lk/,
phone,pass,Published phone: 0742019743 ,https://colombolotustower.lk/,
email,pass,Published email: info@colombolotustower.lk,https://colombolotustower.lk/,
postal_address,pass,Published postal address: Lotus Tower Colombo Sri Lanka,https://colombolotustower.lk/,
named_responsibility,pass,Published named responsibility: director,https://colombolotustower.lk/,
phone,pass,Published phone: +94112108300,https://colombolotustower.lk/,
phone,pass,Published phone: 0112108300 ,https://colombolotustower.lk/,
phone,pass,Published phone: 077395 -51.58,https://colombolotustower.lk/,
phone,pass,Published phone: 0742019743 ,https://colombolotustower.lk/,
email,pass,Published email: info@colombolotustower.lk,https://colombolotustower.lk/,
postal_address,pass,Published postal address: Lotus Tower Colombo Sri Lanka,https://colombolotustower.lk/,
named_responsibility,pass,Published named responsibility: director,https://colombolotustower.lk/,
phone,pass,Published phone: +94 (0) 112 108 30,https://colombolotustower.lk/contact-us/,
phone,pass,Published phone: 0112108300 ,https://colombolotustower.lk/contact-us/,
phone,pass,Published phone: +94112108300,https://colombolotustower.lk/contact-us/,
phone,pass,Published phone: +94 (0) 74 201 974,https://colombolotustower.lk/contact-us/,
phone,pass,Published phone: 077395 -51.58,https://colombolotustower.lk/contact-us/,
phone,pass,Published phone: 0742019743 ,https://colombolotustower.lk/contact-us/,
