check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-08T23:35:50.222122+05:30
domain_registration,pass,Domain registered,,2026-09-08T23:35:50.222130+05:30
tls,pass,TLS certificate valid,,2026-09-08T23:35:50.781480+05:30
http,pass,Probe 1: HTTP 200 at https://trincopetroleum.com/,https://trincopetroleum.com/,2026-09-08T23:36:15.076208+05:30
http,pass,Probe 2: HTTP 200 at https://trincopetroleum.com/,http://trincopetroleum.com/,2026-09-08T23:36:15.076230+05:30
http,pass,Probe 3: HTTP 200 at https://trincopetroleum.com/,https://trincopetroleum.com/,2026-09-08T23:36:15.076234+05:30
http,pass,Probe 4: HTTP 200 at https://trincopetroleum.com/,http://trincopetroleum.com/,2026-09-08T23:36:15.076238+05:30
http,pass,Probe 5: HTTP 200 at https://trincopetroleum.com/contact/,https://trincopetroleum.com/contact,2026-09-08T23:36:15.076241+05:30
http,pass,Probe 6: HTTP 200 at https://trincopetroleum.com/about/,https://trincopetroleum.com/about,2026-09-08T23:36:15.076245+05:30
http,pass,Probe 7: HTTP 200 at https://trincopetroleum.com/tenders/,https://trincopetroleum.com/tenders,2026-09-08T23:36:15.076248+05:30
http,pass,Probe 8: HTTP 200 at https://trincopetroleum.com/news/,https://trincopetroleum.com/news,2026-09-08T23:36:15.076251+05:30
http,pass,Probe 9: HTTP 200 at https://trincopetroleum.com/about/,https://trincopetroleum.com/about/,2026-09-08T23:36:15.076254+05:30
http,pass,Probe 10: HTTP 200 at https://trincopetroleum.com/trinco-petroleum-terminals-expansion-efforts-awarded-contracts-and-development-initiatives/,https://trincopetroleum.com/trinco-petroleum-terminals-expansion-efforts-awarded-contracts-and-development-initiatives/,2026-09-08T23:36:15.076257+05:30
http,pass,Probe 11: HTTP 200 at https://trincopetroleum.com/sri-lanka-india-ink-deal-to-jointly-redevelop-strategic-world-war-ii-era-trincomalee-oil-tank-complex/,https://trincopetroleum.com/sri-lanka-india-ink-deal-to-jointly-redevelop-strategic-world-war-ii-era-trincomalee-oil-tank-complex/,2026-09-08T23:36:15.076260+05:30
http,pass,Probe 12: HTTP 200 at https://trincopetroleum.com/sri-lankas-trinco-petroleum-terminal-to-invest-up-to-us70mn-in-tank-farm/,https://trincopetroleum.com/sri-lankas-trinco-petroleum-terminal-to-invest-up-to-us70mn-in-tank-farm/,2026-09-08T23:36:15.076263+05:30
http,pass,Probe 13: HTTP 200 at https://trincopetroleum.com/user-register/,https://trincopetroleum.com/user-register,2026-09-08T23:36:15.076265+05:30
http,pass,Probe 14: HTTP 200 at https://trincopetroleum.com/login/,https://trincopetroleum.com/login,2026-09-08T23:36:15.076268+05:30
phone,pass,Published phone: +94 11 5455455 ,https://trincopetroleum.com/,
phone,pass,Published phone: +94 11 5455400 ,https://trincopetroleum.com/,
email,pass,Published email: secretary@ceypetco.gov.lk,https://trincopetroleum.com/,
postal_address,pass,"Published postal address: 609, Dr Danister De Silva Mawatha, Colombo 09, Sri Lanka",https://trincopetroleum.com/,
named_responsibility,pass,Published named responsibility: director,https://trincopetroleum.com/,
phone,pass,Published phone: +94 11 5455455 ,https://trincopetroleum.com/,
phone,pass,Published phone: +94 11 5455400 ,https://trincopetroleum.com/,
email,pass,Published email: secretary@ceypetco.gov.lk,https://trincopetroleum.com/,
