check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-09T00:07:58.974496+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-09T00:07:58.974517+05:30
tls_hostname,fail,TLS certificate does not match the hostname,,2026-09-09T00:07:59.004355+05:30
tls_browser_error,fail,"Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.auditorgeneral.gov.lk'. (_ssl.c:1032)",https://www.auditorgeneral.gov.lk/,2026-09-09T00:08:08.090167+05:30
http,pass,Probe 2: HTTP 200 at http://www.auditorgeneral.gov.lk/,http://www.auditorgeneral.gov.lk/,2026-09-09T00:08:08.090183+05:30
tls_browser_error,fail,"Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.auditorgeneral.gov.lk'. (_ssl.c:1032)",https://www.auditorgeneral.gov.lk/,2026-09-09T00:08:08.090187+05:30
http,pass,Probe 4: HTTP 200 at http://www.auditorgeneral.gov.lk/,http://www.auditorgeneral.gov.lk/,2026-09-09T00:08:08.090190+05:30
named_responsibility,pass,Published named responsibility: department,http://www.auditorgeneral.gov.lk/,
named_responsibility,pass,Published named responsibility: department,http://www.auditorgeneral.gov.lk/,
page_text,fail,Only 173 visible characters across 2 pages; below substance threshold 200,https://www.auditorgeneral.gov.lk/,
